name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
GREY-01,30.299596329512486,6.1848778922489496,40.163239604897846,24.511978500979197,18.626153539562374,51.520954317748114
GREY-02,32.682363027939438,6.3264323489197025,40.152195327102362,25.690172938740247,20.141246008927823,48.092939525776622
GREY-04,37.13791929619078,6.9189518484745749,58.367562914001681,36.355985219015047,21.279427482215784,88.982160041261835
GREY-05,37.095113896379083,6.8626625270348542,58.984964923594873,36.942191195930889,21.410721171948918,88.510516546826054
