"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"GREY-01","GREY-01",4,4,3,4,4,3
"GREY-02","GREY-02",3,3,4,3,3,4
"GREY-04","GREY-04",1,1,2,2,2,1
"GREY-05","GREY-05",2,2,1,1,1,2
