"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"PERCY001","PERCY001",8,4,5,6,11,12,10,6,7,4,10,3,10,11,7,4,2,7,1,12,13,8,5,5,13,7,7,8,7,4,9,7,7,9,1,12,4,12,5
"PERCY002","PERCY002",8,1,2,11,4,10,3,1,13,3,15,4,6,13,5,5,9,4,11,6,9,5,5,12,15,7,12,8,7,1,9,1,12,9,1,12,16,7,7
"PERCY004","PERCY004",8,12,14,12,8,4,13,5,14,13,1,9,13,2,12,9,14,14,8,2,10,5,5,5,9,7,7,8,7,4,9,7,7,3,7,5,11,13,8
"PERCY005","PERCY005",8,10,4,14,5,1,1,4,2,9,8,1,7,6,8,8,11,8,7,10,1,2,5,9,3,7,1,8,1,12,3,7,4,9,10,5,5,5,4
"PERCY006","PERCY006",8,2,9,5,7,15,9,14,3,7,12,12,14,14,13,11,10,9,13,6,3,9,12,2,1,7,13,8,7,14,9,13,12,2,5,5,12,8,6
"PERCY007","PERCY007",8,8,11,13,12,13,8,9,6,5,5,8,4,8,11,15,7,6,9,12,14,11,12,5,7,7,7,8,7,1,9,1,2,9,10,5,9,15,11
"PERCY008","PERCY008",8,13,13,8,14,9,14,11,10,6,7,6,12,10,9,2,5,11,2,10,12,15,1,10,3,14,7,8,1,15,9,7,7,4,8,5,3,2,2
"PERCY009","PERCY009",8,9,6,7,13,8,5,10,8,15,6,13,15,9,3,14,12,13,10,14,5,5,5,8,7,7,13,8,13,3,9,13,2,7,6,5,6,10,13
"PERCY010","PERCY010",8,7,3,4,10,14,6,2,12,10,4,14,5,3,6,7,6,12,3,3,8,11,12,5,5,7,7,8,13,8,9,7,7,13,12,12,8,1,12
"PERCY011","PERCY011",8,14,12,15,6,5,15,13,5,8,14,2,11,5,14,13,15,16,14,6,6,11,12,14,11,1,15,8,15,12,9,7,12,14,8,5,14,14,1
"PERCY012","PERCY012",8,16,16,1,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,16,16
"PERCY013","PERCY013",8,5,10,9,9,7,11,7,1,14,3,11,8,4,10,10,8,5,5,1,10,13,5,1,7,7,7,8,7,8,9,7,7,1,14,5,2,6,9
"PERCY014","PERCY014",8,15,15,16,15,2,2,15,15,12,13,15,9,12,15,12,13,2,16,15,15,14,12,15,14,15,3,15,7,12,15,13,15,15,15,15,10,4,14
"PERCY015","PERCY015",8,6,7,10,1,3,4,8,4,2,2,7,3,15,1,1,3,10,4,10,4,5,5,5,3,7,3,8,7,8,3,7,2,4,12,12,7,3,15
"PERCY016","PERCY016",8,11,8,3,3,6,12,12,11,1,11,10,1,7,4,3,4,3,12,6,2,5,12,12,11,7,11,1,7,8,1,7,14,12,4,12,15,9,3
"PERCY017","PERCY017",8,3,1,2,2,11,7,3,9,11,9,5,2,1,2,6,1,1,6,4,6,1,5,12,10,7,3,8,7,8,3,13,7,6,3,5,1,11,10
