"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"PERCY001","PERCY001",4,10,4,2,3,9
"PERCY002","PERCY002",3,2,5,1,2,10
"PERCY004","PERCY004",9,15,13,12,4,14
"PERCY005","PERCY005",11,6,11,13,13,6
"PERCY006","PERCY006",8,9,14,4,9,15
"PERCY007","PERCY007",7,3,15,9,14,4
"PERCY008","PERCY008",6,4,3,7,1,3
"PERCY009","PERCY009",15,12,10,5,11,12
"PERCY010","PERCY010",14,16,7,16,15,5
"PERCY011","PERCY011",1,1,1,8,12,11
"PERCY012","PERCY012",16,13,16,14,5,1
"PERCY013","PERCY013",13,14,9,15,10,16
"PERCY014","PERCY014",5,8,2,6,16,2
"PERCY015","PERCY015",12,7,12,3,8,8
"PERCY016","PERCY016",2,11,6,11,6,13
"PERCY017","PERCY017",10,5,8,10,7,7
