"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"PERCY001","PERCY001",8,9,2,11,4,11,5,3,12,10,11,13,7,3,2,10,3,6,3,8,13,11,16,4,9,7,6,3,5,12,14,8,4,4,4,14,14,14,8
"PERCY002","PERCY002",8,12,1,4,3,12,8,7,8,5,13,7,14,4,3,3,4,5,4,4,12,15,12,14,5,5,8,13,8,13,15,16,13,14,8,7,7,15,13
"PERCY004","PERCY004",15,13,15,16,15,15,16,16,16,15,15,15,12,11,14,16,6,14,9,15,7,5,3,10,6,12,7,6,7,14,9,11,10,10,12,10,11,13,15
"PERCY005","PERCY005",8,14,13,13,12,9,11,11,1,14,7,8,6,8,12,13,14,7,12,15,4,1,8,8,9,9,5,3,5,6,3,1,4,13,11,3,8,5,5
"PERCY006","PERCY006",8,6,5,10,13,16,13,5,3,8,12,10,9,14,5,9,7,13,7,9,9,13,6,2,15,2,15,16,16,16,13,11,15,2,14,9,15,8,9
"PERCY007","PERCY007",8,4,11,9,10,3,10,2,9,1,14,1,13,13,9,5,11,2,14,12,6,9,10,5,11,5,4,3,2,1,2,4,4,8,2,1,3,3,11
"PERCY008","PERCY008",8,10,7,14,9,2,3,12,10,3,4,3,3,6,10,11,2,4,13,13,5,13,12,11,2,1,12,7,10,5,11,4,11,15,10,1,4,6,3
"PERCY009","PERCY009",8,1,6,12,6,10,2,9,7,13,10,11,2,15,6,8,9,11,15,14,1,6,12,9,14,2,9,9,8,9,11,8,8,11,9,6,12,7,4
"PERCY010","PERCY010",16,16,16,15,14,14,15,15,14,16,9,16,10,10,16,12,16,3,10,11,16,16,15,12,13,14,16,15,13,15,16,13,16,12,15,16,6,11,6
"PERCY011","PERCY011",8,8,10,6,7,13,4,4,5,4,3,2,11,2,7,6,8,15,8,1,14,12,14,6,1,14,14,13,12,7,7,14,14,3,7,13,5,1,14
"PERCY012","PERCY012",1,15,14,1,16,5,12,14,15,11,1,5,1,5,8,2,1,1,1,5,8,8,9,16,3,8,12,12,15,10,11,8,12,16,16,15,1,10,2
"PERCY013","PERCY013",8,7,12,7,11,6,14,13,13,6,16,14,15,16,15,15,15,16,16,10,10,2,4,2,4,5,10,9,11,11,8,8,9,1,13,11,16,16,16
"PERCY014","PERCY014",2,5,3,2,1,1,1,1,2,2,2,4,5,1,1,1,12,10,6,2,15,10,5,13,7,14,1,1,2,3,3,2,4,6,5,7,2,12,1
"PERCY015","PERCY015",8,11,4,8,2,4,9,10,11,12,8,6,8,12,4,14,13,9,2,7,11,7,7,15,16,16,11,11,14,8,6,15,7,7,6,12,13,9,10
"PERCY016","PERCY016",8,3,9,5,8,7,7,6,6,7,6,9,4,7,13,7,5,8,11,6,2,4,2,7,8,11,3,3,2,1,5,8,4,9,3,3,10,2,7
"PERCY017","PERCY017",8,2,8,3,5,8,6,8,4,9,5,12,16,9,11,4,10,12,5,3,3,3,1,1,12,9,1,9,5,4,1,3,1,4,1,5,9,4,12
