name,check,compiler.compiler,compiler.sunflow,compress,crypto.aes,crypto.rsa,crypto.signverify,derby,mpegaudio,scimark.fft.large,scimark.fft.small,scimark.lu.large,scimark.lu.small,scimark.monte_carlo,scimark.sor.large,scimark.sor.small,scimark.sparse.large,scimark.sparse.small,serial,starrtup.crypto.signverify,startup.compiler.compiler,startup.compiler.sunflow,startup.compress,startup.crypto.aes,startup.crypto.rsa,startup.helloworld,startup.mpegaudio,startup.scimark.fft,startup.scimark.lu,startup.scimark.monte_carlo,startup.scimark.sor,startup.scimark.sparse,startup.serial,startup.sunflow,startup.xml.transform,startup.xml.validation,sunflow,xml.transform,xml.validation
PERCY001,1572.5184765201477,251.77946448327657,97.842413963795707,199.67496749405214,73.337239332664055,117.40538866965176,203.52092130787381,181.61596315477604,103.73933078467866,37.712589568895666,357.38335175354689,6.9418995600830833,287.18733012510734,59.849539139955965,37.301364885829607,165.16721238707422,21.526521696378005,255.0622153362873,119.29569660951019,9.0696787863708792,4.6157305759252729,18.223834298268319,47.294392254338533,7.0792687593055845,7.9896513170077741,558.29087414662911,26.632133089562551,82.628928935406009,66.431151722596326,10.783845478014289,41.97895319652352,60.754385927517809,28.446275766707533,9.3688655732328279,2.9896861732913944,74.20015764383416,88.42530180386089,256.4254933678593,500.038774165728
PERCY002,1426.0988929008386,252.58006737791857,99.033843584262883,200.05225106706635,73.48929408496717,117.4337665749004,203.68159120147746,181.48061708367237,103.87680234205835,37.917377603213168,357.71573495785077,6.9722705893213481,286.21547543777001,59.81895519767334,37.314281992107666,165.28256621049442,21.542211270254654,255.70612693927811,118.32222625493915,9.125764226845428,4.6747425299819891,18.17133031697356,47.527318814559166,7.0461026954612249,7.9552616916080741,590.02656513565569,26.516734770714194,82.12444390956216,66.455216250652512,10.769004581422667,41.994524107776769,61.026582036727596,28.060407381046005,9.3401419933554521,2.9834798034541952,74.795644419384701,88.34997600993627,255.23771015986878,499.38516108163162
PERCY004,1537.4914207275224,249.62627868112037,96.551652937370804,196.76676374271139,72.573265141643958,116.82827762173602,201.69220152079259,178.82566962797316,102.50973764311045,37.176684584639681,356.59960622309416,6.9123547716289995,285.67861790649823,59.611985241960404,37.019785612706897,164.62007421125753,21.494858587334335,253.24231288710024,118.7570074743938,9.1112102087303235,4.6568430175326805,18.225622097879686,47.849209553452326,7.0733022825744696,7.9981524561969453,540.20229264806596,26.563737835201188,82.615250187917951,66.37092093218547,10.816479723386955,41.950029297153399,61.053519649573744,28.343707829384073,9.3607717818229066,2.9670241680229221,74.420640521732622,88.162818994675575,256.85637486850521,488.77206934449475
PERCY005,1565.7980464126208,249.96080178097341,96.408532536548435,199.46393276401565,72.600643765544447,117.74265272175739,203.38609679745036,180.9614652458001,103.98221917086835,36.981101227584567,361.43277493362336,6.9639241223864303,287.39227536965672,59.685651393191819,37.017351653270175,165.01794331260103,21.382018984674147,255.13270986053652,118.5879167905458,9.0813122722767119,4.7319523893255004,18.28268864389922,47.774559441458983,7.0711185073951999,7.9908937793975889,589.66617182957316,26.552979097962236,82.831886663750907,66.592851659711883,10.812303468758392,42.324761065736553,61.268759215060463,28.520229062935829,9.3319592641688711,2.9657554208761892,75.291572400118099,88.660571235614157,260.25709992215729,500.51664103322037
PERCY006,1426.0988929008388,251.36396377683661,97.925622330583849,199.83865435209435,72.978016016086158,116.63020846335995,203.36590633853922,181.16612730672136,103.93752578995928,37.260902879819099,359.449520275547,6.9468895870215324,286.49218278082191,59.580044500158138,37.282464651683135,165.15118959390949,21.438992972195017,253.90292960270295,117.58824233646116,9.1067405280037388,4.683701022932202,18.211025214672507,47.45895866033694,7.0889743604313376,8.0230541083631302,607.72863208729109,26.327625018706975,81.564787479698879,65.540185501424503,10.768085925360603,41.89231311892334,60.498008072225275,28.255123530542615,9.4047566274135139,2.9564489432778558,74.623424208725282,87.755919323210179,261.63440497273183,498.44938753519284
PERCY007,1486.1444749485245,251.98190698631365,97.559007952778117,199.561429957933,72.861159714534736,117.66870754380484,202.99561511270687,181.99554134199184,103.79445192731379,37.522310222461527,356.16836166792359,6.9714663831221086,285.81640282929396,59.535524830111065,37.189303583245831,165.2479330855937,21.359008358693092,255.76567360104369,116.91571911398789,9.0457644204185783,4.6193324012855363,18.047964796065887,47.414239284959358,7.0779309288701073,7.9811652198295535,606.26858842370166,26.591369664638634,82.996274203531755,66.533882147536033,10.886481072733332,42.279910389609746,60.436039836513366,28.564755957699386,9.3708402259318486,2.9864986163441682,75.433829892499247,89.088329820478393,258.54879159366209,497.05852268094048
PERCY008,1500.8504670108323,250.69201687914236,96.830508546605699,199.82319012299908,73.109056509416519,117.99222582575548,203.51763890220607,181.61158737625314,103.68297416303473,37.547866214435508,364.41251848225232,6.9679727693998688,287.60254045530536,59.863750874482768,37.215302425337079,165.1795962051871,21.594598617977358,255.36926984327465,117.59119409417769,9.0354478098580824,4.6183290534791261,17.400559042174667,47.164722930365492,7.0565974116416266,7.9981424766587326,566.97241982136802,26.29646697643032,82.176289438010471,66.16281241458033,10.781162619028221,41.910832191009085,60.629393984665484,28.157373831999085,9.3278211403269005,2.9670493570086109,75.449632174348736,89.150584808669066,258.69727864434111,499.14593088274364
PERCY009,1523.0563285189937,252.53206628932219,97.307111786016094,199.74699455447907,73.203620059925129,117.58221887018141,203.66793534545781,181.42577617255884,103.92624438865997,36.09897713005563,361.34261488853502,6.9324002648688126,287.16283496562437,59.715979410085154,37.266313589883168,165.06356801139583,21.416580862575252,255.10722806442988,118.32736937961481,9.0309664597847323,4.6622322598236963,18.261921839612718,47.372665866735616,7.07597110626351,7.9727621851509944,580.23271631808097,26.472180645659222,82.535971519314245,65.790188302518203,10.825230773213445,41.996504424946949,60.248713169156986,28.291296366017377,9.3650642092502334,2.9616568900545626,75.073560761808295,88.244420432302022,260.1269976684689,500.38209770387368
PERCY010,1318.2732587035241,249.11180965980043,96.230872553683085,198.43772875594036,72.730136187215948,116.63372989863414,202.25274459232401,178.09765991519254,103.01358326942409,36.352689891882079,360.65362967795824,6.8188459359028046,286.69215064822805,59.805464958118037,36.168095506247951,165.01643834080136,21.325920269223634,255.59388652199192,118.92903299218361,9.0650541513678675,4.5485721242611623,17.746991080517681,47.160988665503424,7.0672386563953395,7.9461819813071894,542.69799211791371,26.260574004663265,81.223653092154706,64.831363422704769,10.744013701931859,41.826828419062082,60.544168698212481,27.498463313337947,9.3476783689750214,2.9461502927998757,72.990681779517359,88.893335266605646,259.97333620062966,499.4946745794233
PERCY011,1606.0398078242965,248.91705908212543,97.636394181574161,199.70830347532447,73.375794093925904,117.29154839690808,203.50976020244849,181.20652570672448,103.92725516776584,38.303374460469563,363.74971269357991,6.9745234894666321,285.41947467667825,59.990163854283466,37.193388445394739,165.20734926506441,21.394120883750169,248.87240770775657,117.68969358006339,9.1835464915848224,4.5687940403579779,17.748665018214073,46.831976666717203,7.0463588144914819,8.0073073408477438,477.69257186418548,25.933445003568707,80.289595953487961,64.679718660882685,10.818171027212346,42.042914365019342,59.925656325911405,27.817083264232764,9.3393239266387411,2.9671510999912898,73.698706709649173,88.28958438912575,259.93133951312609,496.92453594734525
