"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"KRC001","KRC001",5,15,47,9,25,4
"KRC002","KRC002",11,14,3,11,14,11
"KRC003","KRC003",48,31,37,34,23,36
"KRC004","KRC004",10,22,17,13,45,7
"KRC005","KRC005",13,20,31,20,46,28
"KRC006","KRC006",46,46,43,46,44,47
"KRC007","KRC007",35,40,30,38,38,20
"KRC008","KRC008",22,16,45,17,39,29
"KRC010","KRC010",29,21,42,33,13,48
"KRC011","KRC011",33,35,29,40,48,14
"KRC013","KRC013",36,39,36,36,34,26
"KRC014","KRC014",32,3,4,5,8,1
"KRC015","KRC015",41,32,35,43,41,22
"KRC016","KRC016",8,17,24,14,17,16
"KRC017","KRC017",12,24,10,28,31,24
"KRC018","KRC018",18,23,13,22,20,6
"KRC019","KRC019",30,26,38,41,42,5
"KRC021","KRC021",38,33,25,32,29,13
"KRC022","KRC022",34,27,23,23,24,21
"KRC023","KRC023",28,41,21,42,27,35
"KRC024","KRC024",17,4,14,7,2,32
"KRC025","KRC025",6,10,27,15,7,45
"KRC026","KRC026",16,19,20,26,26,30
"KRC027","KRC027",2,2,5,4,11,2
"KRC028","KRC028",21,38,26,44,36,37
"KRC029","KRC029",40,34,11,29,15,34
"KRC030","KRC030",9,18,28,12,5,27
"KRC031","KRC031",1,8,15,3,3,9
"KRC032","KRC032",25,1,2,6,6,8
"KRC033","KRC033",7,9,16,8,10,12
"KRC035","KRC035",15,7,6,25,18,23
"KRC036","KRC036",24,29,48,21,9,33
"KRC037","KRC037",3,12,12,2,4,17
"KRC038","KRC038",47,47,8,48,47,43
"KRC040","KRC040",43,48,39,47,40,46
"KRC041","KRC041",14,11,9,18,21,15
"KRC042","KRC042",20,6,46,19,19,41
"KRC043","KRC043",27,13,7,16,16,3
"KRC044","KRC044",26,42,18,45,35,19
"KRC045","KRC045",44,45,19,31,22,25
"KRC046","KRC046",39,25,44,37,30,40
"KRC047","KRC047",45,43,22,39,43,18
"KRC048","KRC048",42,36,34,10,12,44
"KRC049","KRC049",4,44,40,24,37,42
"KRC050","KRC050",31,28,32,27,33,39
"KRC051","KRC051",23,37,41,35,32,31
"KRC053","KRC053",37,30,33,30,28,38
"KRC054","KRC054",19,5,1,1,1,10
