"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"KRC001","KRC001",23,48,35,48,25,4,2,9,7,17,29,12,12,46,9,5,24,14,39,24,29,33,24,36,36,12,28,24,20,23,24,15,26,31,21,34,6,1,7
"KRC002","KRC002",41,45,11,13,6,9,8,13,47,14,12,22,27,7,19,9,23,27,17,14,36,40,45,31,45,19,47,46,47,47,47,46,45,28,42,40,19,12,14
"KRC003","KRC003",29,29,39,45,27,31,36,16,29,48,31,33,32,34,28,48,26,48,38,36,35,42,28,41,44,40,22,24,23,13,31,23,36,45,45,48,33,28,23
"KRC004","KRC004",45,22,33,22,22,32,48,35,9,18,18,28,13,21,20,15,48,18,14,18,45,48,38,39,15,21,23,39,39,36,33,35,33,30,29,39,12,16,21
"KRC005","KRC005",48,21,12,14,26,28,25,19,33,15,28,18,29,29,21,28,47,20,21,46,46,45,34,47,43,46,41,36,34,28,24,13,47,44,43,45,27,36,33
"KRC006","KRC006",39,10,20,12,30,27,39,14,34,39,30,44,30,35,42,40,34,31,37,1,11,13,21,10,8,30,3,10,12,17,7,12,13,13,7,19,39,37,41
"KRC007","KRC007",26,13,48,28,13,17,15,20,42,34,42,36,42,26,35,46,27,26,20,15,32,38,48,38,47,45,45,47,42,44,48,45,27,46,37,14,18,45,48
"KRC008","KRC008",34,16,28,47,10,13,22,11,39,21,47,16,15,47,13,14,39,23,27,21,13,14,14,22,17,27,16,13,10,21,10,5,11,36,38,14,26,34,28
"KRC010","KRC010",38,19,7,18,28,33,27,18,35,19,33,14,25,33,23,29,9,22,35,47,42,30,10,42,46,16,43,36,38,25,24,22,23,37,33,31,48,19,25
"KRC011","KRC011",5,41,29,16,15,48,33,40,36,25,39,23,35,27,33,31,46,40,13,44,12,8,17,3,5,5,33,45,44,15,21,33,42,1,11,4,15,14,6
"KRC013","KRC013",43,46,46,37,36,24,30,42,37,38,38,43,36,42,45,36,40,44,44,21,43,47,46,48,38,47,46,48,48,48,46,47,46,47,44,47,35,23,17
"KRC014","KRC014",3,9,4,2,1,7,1,8,8,23,4,2,1,3,4,3,6,1,3,5,1,1,3,3,2,3,10,3,8,3,2,2,1,3,2,3,1,2,15
"KRC015","KRC015",41,17,24,25,29,20,20,30,32,35,43,35,46,41,46,39,43,47,30,26,19,34,42,26,23,35,27,24,23,37,43,48,40,26,39,31,25,27,37
"KRC016","KRC016",14,14,14,9,21,26,35,17,15,5,1,11,8,16,10,13,13,15,8,41,4,7,1,21,10,32,13,13,4,6,7,8,8,20,12,5,10,13,8
"KRC017","KRC017",8,33,37,32,37,42,42,48,43,24,20,25,20,14,30,17,37,13,19,39,37,39,44,35,20,37,39,44,45,39,36,27,37,22,35,7,22,33,34
"KRC018","KRC018",14,7,8,8,9,10,10,47,28,16,9,20,7,12,15,23,16,9,10,36,6,5,10,13,7,42,6,3,6,8,22,10,11,16,4,9,13,8,24
"KRC019","KRC019",21,34,19,30,40,34,28,37,38,37,27,27,39,37,39,33,42,37,40,6,16,37,31,6,1,10,18,17,25,31,29,18,41,7,17,11,7,7,9
