"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"KRC001","KRC001",23,20,31,43,31,17,6,23,21,1,34,36,28,30,29,7,22,27,12,16,11,8,25,22,39,9,23,30,32,41,22,38,11,16,12,10,11,5,18
"KRC002","KRC002",10,4,1,14,14,5,3,9,11,5,3,9,19,4,12,30,13,19,2,23,2,1,10,22,27,9,16,2,8,1,11,4,21,10,3,10,1,14,2
"KRC003","KRC003",40,36,33,34,36,44,8,39,44,43,10,39,29,23,36,43,3,47,43,40,44,41,35,46,46,41,25,3,40,16,1,14,47,46,36,43,43,38,12
"KRC004","KRC004",10,23,14,15,11,14,11,37,23,21,27,7,6,18,7,18,7,6,8,8,46,46,38,29,15,9,11,16,8,33,11,4,11,27,26,27,2,10,4
"KRC005","KRC005",10,33,34,32,41,33,18,35,31,25,43,8,31,39,33,42,34,35,25,26,27,25,25,14,16,22,26,16,32,37,40,4,24,25,4,25,39,40,39
"KRC006","KRC006",48,39,47,40,47,43,47,41,47,48,46,48,46,48,48,48,47,48,48,14,41,42,45,41,38,46,30,41,41,43,31,41,42,42,37,47,47,46,48
"KRC007","KRC007",35,34,48,46,38,36,40,40,46,24,45,43,47,33,39,45,45,44,39,15,42,47,48,31,44,38,47,42,47,48,47,46,48,39,42,36,25,45,47
"KRC008","KRC008",23,2,24,25,25,19,36,34,9,31,40,16,13,26,31,21,39,11,34,29,10,5,25,22,35,22,11,36,24,30,31,14,11,34,11,21,42,25,30
"KRC010","KRC010",47,45,30,45,46,47,45,44,48,44,47,42,44,47,44,46,35,45,47,48,48,45,38,48,48,43,48,48,48,45,45,44,46,48,45,48,48,42,45
"KRC011","KRC011",23,48,41,33,39,45,44,46,45,45,44,46,42,7,45,28,46,43,29,33,13,13,25,18,18,3,5,30,18,11,11,45,34,13,12,10,14,8,23
"KRC013","KRC013",3,37,21,24,2,2,34,1,4,16,18,27,21,15,27,17,36,29,33,38,33,28,35,36,42,9,16,16,32,11,22,38,3,14,8,10,16,21,19
"KRC014","KRC014",23,38,11,7,1,27,4,33,34,46,12,17,7,25,16,12,29,7,17,26,8,5,10,22,21,22,39,16,32,14,11,8,11,27,15,25,9,9,42
"KRC015","KRC015",3,19,17,20,19,12,32,17,8,35,1,3,15,20,20,33,23,10,14,32,7,13,25,9,16,3,20,16,8,6,3,25,28,25,5,10,28,7,15
"KRC016","KRC016",44,43,40,37,44,42,46,43,43,27,5,37,34,45,35,39,40,41,31,47,25,39,2,45,40,47,42,43,18,39,31,34,36,45,40,39,35,34,37
"KRC017","KRC017",23,6,9,6,15,9,14,18,5,14,7,4,3,3,8,19,10,17,4,26,24,3,25,22,25,22,5,16,18,6,11,25,11,18,20,10,7,11,9
"KRC018","KRC018",10,13,20,13,3,22,17,36,37,30,19,44,27,36,38,38,37,38,21,43,6,15,25,29,34,34,20,16,8,20,11,14,18,35,28,21,5,26,29
"KRC019","KRC019",37,46,44,48,45,46,43,47,28,8,41,15,45,24,43,41,17,34,40,7,17,22,43,17,10,22,41,44,42,44,43,43,41,12,30,34,13,29,28
"KRC021","KRC021",23,18,39,2,28,35,25,7,35,42,11,31,38,35,23,16,26,22,19,21,4,2,10,12,33,22,36,36,8,20,40,38,24,16,17,25,31,33,31
"KRC022","KRC022",23,24,42,42,7,8,19,16,29,15,39,22,40,43,22,32,42,46,13,28,26,31,33,11,36,39,28,16,39,26,31,8,24,35,34,31,15,19,38
"KRC023","KRC023",3,7,4,5,33,3,37,25,25,6,26,33,35,44,41,40,38,32,20,17,36,5,25,5,13,3,11,16,32,6,31,25,1,22,25,10,34,3,32
"KRC024","KRC024",23,14,27,21,8,25,16,3,3,36,6,20,12,37,24,1,14,14,6,44,39,40,47,40,43,22,45,47,44,46,47,46,43,38,46,39,45,47,44
"KRC025","KRC025",42,29,36,29,13,4,33,30,20,4,29,13,17,31,26,23,6,15,35,19,34,38,25,39,11,45,33,16,32,14,11,4,30,37,38,38,41,41,36
"KRC026","KRC026",23,11,5,17,16,39,39,32,22,11,17,18,8,6,13,4,9,5,22,30,19,17,10,9,9,22,5,3,8,37,22,25,2,20,5,1,17,16,24
"KRC027","KRC027",23,16,7,1,12,20,28,42,41,18,16,5,4,22,6,11,15,4,5,34,16,8,25,22,30,22,26,16,45,24,22,25,3,33,1,10,8,31,25
"KRC028","KRC028",38,15,38,31,40,38,38,21,36,7,24,38,37,28,42,35,43,40,45,2,29,34,35,8,5,37,33,36,32,33,31,35,37,9,35,27,44,43,46
"KRC029","KRC029",23,10,28,22,22,31,7,24,13,37,21,25,14,2,17,22,4,9,23,41,22,17,16,16,19,9,5,16,32,2,22,14,11,31,7,10,32,1,10
"KRC030","KRC030",46,30,45,27,42,40,42,45,7,28,38,10,1,21,3,9,2,3,36,39,45,44,46,43,12,44,44,46,43,40,40,25,44,43,41,45,18,44,8
"KRC031","KRC031",3,25,12,28,26,13,20,10,15,19,32,28,41,38,9,27,24,37,30,23,15,10,10,33,45,3,5,16,18,11,11,14,21,20,14,10,22,13,14
"KRC032","KRC032",23,21,35,9,18,16,31,27,17,41,42,11,30,9,18,36,28,33,42,17,32,21,25,14,27,22,11,16,8,41,22,25,21,31,26,10,20,17,26
"KRC033","KRC033",44,26,2,18,23,18,12,2,16,26,9,29,39,42,28,37,31,31,44,45,35,48,44,47,47,42,46,45,45,47,46,48,45,47,44,46,33,37,41
"KRC035","KRC035",23,44,37,35,35,26,35,12,26,32,37,26,25,19,40,26,41,36,41,46,20,27,17,37,31,22,33,16,24,17,18,25,34,20,39,32,36,6,33
"KRC036","KRC036",40,31,43,39,29,24,2,28,12,39,13,41,33,10,15,10,27,23,3,34,43,37,35,44,21,40,20,16,8,30,22,14,34,44,31,42,12,36,34
"KRC037","KRC037",10,5,3,23,6,6,26,6,27,12,33,35,23,34,2,34,18,21,16,42,1,29,10,28,32,34,5,16,8,2,31,14,30,29,2,10,38,18,16
"KRC038","KRC038",23,47,46,44,48,48,48,48,42,47,48,45,48,5,46,44,48,28,7,22,40,13,10,4,29,22,5,36,32,20,11,4,11,23,19,10,30,27,3
"KRC040","KRC040",38,27,32,30,34,41,29,19,39,22,35,47,43,46,47,47,44,42,46,13,12,19,10,1,1,34,36,16,8,30,40,14,27,1,22,23,46,48,43
"KRC041","KRC041",23,35,29,19,10,10,9,13,32,2,30,1,9,13,32,20,32,13,11,10,37,23,10,2,4,22,23,16,24,6,3,25,18,5,10,19,19,15,22
"KRC042","KRC042",23,8,10,11,21,34,30,14,38,33,15,14,20,12,25,25,33,24,24,9,47,43,42,12,23,22,20,36,32,30,11,14,11,25,48,41,23,32,11
"KRC043","KRC043",7,28,18,36,32,23,21,31,19,20,4,2,16,27,34,24,16,20,9,1,28,33,40,7,2,22,16,30,8,14,31,25,11,1,47,10,4,30,1
"KRC044","KRC044",35,42,13,47,9,11,10,4,14,17,28,23,18,16,30,15,5,18,15,5,9,32,25,26,3,34,33,36,32,30,40,35,40,4,24,35,21,35,20
"KRC045","KRC045",23,40,15,41,24,37,41,22,30,13,36,34,11,1,5,6,8,12,26,31,20,36,2,27,7,12,29,36,8,20,31,33,39,3,29,29,3,20,35
"KRC046","KRC046",3,22,23,16,37,21,5,8,24,34,23,24,24,41,14,31,19,16,37,12,18,20,25,33,8,3,16,16,24,24,22,25,11,8,16,1,6,22,6
"KRC047","KRC047",23,41,25,38,43,30,1,38,40,10,31,40,36,14,37,3,30,39,27,20,5,30,25,33,24,22,43,36,8,26,44,25,30,7,33,37,37,4,21
"KRC048","KRC048",23,32,22,12,27,7,27,11,18,23,25,12,5,40,11,13,25,1,1,36,30,8,10,35,21,22,16,16,8,6,31,4,11,29,21,10,26,24,17
"KRC049","KRC049",23,12,6,8,20,32,23,29,33,9,20,6,32,29,19,14,21,26,10,11,3,10,2,5,37,3,5,1,24,20,3,25,11,10,9,10,10,2,13
"KRC050","KRC050",23,17,19,10,4,15,22,20,2,29,2,19,22,17,4,2,11,2,28,3,31,24,25,3,26,22,33,16,18,24,11,38,30,6,23,30,27,28,7
"KRC051","KRC051",23,3,26,26,5,28,15,5,6,3,14,30,2,32,10,29,20,30,32,6,23,26,41,38,14,22,39,30,21,36,37,41,38,40,43,32,40,39,27
"KRC053","KRC053",6,9,16,4,30,1,24,26,10,38,8,32,10,11,21,8,12,8,18,4,14,15,2,22,6,22,5,16,32,35,3,25,11,16,18,21,29,12,5
