"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"BARN","BARN",3,3,3,4,3,3,3,3,3,13,5,14,6,5,7,5,16,5,4,3,6,3,5,3,2,5,5,5,5,4,5,5,5,4,3,5,4,3,4
"BEDSONTC","BEDSONTC",8,5,6,6,6,6,6,7,7,11,8,10,7,8,9,8,10,7,7,8,1,7,8,8,8,11,8,8,8,8,8,8,8,6,8,8,5,6,6
"BEDSONTCA","BEDSONTCA",18,28,28,28,28,28,28,28,28,27,28,27,28,28,21,21,27,28,28,23,21,23,26,27,30,13,27,26,27,27,28,27,25,28,23,22,28,28,28
"BEDSONTCB","BEDSONTCB",1,1,13,1,1,1,1,1,1,1,1,5,1,1,1,1,7,1,1,1,7,8,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,7
"CASTLEAZES","CASTLEAZES",7,4,2,5,4,4,4,4,4,12,6,13,5,6,6,6,13,4,5,4,3,2,2,2,3,4,2,2,3,2,2,2,2,3,4,3,6,5,3
"CHART","CHART",31,29,29,29,29,29,29,29,29,28,29,28,29,29,26,24,28,29,29,30,30,29,28,30,31,32,28,28,28,28,27,27,28,29,28,28,29,29,29
"GLAZIER","GLAZIER",12,17,17,16,14,13,16,18,16,4,18,1,17,19,14,16,3,14,18,15,14,14,12,15,15,12,14,16,15,14,14,12,14,13,15,14,18,18,17
"GNML","GNML",17,9,8,11,8,10,8,8,9,14,9,12,8,9,13,13,15,8,8,10,11,10,9,9,13,22,9,9,9,9,12,9,9,12,9,10,8,8,8
"GREY","GREY",5,8,7,20,9,18,12,9,18,19,13,19,9,14,20,20,19,15,9,9,8,6,6,7,7,1,7,6,6,7,7,6,6,9,6,4,12,9,9
"HOPE","HOPE",27,26,26,26,26,27,26,24,24,24,24,26,25,24,27,26,25,26,26,28,25,18,27,25,26,30,26,24,24,26,26,26,27,23,27,25,25,26,25
"HULL","HULL",16,20,19,21,19,20,20,15,21,23,19,22,20,21,22,22,22,20,20,21,15,17,21,20,20,19,15,13,13,17,20,19,15,17,16,13,21,20,12
"KINGS","KINGS",11,13,10,10,12,9,10,14,12,3,14,2,13,13,8,10,2,10,13,11,12,11,10,11,11,9,12,14,12,12,11,11,12,10,12,12,14,13,14
"KRC","KRC",21,10,9,15,10,11,11,10,10,17,11,18,10,11,19,18,21,11,10,13,20,13,11,12,12,18,10,11,10,10,16,10,11,14,11,11,10,10,10
"LAW","LAW",15,18,18,18,18,16,19,20,20,7,20,8,19,20,16,19,5,16,19,19,18,19,20,19,19,16,21,21,20,20,19,20,20,18,19,18,20,19,20
"LEARNLOUNGE","LEARNLOUNGE",30,24,25,25,25,24,25,23,25,26,26,25,24,23,25,25,24,25,23,26,26,26,24,24,25,27,23,23,25,25,25,25,24,25,25,26,24,24,24
"LEAZESTCE","LEAZESTCE",6,7,5,7,5,5,5,5,5,16,7,17,4,7,10,9,17,6,6,6,5,4,7,5,4,2,6,7,7,6,6,7,7,5,7,6,7,7,5
"LGROUPSTUDY","LGROUPSTUDY",14,16,16,14,15,14,15,16,13,20,17,21,15,16,15,14,20,12,17,16,17,16,15,16,14,17,16,18,17,15,15,15,19,16,17,17,16,16,16
