"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"BARN","BARN",19,11,9,19,18,18,17,11,20,28,15,20,14,19,27,20,17,16,9,18,18,19,20,13,16,20,15,21,19,9,14,13,14,12,12,16,10,12,7
"BEDSONTC","BEDSONTC",25,18,15,15,19,15,18,19,18,18,26,17,18,22,18,18,15,21,19,23,21,30,24,32,21,28,22,20,22,21,23,20,23,17,19,22,17,23,15
"BEDSONTCA","BEDSONTCA",8,20,21,16,21,21,22,21,15,16,16,11,20,17,8,9,13,23,20,13,8,12,16,16,18,2,18,14,15,17,18,16,15,15,14,10,14,20,20
"BEDSONTCB","BEDSONTCB",2,1,16,1,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2
"CASTLEAZES","CASTLEAZES",6,10,8,8,5,11,6,13,6,19,11,19,6,10,14,7,20,5,5,11,6,7,6,3,6,9,7,5,12,5,8,7,13,8,5,5,18,5,5
"CHART","CHART",12,21,22,20,22,23,25,22,24,17,18,14,21,21,12,12,14,24,23,19,16,17,17,19,20,16,20,17,16,18,16,16,19,18,17,14,15,22,22
"GLAZIER","GLAZIER",22,12,11,10,9,9,10,12,10,4,9,4,10,11,9,10,4,10,12,12,11,8,11,12,12,17,12,10,9,12,11,12,10,10,9,19,12,13,11
"GNML","GNML",18,6,6,7,6,5,5,4,5,6,3,6,4,4,5,8,8,4,4,6,7,5,7,6,8,13,5,4,3,6,7,3,5,7,6,6,3,3,3
"GREY","GREY",4,4,2,26,24,22,15,7,17,15,19,18,19,18,21,29,16,20,16,21,3,3,3,11,10,6,3,3,4,3,3,5,3,16,3,4,13,11,18
"HOPE","HOPE",22,25,17,14,17,16,19,17,13,14,20,12,13,14,17,16,12,17,17,22,26,22,25,31,24,25,24,18,21,20,25,21,21,21,25,30,16,19,23
"HULL","HULL",21,30,20,21,27,32,21,26,30,31,23,27,23,23,28,27,29,22,30,24,28,26,32,25,26,23,26,25,24,24,28,24,28,27,26,29,24,24,19
"KINGS","KINGS",16,32,12,22,10,6,11,10,23,5,25,22,32,8,16,11,3,14,11,8,15,15,8,9,9,19,8,11,7,8,13,8,6,5,11,11,27,10,29
"KRC","KRC",27,17,19,23,20,19,12,16,14,27,29,29,24,24,22,22,32,11,28,17,23,23,19,18,17,24,13,23,20,13,17,11,12,26,20,24,25,16,27
"LAW","LAW",29,15,18,18,16,14,20,18,21,24,13,16,16,16,20,19,19,19,18,27,29,24,26,22,22,29,23,24,25,22,24,22,22,22,18,21,30,17,16
"LEARNLOUNGE","LEARNLOUNGE",17,14,14,12,13,12,14,14,12,13,17,10,12,13,13,13,11,13,13,15,17,16,14,15,15,15,17,9,18,16,15,19,17,13,16,17,9,15,13
