name,check,compiler.compiler,compiler.sunflow,compress,crypto.aes,crypto.rsa,crypto.signverify,derby,mpegaudio,scimark.fft.large,scimark.fft.small,scimark.lu.large,scimark.lu.small,scimark.monte_carlo,scimark.sor.large,scimark.sor.small,scimark.sparse.large,scimark.sparse.small,serial,starrtup.crypto.signverify,startup.compiler.compiler,startup.compiler.sunflow,startup.compress,startup.crypto.aes,startup.crypto.rsa,startup.helloworld,startup.mpegaudio,startup.scimark.fft,startup.scimark.lu,startup.scimark.monte_carlo,startup.scimark.sor,startup.scimark.sparse,startup.serial,startup.sunflow,startup.xml.transform,startup.xml.validation,sunflow,xml.transform,xml.validation
BARN,1500.2023756153255,248.77372132407763,96.538541538008474,197.05304402703234,72.319538750693624,116.22451890494025,200.57513099761113,177.42284697164644,101.96457364280215,36.602382425638673,353.99824143702023,6.8409647897764936,280.94521088818766,58.832406845320492,36.294033014291323,162.81541241797808,21.098692243772376,249.55782562346729,116.82096956919733,9.1059726131002883,4.474969154239667,17.806213743768989,47.396286848061067,7.0699084474383556,8.0054082725311222,561.59152286974961,26.310524335658851,81.777133610752358,65.533952337587877,10.773320261193444,41.84131662869175,60.38379014634414,28.148718270436188,9.3527503284153326,2.9607081922042702,73.495675960145377,86.928683960439486,254.28203241813068,488.56354497605508
BEDSONTC,1346.3057891821709,243.47143988485101,94.377973750768007,192.71601949276899,70.67506554521303,113.78661796510119,196.39780495920397,172.95479206029759,100.60595062714974,36.9254232059793,349.5050199194261,7.0572171928382597,277.83182298883253,58.028311496372126,35.743532683483963,161.43008456682864,21.710069273776373,245.31497145854709,114.76069947262336,9.0760977337166473,4.6626790934632263,17.27877513962526,46.620465955113296,6.9845421013300415,7.9481603239112939,454.23879881555661,25.8066308055792,80.645531865266037,64.425956005481837,10.649966307925608,41.378430974886726,59.250674421813216,27.48409910841653,9.2912586015151444,2.8967329952073855,70.895657553728299,86.033563773815047,250.59846381266615,478.88470262078681
BEDSONTCA,967.74193548387098,139.99345584130594,54.841717202420234,106.35518201459683,30.11410136354435,50.477186992636227,86.344711930721601,73.753035697094475,48.613691771332881,25.435093987146487,182.62489056041869,5.6964864912716253,114.33064671910556,33.802085891033478,30.605815120576494,136.65666274623189,18.164324395152192,79.082969180063088,50.507065610160254,8.3426028921023363,2.9931158335827597,12.096774193548388,35.608308605341243,5.6561085972850682,6.7712447804988152,425.531914893617,18.674136321195146,61.983471074380162,47.505938242280287,8.6046178115588692,33.16749585406302,40.053404539385845,19.329896907216494,7.6462342296419017,2.0823933641064798,46.911649726348713,41.94047849181954,114.80729742533191,171.79919409480362
BEDSONTCB,1606.0398078242965,271.61278978015525,84.745319014266528,287.18482528954667,82.249597058714571,135.96542556660654,240.39353743113719,232.36781618178102,131.18675847116901,52.370419404123396,530.52709896480894,10.532045105050429,329.14476766847554,89.592486285547707,56.787857917881439,340.6858547648925,30.822940633275785,278.83846679989813,144.56695813547879,9.2796447347476132,4.3827350775601017,17.044743692888524,49.629964621374825,7.2775850146157834,8.2012420689191323,511.4566284779051,27.868091035764049,87.463556851311949,69.289977756796986,11.32933098760277,43.957553856054304,63.56388709329886,30.045067601402103,9.4865266823623902,3.1812867572463737,76.951535331113575,109.44231493191556,324.95441238150806,478.69430724567064
CASTLEAZES,1417.6758273177168,248.57439546017406,96.760778017623139,196.0315120043889,71.996343030168092,115.51638657415535,199.98364560456147,177.40975470625114,101.86968096237695,36.708480051589518,352.83585402952372,6.8607519771481877,281.048244167284,58.692654857937498,36.373769388439342,162.22896329423722,21.229028112153998,249.89424890525711,115.72415829783421,9.0971934032222919,4.6167802285401089,17.983318939680686,47.81896026349736,7.0789730186425022,7.9940824662451373,563.70469335237124,26.530912891150194,82.694984286206321,66.204562719026541,10.833090629559457,42.135692735719807,60.864529924067263,28.337176720903489,9.3565204427005035,2.9571499623644755,74.327095107816064,85.989230685373897,252.00385948523856,489.32579670149573
CHART,645.16129032258061,131.38040666068201,50.305815973625712,94.507547271725116,27.945261852787198,45.4651894938293,79.088882195135895,67.427448977383776,35.912418070983541,24.238492363662772,166.06761947406858,5.4914478261572448,104.01140171140567,30.7934916109689,27.333542787461969,123.81908944151246,17.004526956453216,75.865803069120119,45.448254761465989,8.0128205128205128,2.2334723049434189,10.595090941197245,34.64203233256351,5.3643272239606619,6.5409353537555868,83.565459610027858,18.055973517905507,59.171597633136095,44.709388971684056,8.5094312863423625,33.726812816188868,40.053404539385845,18.575851393188856,7.4110671936758896,1.9592476489028212,40.899795501022496,38.156889781213508,101.3874795979666,147.05836627747169
GLAZIER,1167.0837129627739,208.78279949081707,81.458533315106365,171.83863954198608,59.91930947631019,100.67609709851737,172.05122905942056,127.16264047811896,84.414351542992861,50.003686873508457,288.01486483643163,10.697346679475659,225.5486837775077,47.507337281704672,33.956291139977445,146.83763111038371,35.505591229391932,210.52202437856135,91.672314476186457,8.8291199053700016,3.4486736115754759,14.349032868107406,42.749228286805085,6.5650127814493455,7.6583249935660032,448.28731032560205,22.223557969515138,66.978034744003821,54.527581855747698,9.821781029665118,38.627025857850406,52.134043453588049,22.909118950522526,8.8564975590240653,2.4201354111972528,53.582545024859435,67.915697144319907,205.88919557014924,317.13533176779669
GNML,969.89638632681215,234.51399933015492,89.226932173580025,180.31445420534504,65.257423290184903,106.48653631693641,185.50482110650393,162.49305954168821,94.188791678928695,36.48308168899451,330.18047509297099,6.8924486306788477,261.22344989868674,54.792531577267582,34.05276437636973,149.11594694055549,21.178152667665469,232.09332439807199,109.18806296650268,8.9245505395996627,3.581763296514521,15.851202463996321,44.310145523300058,6.7444702371249532,7.7183590641502926,270.83596250101431,24.426023614097414,77.161344252592485,61.47047562641427,10.440579799212241,38.970464626801082,56.913658438704495,25.688097455674956,8.9197801745119296,2.6911209141642973,64.103909666351157,81.72630417327025,239.12268508786227,457.01781061687478
GREY,1445.2579310976946,236.87724338940532,92.955182226585094,164.11808740413187,64.643232145609375,95.476052934172287,178.17125657289935,158.95138126178352,82.215641054892799,34.487402340073011,302.12333215416118,6.5968698177168887,250.77726976457825,50.234914088074369,31.355710780347909,137.72619984884227,20.411693094925329,209.55700961746805,104.47557285520932,9.0017726360123635,4.1985579112844258,17.441566060667107,47.018276758558265,7.0207193093660081,7.9535077125103806,593.20933575830225,26.132131908051825,81.339704967853535,65.165814512416304,10.663380345781777,41.525135645974665,60.07975975671873,27.979621072937302,9.1467717665366148,2.9110816072595864,73.517947250526348,71.070584342489894,230.51795979203598,444.97725510463306
HOPE,859.07910988907736,176.77741489457483,68.81085008792256,134.04568263276246,44.593823492051989,72.32706159076784,124.76386957444033,101.11434105092144,66.565704687099498,29.489153060856321,253.44480456014927,5.7434661248006842,183.75167521220712,39.112331764931128,27.314108864733971,120.69771970721516,18.57818932683066,151.86519429558493,70.298862000850434,8.2459393949664435,2.4945439641452447,13.488814567613908,35.211421911456554,5.7758224146365933,6.9392837015294413,194.17012510872553,18.828746088114379,63.224328676902445,48.404822013010374,8.8353536751153534,34.566401970384945,42.209370812555207,19.094714554390197,8.219417527536768,2.0135269024517086,44.541360098076247,53.282500429629664,156.75427438838716,249.97047769099299
