name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
TOLL01,15.739834283390271,3.298276862264955,20.912983882905564,15.028614517342149,11.308059740299781,22.963777117887979
TOLL02,16.445918943606969,3.3821040774376532,19.185485173212658,15.224204746948907,11.46485410658107,23.129590898314387
TOLL03,15.805230757119466,3.2651195568410234,21.050910374711687,14.828544820404007,10.935143290713489,22.516971405609379
TOLL04,16.729903250682273,3.539612506546733,22.490728535618643,16.023329923487864,11.835749856664803,24.978959721302179
TOLL05,15.829522210429335,3.5187519814080623,22.044837115847386,15.682325472789826,11.637860542497959,25.804644664170716
TOLL06,17.445949662980393,3.5448129718505892,22.560001798963352,16.051045566637224,11.838488967415534,27.480289243741737
TOLL07,16.352511698575491,3.5347832485213768,22.410393469298377,16.093795345658247,11.854474796532124,27.634667943710589
TOLL08,15.668919753876756,3.479320059184305,20.765357548316015,14.937389650040698,10.612292950679345,23.985961798400425
TOLL09,15.915065809717897,3.4714891358815074,21.640992950973764,15.444234757259512,11.478555865153171,26.640677082037815
TOLL10,16.213456791469461,3.5367500165343828,21.451037709809324,15.995637331878584,11.750511434210614,27.225088764713558
