"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"TOLL01","TOLL01",6,6,4,8,6,8,9,3,6,6,4,10,9,4,5,4,9,6,1,4,5,5,7,6,6,6,10,9,9,8,9,6,6,9,7,6,1,3,6
"TOLL02","TOLL02",6,10,10,6,8,1,3,5,9,8,10,8,10,6,6,9,3,8,7,7,6,5,7,6,9,6,6,6,3,7,3,6,8,9,5,6,4,8,10
"TOLL03","TOLL03",10,8,7,7,10,6,8,10,7,7,6,9,4,9,2,10,10,9,6,8,10,8,7,10,4,6,6,9,7,4,7,6,10,9,6,9,10,10,4
"TOLL04","TOLL04",6,1,6,4,5,3,7,9,3,3,9,5,7,5,10,8,8,10,8,2,4,3,2,4,1,1,6,2,3,4,3,1,1,6,1,2,3,5,2
"TOLL05","TOLL05",6,9,8,2,9,7,4,1,4,5,3,1,8,3,9,6,6,7,3,9,3,9,7,3,3,2,6,9,7,1,3,6,9,3,2,9,8,1,9
"TOLL06","TOLL06",6,7,9,5,7,9,2,7,1,1,8,2,6,10,8,2,4,5,5,6,9,10,2,8,10,6,6,6,9,10,7,6,6,3,10,2,6,6,7
"TOLL07","TOLL07",6,5,2,3,2,4,1,2,5,9,1,3,2,2,7,3,1,4,4,2,1,2,2,2,4,6,1,2,3,4,3,6,2,1,4,6,2,2,8
"TOLL08","TOLL08",1,3,3,10,4,5,6,8,8,4,5,7,3,7,1,7,5,3,9,10,8,7,10,9,2,6,3,2,3,9,9,6,4,5,9,6,9,9,5
"TOLL09","TOLL09",6,2,1,9,3,10,10,4,10,10,7,4,5,1,4,1,7,2,2,1,7,3,5,4,8,6,6,6,3,4,3,6,4,6,3,6,5,7,3
"TOLL10","TOLL10",2,4,5,1,1,2,5,6,2,2,2,6,1,8,3,5,2,1,10,4,2,1,2,1,7,6,1,2,7,4,3,6,4,2,8,2,7,4,1
