"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"TOLL01","TOLL01",9,9,8,8,8,9
"TOLL02","TOLL02",3,8,10,7,7,8
"TOLL03","TOLL03",8,10,7,10,9,10
"TOLL04","TOLL04",2,2,2,3,3,6
"TOLL05","TOLL05",7,5,4,5,5,5
"TOLL06","TOLL06",1,1,1,2,2,2
"TOLL07","TOLL07",4,4,3,1,1,1
"TOLL08","TOLL08",10,6,9,9,10,7
"TOLL09","TOLL09",6,7,5,6,6,4
"TOLL10","TOLL10",5,3,6,4,4,3
