"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"LEAZESTCE001","LEAZESTCE001",6,9,9,10,9,5,10,8,3,1,8,6,4,12,4,4,4,7,6,4,1,7,4,2,2,1,2,6,5,1,6,6,2,1,3,4,7,6,2
"LEAZESTCE002","LEAZESTCE002",6,6,5,8,2,2,5,11,10,7,7,1,9,5,10,12,11,4,3,2,8,7,9,1,4,6,8,6,5,11,12,6,10,3,5,4,3,7,1
"LEAZESTCE003","LEAZESTCE003",6,2,3,5,10,6,9,6,5,8,10,10,3,9,5,9,2,9,2,5,5,7,4,8,3,11,8,6,5,3,6,6,2,7,7,4,9,9,6
"LEAZESTCE004","LEAZESTCE004",6,8,2,9,4,10,4,10,6,2,3,11,10,3,8,6,5,10,11,7,3,11,9,10,7,6,2,6,5,8,6,6,6,6,1,10,10,3,9
"LEAZESTCE005","LEAZESTCE005",6,1,4,11,3,1,12,4,9,11,1,7,7,11,11,7,10,8,4,1,1,1,11,4,1,6,8,6,5,10,6,1,2,8,8,4,8,10,4
"LEAZESTCE006","LEAZESTCE006",12,12,11,12,12,12,11,12,12,12,12,12,12,10,12,8,12,12,10,12,7,12,4,12,8,11,2,6,12,12,6,6,12,12,12,12,11,12,12
"LEAZESTCE007","LEAZESTCE007",6,10,12,1,7,4,1,2,1,9,9,9,1,4,1,1,8,2,1,9,6,7,4,8,10,6,2,1,5,1,6,6,10,10,11,4,1,1,11
"LEAZESTCE008","LEAZESTCE008",6,4,10,2,1,9,2,1,2,10,2,4,2,2,2,2,1,1,5,3,11,2,4,3,6,6,8,6,5,5,6,6,6,4,6,4,4,2,3
"LEAZESTCE009","LEAZESTCE009",6,11,7,3,8,11,8,7,4,6,11,3,11,8,3,3,9,11,12,8,4,2,4,7,5,6,12,11,5,5,6,6,10,2,1,10,12,11,10
"LEAZESTCE010","LEAZESTCE010",6,5,8,4,6,7,6,3,7,4,4,5,8,7,6,10,7,3,8,11,12,7,4,11,10,6,5,6,5,7,6,6,6,9,4,4,6,5,5
"LEAZESTCE011","LEAZESTCE011",6,3,6,7,5,3,3,9,8,5,5,2,6,6,9,11,3,6,9,9,10,7,4,6,9,6,8,6,5,8,6,12,2,11,10,4,5,8,8
"LEAZESTCE012","LEAZESTCE012",6,7,1,6,11,8,7,5,11,3,6,8,5,1,7,5,6,5,7,6,8,7,12,5,12,6,8,11,11,5,6,6,6,5,8,10,2,4,7
