"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"LEAZESTCE001","LEAZESTCE001",3,7,5,9,7,5,7,8,9,2,4,9,8,4,4,5,3,3,4,5,3,3,8,2,4,2,7,6,5,6,6,6,6,2,4,6,7,7,8
"LEAZESTCE002","LEAZESTCE002",9,9,10,5,8,11,8,9,8,12,11,10,11,11,10,8,9,10,10,12,10,9,9,7,7,5,10,10,9,10,9,10,10,8,10,10,9,10,9
"LEAZESTCE003","LEAZESTCE003",9,6,6,6,6,7,10,7,11,9,8,6,10,10,5,6,8,7,7,7,6,4,5,4,8,7,4,3,3,4,3,4,4,3,5,4,6,4,4
"LEAZESTCE004","LEAZESTCE004",3,2,4,2,3,2,4,10,7,5,6,8,5,5,6,3,11,11,6,4,5,6,3,6,3,6,5,4,4,5,5,5,3,4,1,5,5,6,6
"LEAZESTCE005","LEAZESTCE005",3,4,7,4,4,8,6,5,3,7,5,5,6,6,8,4,4,6,9,11,4,5,4,5,2,9,3,5,6,2,2,3,5,5,3,2,4,5,5
"LEAZESTCE006","LEAZESTCE006",3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"LEAZESTCE007","LEAZESTCE007",12,5,2,11,9,6,5,2,6,6,3,3,3,2,2,9,2,2,3,10,12,12,10,11,12,8,11,12,12,11,10,11,11,11,11,11,10,9,10
"LEAZESTCE008","LEAZESTCE008",7,10,11,12,12,12,12,12,12,11,12,12,12,12,11,12,12,12,12,6,9,10,11,10,11,12,9,11,11,9,8,7,8,7,7,8,11,12,11
"LEAZESTCE009","LEAZESTCE009",11,11,12,10,11,10,9,11,10,10,7,11,9,8,12,7,7,8,8,1,8,7,6,12,10,4,8,8,8,12,12,12,12,12,9,12,8,8,7
"LEAZESTCE010","LEAZESTCE010",8,12,8,8,1,3,2,3,5,3,2,4,2,3,7,2,10,5,2,8,11,11,12,9,6,11,12,8,10,8,11,9,9,10,12,9,2,2,2
"LEAZESTCE011","LEAZESTCE011",3,3,3,3,5,4,3,4,2,4,10,2,4,7,3,11,5,4,5,3,2,2,2,3,5,3,2,2,2,3,4,2,2,6,6,2,3,3,3
"LEAZESTCE012","LEAZESTCE012",6,8,9,7,10,9,11,6,4,8,9,7,7,9,9,10,6,9,11,9,7,8,7,8,9,9,6,7,7,7,7,8,7,9,8,7,12,11,12
