"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"LEAZESTCE001","LEAZESTCE001",3,8,4,3,3,7
"LEAZESTCE002","LEAZESTCE002",11,10,9,10,9,8
"LEAZESTCE003","LEAZESTCE003",9,6,8,7,7,5
"LEAZESTCE004","LEAZESTCE004",5,9,6,8,11,6
"LEAZESTCE005","LEAZESTCE005",7,4,7,6,4,4
"LEAZESTCE006","LEAZESTCE006",1,1,1,2,1,2
"LEAZESTCE007","LEAZESTCE007",4,3,2,1,2,9
"LEAZESTCE008","LEAZESTCE008",12,12,12,12,12,12
"LEAZESTCE009","LEAZESTCE009",10,11,11,11,10,11
"LEAZESTCE010","LEAZESTCE010",2,5,3,5,8,1
"LEAZESTCE011","LEAZESTCE011",6,2,5,4,5,3
"LEAZESTCE012","LEAZESTCE012",8,7,10,9,6,10
