"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"PSS-DAYS-60897","PSS-DAYS-60897",3,3,2,3,2,1
"PSS-DAYS-60902","PSS-DAYS-60902",2,2,1,1,1,2
"PSS-DAYS-60935","PSS-DAYS-60935",1,1,3,2,3,3
