name,check,compiler.compiler,compiler.sunflow,compress,crypto.aes,crypto.rsa,crypto.signverify,derby,mpegaudio,scimark.fft.large,scimark.fft.small,scimark.lu.large,scimark.lu.small,scimark.monte_carlo,scimark.sor.large,scimark.sor.small,scimark.sparse.large,scimark.sparse.small,serial,starrtup.crypto.signverify,startup.compiler.compiler,startup.compiler.sunflow,startup.compress,startup.crypto.aes,startup.crypto.rsa,startup.helloworld,startup.mpegaudio,startup.scimark.fft,startup.scimark.lu,startup.scimark.monte_carlo,startup.scimark.sor,startup.scimark.sparse,startup.serial,startup.sunflow,startup.xml.transform,startup.xml.validation,sunflow,xml.transform,xml.validation
BARN-01,1935.483870967742,222.16891348906654,87.947703035695923,98.096395469919969,38.952947573796145,56.343166559807649,120.76049920206853,112.35124180717682,41.683378464851891,27.442981961211679,199.74484665725328,4.8817635639934824,169.37505070529323,32.55253413361266,17.945992020014753,90.815582710125142,16.467222258091102,144.17067143376403,90.495862969341132,8.9445438282647594,4.3311917996101927,17.40139211136891,46.332046332046332,6.9300069300069298,7.8978544162169273,550.45871559633031,25.466893039049236,80.10680907877169,63.09148264984227,10.393209769617183,40.48582995951417,56.550424128180964,27.088036117381488,8.8613203367301736,2.8343332231092635,72.551390568319221,50.882998623749017,185.18381744882322,403.81414842648906
BARN-02,1276.5957446808511,239.59090242861302,92.265950739134894,195.32957010222827,69.92682315650454,115.50980376050136,200.25322546418937,176.85735597801332,102.41154618393709,34.958251353316001,349.76381453701447,6.7896825585617213,281.6298064112284,58.420033484000861,34.665632503037102,162.91525353702241,20.519811213186721,249.59241452991449,115.38163472782897,8.7616822429906538,4.3757292882147025,17.40139211136891,45.248868778280546,7.0571630204657732,7.9628400796284007,312.5,25.466893039049236,76.92307692307692,64.102564102564102,10.407632263660018,41.180507892930677,57.41626794258373,27.56086357372531,9.1143855385082784,2.8936580660718594,67.491563554555682,87.392778585369058,240.13227280669884,459.54130900772361
BARN-03,1276.5957446808511,245.69298781763351,95.993172505111616,198.65835647859211,72.029107402111791,116.46000773647307,202.32701471456727,173.54022991909,85.250084375903072,35.253499234691013,314.00941391946066,6.6474248087298173,241.93919720233225,55.182219277667869,33.351603741015559,142.64105449859142,17.008303368836643,221.75860809647722,103.28760307063162,8.9245872378402495,4.4309873716859904,17.406440382941689,47.505938242280287,7.0696359137504414,7.8492935635792778,256.41025641025641,25.996533795493935,78.534031413612567,64.102564102564102,10.743061772605193,42.25352112676056,60.120240480961925,27.472527472527471,9.334163036714374,2.9495624815652346,72.551390568319221,78.540329925152676,250.2888293639862,486.09912823893103
BARN-04,1276.5957446808511,248.61986447623673,95.545581198350376,199.00577788755234,72.366177817121553,116.7942254615609,202.24722222222221,178.57883206629754,103.39438941007624,35.002055255597142,351.49743096197818,6.913762631533797,272.7873957099909,58.985962100187933,37.085699053220033,164.85683526978178,21.047264315131144,242.03529587738765,115.15527746036935,8.9874176153385257,4.1310933627099971,17.251293847038529,45.248868778280546,7.0447340612891862,7.8328981723237598,273.97260273972603,26.338893766461808,80.10680907877169,65.146579804560261,10.773927096426647,41.811846689895468,57.361376673040155,27.868091035764049,9.2678405931417984,2.9358516416303764,72.551390568319221,86.262525247338331,250.86402633900323,491.07724017074031
BARN-05,1276.5957446808511,231.80173459743159,91.702861964652968,189.09157164614635,69.690083211950252,112.44846893366872,194.02456621575317,156.62447569580567,95.339889448579441,33.772431875331485,325.02411536293789,6.4666236906828889,265.56419396496557,55.581564753714446,33.907937023331094,153.02002459293141,19.76402226847398,233.79062147679963,108.76243378377896,8.8015255977702793,4.3336944745395449,17.251293847038529,45.078888054094662,7.0571630204657732,7.8657577346617726,256.41025641025641,25.062656641604011,76.726342710997443,62.434963579604577,10.16432322547857,39.499670836076369,57.58157389635317,26.583961010190517,9.2678405931417984,3.0246509048747292,70.921985815602838,83.174940697677101,239.656366936822,471.47193392695112
BARN-06,1276.5957446808511,237.86887134992264,94.28910455960829,185.10631993272855,68.550500759440823,109.18621470279788,187.89006973518073,167.63969911019458,82.817432814623686,34.208667164242428,344.72666079296073,6.0610088391574903,242.57179663049897,55.711292509845904,33.297441189239748,153.04269627471612,20.148885490443639,233.86284161100338,107.16845018314751,8.9445438282647594,4.3706293706293708,17.641870038224052,47.468354430379748,7.018364721020002,7.9302141157811263,550.45871559633031,25.817555938037867,81.743869209809262,65.217391304347828,10.653409090909092,40.053404539385845,61.037639877924718,28.076743097800655,9.2893636785880176,2.8853089685020437,73.982737361282361,81.894363291518317,234.32783277821693,455.6762759536748
BARN-07,384.61538461538464,223.97564872153907,87.237567632457285,178.00868248279187,67.880311068701189,109.13734511265922,184.84074111921529,137.63476640012721,93.476861305659426,8.7782028448413669,325.41643243908305,5.1606833126426368,252.87975740230812,56.058286706430117,32.540711417487159,156.4591095891584,13.666423389309895,242.05814995355479,108.32988103978252,8.5543199315654412,1.8787575150300602,8.1510664311914134,25.608194622279129,6.0901339829476244,6.9332100762653113,160.42780748663102,19.633507853403142,51.813471502590673,44.020542920029349,9.6463022508038581,34.383954154727796,47.961630695443645,19.373587342589602,7.981907675934548,2.1300766827605795,40.705563093622793,80.235032024505699,237.91312454018359,430.35540890929929
BARN-08,1333.3333333333333,243.49829792709804,95.502952890097731,178.70963475968856,72.880436351018915,115.70591070456489,176.57594564621138,170.92480167030999,101.69472840998125,33.914813404991904,347.70649597895238,6.2083380303001112,268.40631164989645,57.922028673197246,33.815847090304587,159.97949954753705,18.932876098042037,233.41086799649392,117.11327877234785,9.223674096848578,4.4622936189201248,17.016449234259785,46.189376443418013,7.018364721020002,7.9628400796284007,276.49769585253455,25.466893039049236,79.365079365079367,63.626723223753977,10.442046641141664,40.760869565217391,58.422590068159685,27.247956403269754,9.2449922958397543,2.9093730301120106,69.124423963133637,86.57520637516032,243.76414165774381,431.53171222276956
BARN-09,1276.5957446808511,230.74269966452755,89.775316479472181,185.17826782630891,68.542591584472248,108.91578940715033,186.85981702073039,167.1634953258075,95.835882164871649,34.304431741342817,335.05291482600609,6.6037939896612752,266.67635617873322,55.157910538016814,31.895659093842234,153.43453452248761,20.350000928991932,237.41087689557057,110.39130833566377,8.9659294680215176,4.3757292882147025,17.804154302670621,46.911649726348713,7.0315246689323798,7.9302141157811263,295.56650246305418,26.05297438124186,79.47019867549669,63.492063492063494,10.351966873706004,39.473684210526315,55.917986952469711,25.873221216041397,9.2793071450665021,2.7815122154744798,70.588235294117652,53.395471465996948,241.55479090033151,449.96495630720312
BARN-10,1276.5957446808511,221.41777549191872,88.223705030564489,187.51907753459065,70.973036399771118,113.26876979156792,189.80868696900723,165.07855559773685,87.479265478811243,26.795602471830442,310.4303483234745,5.7385960668466902,250.57016593315379,54.560173797284783,29.140398379528968,135.38798645844594,17.944947113148448,213.44428763616196,103.08112276417567,9.1379835516296062,4.2765502494654308,16.474464579901152,45.011252813203299,7.0323488045007032,8.0310534065051531,279.06976744186045,24.671052631578949,75.853350189633375,59.523809523809526,10.058675607711651,38.265306122448976,56.179775280898873,25.521054870267971,9.3603744149765991,2.8519821275786672,68.337129840546694,65.290313432217701,237.31750011429415,451.32294864728885
