"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"BARN-01","BARN-01",7,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,16,17,17,17,16,17,17,17,17,17,17,17,18,17,16,18,18,17
"BARN-02","BARN-02",7,9,5,9,14,8,13,5,8,12,1,7,7,12,14,5,10,3,9,3,8,5,10,2,5,8,12,7,6,11,6,14,11,5,8,10,11,2,2
"BARN-03","BARN-03",7,5,11,8,10,6,12,11,3,14,14,11,12,3,13,10,1,14,5,9,14,15,10,16,14,8,6,7,6,6,6,7,5,9,5,4,1,5,12
"BARN-04","BARN-04",7,8,2,14,4,9,9,8,4,1,11,1,6,5,2,9,11,4,4,15,4,2,10,9,11,8,12,1,6,6,6,7,5,15,11,10,15,11,3
"BARN-05","BARN-05",7,3,9,4,1,11,2,2,5,9,8,3,1,7,1,1,3,2,7,4,1,5,3,9,14,1,12,7,13,6,6,7,1,8,1,4,8,3,6
"BARN-06","BARN-06",7,1,1,2,7,3,1,15,10,7,6,4,9,10,7,7,9,9,14,9,1,5,3,6,8,8,12,7,6,1,13,7,11,12,4,10,3,13,9
"BARN-07","BARN-07",7,2,3,5,13,2,10,3,12,11,12,2,8,1,12,6,12,7,3,15,6,5,3,9,4,8,12,7,6,14,13,7,5,9,13,10,4,1,7
"BARN-08","BARN-08",15,15,16,15,15,16,15,16,15,16,16,15,16,16,16,15,14,16,15,1,16,17,15,3,13,18,16,15,16,16,16,16,16,7,16,16,12,14,16
"BARN-09","BARN-09",15,7,4,6,5,15,6,6,1,4,13,10,4,11,5,2,4,10,12,4,9,11,3,12,1,8,1,7,6,2,6,7,5,12,3,4,7,15,14
"BARN-10","BARN-10",17,16,15,16,16,14,16,13,16,15,4,16,14,15,15,16,15,15,16,2,15,11,15,1,3,8,12,15,15,14,13,15,11,1,15,15,16,16,8
"BARN-11","BARN-11",7,12,6,11,3,10,11,1,2,8,10,8,3,6,9,4,2,8,6,9,11,8,10,14,8,8,6,7,13,6,6,7,5,14,10,4,14,8,1
"BARN-12","BARN-12",7,10,7,1,2,5,8,14,13,10,5,14,2,13,4,3,17,11,13,6,7,13,10,15,2,15,2,7,6,6,6,7,11,6,2,10,6,7,15
"BARN-13","BARN-13",7,6,8,10,11,7,3,12,9,6,15,12,10,9,8,11,13,1,11,13,9,8,10,9,12,8,6,14,6,2,6,7,11,12,6,4,13,6,10
"BARN-14","BARN-14",7,11,12,12,12,13,5,4,6,13,2,6,11,8,6,8,7,12,2,9,13,13,3,13,8,8,2,7,13,6,6,7,11,3,12,10,9,9,5
"BARN-15","BARN-15",7,4,10,13,6,1,4,7,11,5,7,9,5,4,3,13,16,5,10,12,3,11,10,4,6,8,6,7,6,11,6,7,5,2,14,4,2,10,13
"BARN-16","BARN-16",7,13,13,3,8,4,7,9,7,3,3,13,15,2,10,14,6,13,1,13,12,1,10,6,16,8,6,7,6,11,13,7,5,15,6,4,5,12,4
"BARN-17","BARN-17",7,14,14,7,9,12,14,10,14,2,9,5,13,14,11,12,8,6,8,7,5,5,6,5,10,8,12,7,6,11,6,7,15,4,8,14,10,4,11
"BARN00","BARN00",18,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,5,17,17,17,18,18,18,18,18,17,18,18,18,18,18,18,18,17,18,18,17,17,18
