"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"BARN-01","BARN-01",18,18,18,18,18,18
"BARN-02","BARN-02",10,4,3,4,6,2
"BARN-03","BARN-03",9,7,8,7,13,7
"BARN-04","BARN-04",2,1,2,1,4,3
"BARN-05","BARN-05",11,8,7,6,8,9
"BARN-06","BARN-06",5,10,9,9,7,10
"BARN-07","BARN-07",16,13,5,11,15,4
"BARN-08","BARN-08",14,16,13,14,16,8
"BARN-09","BARN-09",4,9,11,10,5,15
"BARN-10","BARN-10",17,17,16,17,17,16
"BARN-11","BARN-11",3,6,6,5,3,12
"BARN-12","BARN-12",13,11,14,13,14,5
"BARN-13","BARN-13",6,5,1,3,9,1
"BARN-14","BARN-14",8,14,12,16,12,14
"BARN-15","BARN-15",7,2,10,8,10,6
"BARN-16","BARN-16",1,3,4,2,1,11
"BARN-17","BARN-17",12,12,15,12,11,13
"BARN00","BARN00",15,15,17,15,2,17
