"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"BARN-01","BARN-01",1,15,14,18,18,18,18,18,18,16,18,17,18,18,17,18,16,18,18,8,11,7,7,13,8,1,9,4,11,11,7,12,9,16,13,4,18,18,17
"BARN-02","BARN-02",8,6,7,5,7,6,5,3,4,7,2,6,2,3,4,3,7,2,2,14,5,7,10,3,4,4,9,12,6,9,5,9,5,12,8,14,1,8,8
"BARN-03","BARN-03",8,4,1,2,5,4,3,5,16,4,14,7,16,11,9,16,15,13,14,11,2,5,1,1,13,14,5,9,6,3,1,2,7,3,4,4,11,2,2
"BARN-04","BARN-04",8,1,2,1,4,1,4,2,2,6,1,2,3,2,1,1,3,4,3,4,15,10,10,5,15,11,2,4,3,2,3,11,3,8,6,4,4,1,1
"BARN-05","BARN-05",8,11,8,7,8,8,6,14,10,12,11,11,6,9,5,11,10,10,10,13,10,10,12,3,10,14,12,13,13,14,12,8,12,8,1,8,7,9,4
"BARN-06","BARN-06",8,7,5,10,10,12,11,7,17,10,4,14,15,8,10,10,9,9,13,8,7,3,3,10,6,1,6,2,1,6,10,1,2,5,10,1,8,14,10
"BARN-07","BARN-07",18,14,15,16,14,13,14,16,13,18,10,16,12,5,12,5,18,3,12,16,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,10,10,15
"BARN-08","BARN-08",2,5,3,15,2,5,17,6,5,11,3,12,4,4,7,4,13,11,1,1,1,12,8,10,4,8,9,7,9,8,6,4,8,11,7,11,3,4,14
"BARN-09","BARN-09",8,12,12,9,11,14,13,8,9,9,7,8,5,12,14,6,8,5,7,6,5,1,5,8,6,6,4,6,10,12,13,16,14,6,15,9,17,7,12
"BARN-10","BARN-10",8,16,13,8,6,7,8,11,15,17,15,15,13,14,16,17,14,15,15,2,13,13,13,7,1,7,13,14,15,16,16,15,16,1,12,13,15,12,11
"BARN-11","BARN-11",8,8,18,12,12,11,10,10,6,5,5,4,7,16,13,12,6,12,11,7,4,7,1,12,10,14,3,2,3,5,4,5,3,10,3,4,12,5,6
"BARN-12","BARN-12",16,13,11,6,9,9,7,12,12,15,9,10,8,6,11,7,11,6,6,17,16,16,15,15,12,11,15,15,14,15,14,14,15,12,14,12,5,11,5
"BARN-13","BARN-13",8,2,6,3,3,3,2,4,3,3,17,5,1,1,3,2,4,1,4,5,3,1,3,3,13,3,14,9,6,4,11,12,13,14,2,10,2,3,3
"BARN-14","BARN-14",8,18,17,17,16,10,15,15,11,8,13,18,11,15,18,9,17,16,16,15,14,14,16,16,16,9,16,16,16,13,15,9,11,15,16,15,16,16,16
"BARN-15","BARN-15",8,10,10,11,13,16,9,9,7,2,8,3,9,10,8,15,5,17,9,11,8,9,6,13,4,14,11,11,6,7,8,6,6,2,9,4,6,13,9
"BARN-16","BARN-16",8,3,4,4,1,2,1,1,1,1,6,1,10,7,2,8,1,8,5,3,8,4,10,10,9,11,1,1,3,1,1,3,1,4,5,4,9,6,7
"BARN-17","BARN-17",15,9,9,13,15,15,12,13,8,14,12,13,14,13,15,13,12,7,8,11,12,15,13,6,2,5,7,8,12,10,9,7,10,8,11,16,14,15,13
"BARN00","BARN00",17,17,16,14,17,17,16,17,14,13,16,9,17,17,6,14,2,14,17,18,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,13,17,18
