"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"NIDD100","NIDD100",8,11,13,18,17,14,15,15,18,16,11,19,19,21,17,21,18,16,14,15,5,7,12,15,15,2,13,6,11,15,13,21,13,7,14,5,23,17,21
"NIDD101","NIDD101",15,29,27,26,24,27,28,27,27,27,28,31,28,27,29,27,35,29,28,27,35,35,33,29,25,28,34,29,24,27,33,25,31,35,33,36,24,22,27
"NIDD106","NIDD106",33,20,29,28,21,20,24,25,25,22,29,29,29,29,28,28,27,24,16,28,34,34,35,30,32,35,33,25,30,23,22,24,25,31,30,35,26,24,23
"NIDD107","NIDD107",8,10,12,13,11,18,13,12,12,26,25,11,16,12,12,12,11,13,22,15,1,1,13,13,13,1,14,6,11,12,13,14,12,5,1,3,10,10,9
"NIDD111","NIDD111",12,14,16,12,15,21,19,26,26,13,27,25,18,28,24,15,22,26,31,25,19,17,21,16,16,31,22,27,25,26,17,14,19,21,24,17,15,13,10
"NIDD116","NIDD116",2,17,20,29,20,19,16,17,16,11,19,15,12,18,16,20,16,28,15,23,23,11,18,14,20,7,23,17,17,20,19,17,15,10,13,8,17,27,15
"NIDD117","NIDD117",34,12,22,24,30,30,29,29,30,28,15,22,26,20,22,14,26,25,18,19,26,28,24,18,21,33,20,12,17,15,13,17,23,23,22,20,21,12,18
"NIDD120","NIDD120",8,32,32,34,31,36,32,30,36,30,32,33,32,35,34,32,29,31,32,29,16,15,23,31,30,5,24,21,25,24,23,30,26,27,28,14,31,30,30
"NIDD121","NIDD121",19,6,2,1,5,6,5,3,6,6,4,10,6,3,3,8,8,8,2,11,3,5,3,4,7,14,4,1,2,6,4,2,5,15,9,8,1,1,7
"NIDD122","NIDD122",8,1,4,4,8,5,1,8,10,3,1,2,3,1,2,2,2,9,6,2,10,3,5,2,1,7,2,3,5,1,2,2,1,2,4,1,8,3,1
"NIDD123","NIDD123",14,13,9,9,6,9,6,7,7,9,8,6,10,6,7,9,10,6,8,1,13,13,11,7,9,17,11,19,9,11,11,11,11,4,15,15,6,5,2
"NIDD124","NIDD124",4,4,1,3,2,2,11,1,5,20,2,27,1,7,4,1,6,1,5,6,4,18,10,11,8,12,10,16,7,10,8,7,3,9,6,8,4,7,19
"NIDD130","NIDD130",25,26,17,23,22,16,14,16,15,10,12,17,11,13,15,13,15,12,12,22,25,25,18,22,31,23,21,21,22,21,23,19,22,25,18,18,11,14,13
"NIDD22","NIDD22",8,2,3,2,1,1,3,2,1,2,9,4,4,5,35,4,5,2,1,3,6,4,1,4,5,11,4,3,2,1,1,2,3,3,3,10,2,4,4
"NIDD25","NIDD25",19,34,34,32,34,32,35,33,33,35,35,32,34,32,33,33,32,35,34,33,31,31,29,32,23,22,30,35,35,36,31,35,35,34,35,31,32,35,34
"NIDD31","NIDD31",19,35,36,33,35,33,34,34,34,33,34,35,35,31,31,34,31,36,35,32,32,33,34,34,19,34,32,33,34,33,31,33,34,32,34,34,29,32,32
"NIDD32","NIDD32",32,36,35,36,36,35,36,35,35,34,36,36,36,34,36,36,36,34,36,31,27,32,32,36,35,20,30,34,33,35,27,34,36,33,36,25,30,34,35
"NIDD34","NIDD34",4,33,33,31,33,31,33,32,32,32,33,34,33,33,32,31,33,33,33,21,18,16,26,26,14,5,29,31,32,32,25,32,33,30,32,28,28,33,33
"NIDD35","NIDD35",30,19,21,14,13,17,23,13,20,1,18,1,24,24,11,19,1,15,24,36,30,29,22,27,36,32,35,36,36,25,36,36,21,18,25,33,35,16,20
"NIDD42","NIDD42",25,3,6,5,28,8,8,6,2,5,5,3,2,9,1,3,3,4,7,6,7,6,3,10,11,9,6,3,2,3,4,4,7,12,5,11,9,9,8
"NIDD43","NIDD43",15,8,11,10,10,10,10,10,9,31,6,9,9,10,9,6,9,7,10,4,20,8,8,8,6,9,9,15,8,9,10,10,9,7,7,5,27,31,31
"NIDD44","NIDD44",19,15,10,6,4,4,2,4,3,12,3,7,7,8,5,7,34,5,3,9,17,20,7,6,10,16,7,23,5,7,7,8,10,6,10,16,5,6,5
"NIDD46","NIDD46",2,5,5,7,3,3,4,9,4,8,7,8,5,4,6,5,7,3,4,8,2,2,3,1,3,2,1,3,2,5,4,5,2,1,2,2,3,2,3
"NIDD63","NIDD63",25,25,26,15,14,13,12,23,24,17,14,14,13,16,20,17,14,17,20,13,29,26,31,25,24,26,19,12,17,18,13,21,16,23,21,26,12,21,16
"NIDD64","NIDD64",25,21,19,17,19,15,18,28,22,25,20,20,27,19,25,23,24,23,19,20,28,27,16,17,17,25,15,17,21,19,26,14,18,17,16,27,16,25,24
"NIDD66","NIDD66",35,7,8,11,9,25,9,5,8,7,16,28,8,11,10,10,28,11,11,5,8,10,9,3,4,18,8,20,14,8,9,8,8,11,8,12,34,29,36
"NIDD67","NIDD67",12,9,7,8,7,7,7,11,11,4,10,5,31,2,8,11,4,10,9,10,11,12,6,9,2,19,3,8,11,3,4,5,6,13,11,12,7,8,6
"NIDD70","NIDD70",29,30,28,27,25,24,22,24,28,29,21,26,25,23,27,26,19,20,23,18,33,30,28,28,28,30,28,28,29,28,28,28,30,16,26,32,22,20,22
"NIDD73","NIDD73",36,23,14,22,23,22,30,36,21,21,26,23,17,14,26,30,23,30,25,35,36,36,36,35,34,36,36,32,31,34,35,31,32,36,31,30,13,23,26
"NIDD74","NIDD74",31,27,25,30,29,26,21,19,17,24,24,16,23,17,23,18,17,14,17,24,14,19,16,23,18,13,17,12,20,17,19,21,19,25,19,29,14,11,12
"NIDD85","NIDD85",28,18,23,20,26,28,26,20,29,23,30,18,15,22,21,24,25,21,27,34,15,14,30,21,29,15,26,25,27,29,33,27,28,28,23,18,19,15,25
"NIDD88","NIDD88",19,31,31,35,32,34,31,31,31,36,31,30,30,36,30,29,30,32,30,30,21,24,27,33,33,28,27,25,23,29,29,26,28,29,29,24,36,36,29
"NIDD89","NIDD89",12,16,24,19,18,29,25,14,14,15,17,12,14,26,14,16,12,18,29,17,22,23,14,20,26,23,17,12,17,22,21,14,24,19,20,21,25,28,17
"NIDD90","NIDD90",19,28,18,21,16,11,17,21,23,14,22,24,21,25,19,22,20,22,21,26,12,21,25,23,26,21,25,30,27,31,29,29,28,22,27,22,20,19,28
"NIDD91","NIDD91",1,22,15,16,12,12,20,18,19,18,23,21,20,15,18,25,21,19,13,15,9,9,14,12,12,4,12,8,11,13,17,12,13,14,12,5,18,18,14
