"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"NIDD100","NIDD100",23,22,25,18,23,26
"NIDD101","NIDD101",24,31,23,29,30,25
"NIDD106","NIDD106",19,28,29,28,29,27
"NIDD107","NIDD107",29,12,12,12,13,11
"NIDD111","NIDD111",14,26,30,24,24,17
"NIDD116","NIDD116",13,16,18,16,18,21
"NIDD117","NIDD117",30,24,24,23,28,16
"NIDD120","NIDD120",31,32,31,31,32,31
"NIDD121","NIDD121",8,11,6,6,9,1
"NIDD122","NIDD122",3,3,1,2,2,8
"NIDD123","NIDD123",10,8,9,10,11,9
"NIDD124","NIDD124",27,30,10,8,7,7
"NIDD130","NIDD130",12,20,13,15,17,12
"NIDD22","NIDD22",2,7,8,36,6,2
"NIDD25","NIDD25",35,33,32,33,34,34
"NIDD31","NIDD31",34,35,33,32,33,33
"NIDD32","NIDD32",36,34,35,35,35,35
"NIDD34","NIDD34",33,36,34,34,36,32
"NIDD35","NIDD35",1,1,27,11,1,30
"NIDD42","NIDD42",4,2,4,1,3,5
"NIDD43","NIDD43",11,6,3,5,5,10
"NIDD44","NIDD44",6,4,5,3,10,3
"NIDD46","NIDD46",9,10,7,9,8,4
"NIDD63","NIDD63",17,15,16,20,16,13
"NIDD64","NIDD64",16,19,17,22,20,15
"NIDD66","NIDD66",7,9,11,7,12,28
"NIDD67","NIDD67",5,5,2,4,4,6
"NIDD70","NIDD70",26,27,22,26,21,18
"NIDD73","NIDD73",22,25,14,27,27,14
"NIDD74","NIDD74",28,17,20,25,22,22
"NIDD85","NIDD85",20,18,19,21,25,19
"NIDD88","NIDD88",32,29,36,30,31,36
"NIDD89","NIDD89",18,13,26,14,14,24
"NIDD90","NIDD90",15,21,21,17,19,20
"NIDD91","NIDD91",25,23,15,19,26,23
"NIDD96","NIDD96",21,14,28,13,15,29
