"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"RIDLEY1B001","RIDLEY1B001",30,24,28,27,27,32
"RIDLEY1B003","RIDLEY1B003",29,25,30,29,29,27
"RIDLEY1B004","RIDLEY1B004",28,28,29,31,31,31
"RIDLEY1B005","RIDLEY1B005",27,26,26,28,28,28
"RIDLEY1B007","RIDLEY1B007",31,23,31,25,26,26
"RIDLEY1B008","RIDLEY1B008",26,27,27,30,30,29
"RIDLEY1B009","RIDLEY1B009",32,32,32,32,32,30
"RIDLEY2B001","RIDLEY2B001",4,4,10,7,7,3
"RIDLEY2B002","RIDLEY2B002",23,31,25,26,25,25
"RIDLEY2B003","RIDLEY2B003",13,15,13,6,12,10
"RIDLEY2B004","RIDLEY2B004",22,7,1,24,21,1
"RIDLEY2B005","RIDLEY2B005",18,13,9,10,3,13
"RIDLEY2B006","RIDLEY2B006",12,20,23,15,13,23
"RIDLEY2B007","RIDLEY2B007",16,21,24,19,24,24
"RIDLEY2B008","RIDLEY2B008",8,14,19,12,14,19
"RIDLEY2B009","RIDLEY2B009",14,29,17,22,22,20
"RIDLEY2B010","RIDLEY2B010",9,12,20,13,15,21
"RIDLEY2B011","RIDLEY2B011",5,19,14,9,1,4
"RIDLEY2B012","RIDLEY2B012",10,17,22,11,9,22
"RIDLEY2B015","RIDLEY2B015",6,2,8,5,2,6
"RIDLEY2B016","RIDLEY2B016",19,8,2,1,4,14
"RIDLEY2B017","RIDLEY2B017",7,11,21,18,20,17
"RIDLEY2B018","RIDLEY2B018",20,22,16,14,8,18
"RIDLEY2B020","RIDLEY2B020",15,1,12,21,19,8
"RIDLEY2B021","RIDLEY2B021",3,9,5,17,16,5
"RIDLEY2B023","RIDLEY2B023",24,10,4,23,6,12
"RIDLEY2B024","RIDLEY2B024",17,5,11,4,11,9
"RIDLEY2B025","RIDLEY2B025",1,3,7,2,5,7
"RIDLEY2B026","RIDLEY2B026",11,16,15,16,10,16
"RIDLEY2B027","RIDLEY2B027",25,30,6,8,18,2
"RIDLEY2B028","RIDLEY2B028",21,18,18,20,17,15
"RIDLEY2B030","RIDLEY2B030",2,6,3,3,23,11
