"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"RIDLEY1B001","RIDLEY1B001",26,30,28,28,27,26,28,27,26,29,30,26,29,29,25,28,29,31,28,29,26,27,28,27,29,26,27,28,26,26,26,26,27,26,27,27,32,28,26
"RIDLEY1B003","RIDLEY1B003",28,29,30,30,28,27,26,28,28,27,29,23,26,27,26,30,30,26,29,27,30,28,27,29,28,26,28,30,28,27,31,30,26,29,29,30,27,31,31
"RIDLEY1B004","RIDLEY1B004",30,28,29,29,29,30,30,30,30,30,31,28,30,28,31,29,31,30,30,28,27,32,32,28,27,28,29,29,29,27,29,28,28,28,26,28,31,29,30
"RIDLEY1B005","RIDLEY1B005",31,26,26,26,26,28,27,26,27,26,26,24,27,26,28,26,28,29,26,32,31,31,29,31,32,31,32,26,30,30,27,28,30,32,31,32,29,26,28
"RIDLEY1B007","RIDLEY1B007",32,31,31,31,31,32,32,31,31,31,28,25,32,31,27,31,27,28,32,31,28,29,30,30,30,28,31,31,32,29,28,31,29,30,30,31,26,30,29
"RIDLEY1B008","RIDLEY1B008",28,27,27,27,30,29,29,29,29,28,27,27,28,30,29,27,26,27,27,30,29,30,31,32,31,30,30,32,31,31,29,32,32,27,28,26,30,27,27
"RIDLEY1B009","RIDLEY1B009",26,32,32,32,32,31,31,32,32,32,32,32,31,32,32,32,32,32,31,26,32,26,26,26,26,32,26,27,27,32,32,27,31,31,32,29,28,32,32
"RIDLEY2B001","RIDLEY2B001",2,4,18,10,11,5,11,2,2,2,6,1,3,6,6,3,4,6,2,1,4,11,16,1,1,5,20,15,17,19,18,18,12,1,11,9,3,3,1
"RIDLEY2B002","RIDLEY2B002",3,22,23,25,22,17,24,24,24,24,25,31,25,25,30,24,25,24,25,3,20,23,22,2,3,16,21,20,23,23,17,19,21,3,18,24,18,25,25
"RIDLEY2B003","RIDLEY2B003",14,6,11,7,10,2,4,8,11,6,4,13,9,12,8,8,5,9,6,11,2,3,10,7,7,8,3,10,3,2,5,4,1,9,3,3,10,7,7
"RIDLEY2B004","RIDLEY2B004",14,1,2,1,1,3,1,1,1,11,2,2,2,1,20,1,9,10,1,4,1,1,3,3,2,3,1,5,13,5,1,1,3,6,1,1,1,2,6
"RIDLEY2B005","RIDLEY2B005",14,12,10,13,18,14,19,20,19,20,19,14,22,17,15,25,10,18,14,20,10,12,10,22,15,21,18,15,13,11,8,14,9,10,4,18,14,20,19
"RIDLEY2B006","RIDLEY2B006",14,17,9,21,14,23,20,17,22,13,21,21,18,24,13,20,20,17,22,17,23,19,20,25,21,8,14,15,7,7,11,11,9,19,17,13,24,17,23
