"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"LAW001","LAW001",12,8,6,6,11,2
"LAW002","LAW002",15,15,17,20,14,16
"LAW003","LAW003",13,18,21,17,17,17
"LAW004","LAW004",8,2,10,1,1,8
"LAW005","LAW005",4,4,11,10,3,4
"LAW006","LAW006",16,9,7,13,8,11
"LAW007","LAW007",7,12,5,12,2,14
"LAW008","LAW008",2,10,14,11,13,5
"LAW009","LAW009",14,17,15,2,16,1
"LAW012","LAW012",5,6,4,14,6,7
"LAW013","LAW013",18,14,20,18,10,20
"LAW014","LAW014",19,3,9,5,7,9
"LAW015","LAW015",21,20,25,25,22,23
"LAW016","LAW016",17,16,23,16,15,24
"LAW017","LAW017",6,11,13,4,5,3
"LAW018","LAW018",20,22,22,23,21,22
"LAW019","LAW019",22,21,19,24,20,27
"LAW020","LAW020",1,1,1,3,18,6
"LAW021","LAW021",9,7,2,7,12,10
"LAW022","LAW022",10,13,12,8,9,15
"LAW023","LAW023",3,5,8,9,4,12
"LAW024","LAW024",11,19,16,19,19,19
"LAW051","LAW051",23,24,18,21,23,18
"LAW054","LAW054",25,25,24,22,25,21
"LAW060","LAW060",24,23,3,15,24,13
"LAW083","LAW083",28,28,29,29,29,29
"LAW085","LAW085",29,29,28,28,28,28
"LAW086","LAW086",26,26,26,26,26,25
"LAW087","LAW087",27,27,27,27,27,26
