"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"LAW001","LAW001",6,1,14,4,5,1,2,4,2,8,2,9,16,3,9,14,9,15,19,8,5,3,2,5,8,5,2,4,5,5,1,1,2,4,5,4,2,10,14
"LAW002","LAW002",21,27,20,18,19,23,22,17,19,16,20,16,23,18,24,22,17,22,23,21,12,6,14,17,9,3,13,12,19,20,16,24,19,17,23,9,18,19,22
"LAW003","LAW003",10,22,24,23,24,18,18,21,15,18,12,20,19,23,18,18,20,20,17,16,14,15,21,6,18,17,23,23,23,25,25,25,23,3,17,11,14,18,21
"LAW004","LAW004",29,21,22,1,9,22,17,7,3,10,10,2,6,10,2,10,1,11,3,16,29,23,7,14,18,29,22,12,19,14,15,23,21,28,25,24,9,21,8
"LAW005","LAW005",28,9,8,6,1,5,3,5,4,7,19,3,9,5,12,13,2,7,15,12,22,22,17,12,12,8,20,12,15,15,23,21,24,18,10,21,8,13,10
"LAW006","LAW006",13,13,10,20,17,21,16,23,25,12,18,6,10,7,14,3,10,13,4,22,11,13,19,18,22,19,19,17,7,13,13,16,16,22,9,14,11,7,3
"LAW007","LAW007",19,20,21,16,21,17,20,13,10,11,9,11,14,6,11,9,3,9,16,23,24,25,27,25,24,20,24,25,16,18,22,12,13,18,15,23,16,9,13
"LAW008","LAW008",13,4,15,12,12,8,8,9,6,3,14,12,8,16,10,12,15,8,12,19,16,21,12,19,23,15,21,18,18,24,24,17,16,24,21,9,6,15,12
"LAW009","LAW009",6,6,16,14,15,13,14,20,13,2,1,15,1,12,1,1,11,1,1,20,4,4,2,11,3,13,3,2,2,6,4,7,5,5,2,6,1,1,9
"LAW012","LAW012",6,23,7,8,8,3,6,3,29,14,11,4,5,8,15,7,8,2,9,4,15,14,5,9,6,11,8,7,5,2,4,4,6,6,7,5,10,6,5
"LAW013","LAW013",15,18,25,21,18,20,19,19,17,17,24,13,22,21,19,21,12,23,20,10,20,16,15,16,16,21,11,15,13,23,21,12,22,12,13,25,20,22,18
"LAW014","LAW014",21,8,3,28,2,14,15,18,9,20,17,10,15,14,8,5,6,10,11,6,18,19,22,13,5,8,14,4,12,12,11,12,15,15,19,22,4,17,6
"LAW015","LAW015",13,24,23,22,25,25,25,27,26,24,29,22,27,27,29,27,26,25,27,18,19,18,24,22,21,10,24,21,24,22,19,14,25,16,24,9,26,26,20
"LAW016","LAW016",11,17,18,19,16,15,24,24,18,19,22,17,20,24,17,23,16,16,24,15,23,26,13,24,6,14,18,28,25,17,18,15,18,10,20,17,28,23,17
"LAW017","LAW017",21,2,1,7,10,12,12,12,27,4,16,8,2,9,4,16,5,5,6,5,17,20,23,23,15,27,15,19,14,19,11,18,14,20,22,27,7,8,4
"LAW018","LAW018",1,14,19,13,13,9,13,11,14,13,6,18,17,15,16,19,18,17,14,1,1,2,11,1,20,2,12,9,17,21,20,20,12,1,8,2,19,2,16
"LAW019","LAW019",6,12,9,11,22,6,9,10,20,23,15,19,12,17,21,17,19,19,22,13,7,8,6,7,3,22,6,4,7,7,9,21,2,7,1,18,27,24,25
"LAW020","LAW020",2,3,2,10,3,4,1,1,1,1,5,1,3,1,3,2,13,4,5,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,4,1,3,12,1
"LAW021","LAW021",26,16,5,29,11,10,10,16,24,15,4,7,13,4,5,11,14,12,10,10,6,10,17,9,11,7,5,4,9,4,4,4,11,21,6,20,5,11,11
"LAW022","LAW022",21,7,12,2,20,16,5,8,7,6,7,14,11,13,7,8,7,14,8,7,8,7,9,21,13,4,10,12,9,11,13,10,7,14,11,6,15,4,2
"LAW023","LAW023",24,5,11,9,4,11,11,15,8,5,3,5,7,11,6,6,4,3,7,24,9,17,17,20,10,25,16,21,21,15,17,18,9,25,16,15,13,5,19
"LAW024","LAW024",15,19,6,15,14,7,4,2,11,9,8,21,24,20,23,20,21,24,18,28,21,12,10,8,25,18,7,12,11,9,10,9,7,9,18,3,22,16,24
"LAW051","LAW051",17,15,17,17,23,19,21,22,16,21,21,24,21,19,22,24,23,21,21,14,10,9,20,15,14,11,9,8,5,8,7,4,9,13,14,16,21,20,23
"LAW054","LAW054",6,10,13,5,7,24,23,14,12,25,23,25,18,22,20,15,24,18,13,3,13,11,4,4,17,6,4,20,2,3,6,4,4,8,3,19,17,14,15
"LAW060","LAW060",6,11,4,3,6,2,7,6,5,22,13,23,4,2,13,4,22,6,2,8,3,5,7,3,1,16,16,15,21,10,8,8,20,11,12,13,12,3,7
"LAW083","LAW083",27,28,28,27,29,29,29,29,28,28,27,28,28,28,27,28,29,28,28,29,28,29,29,28,29,28,29,29,29,28,28,28,28,27,28,29,29,28,27
"LAW085","LAW085",6,29,29,26,28,28,28,28,23,29,28,29,29,29,28,29,28,29,29,25,27,24,26,27,27,25,27,24,27,27,27,27,26,23,27,12,25,27,28
"LAW086","LAW086",24,25,26,24,26,26,26,26,21,26,26,26,26,25,26,25,25,27,25,26,25,27,25,26,26,25,26,27,25,26,26,26,27,26,26,26,23,25,26
"LAW087","LAW087",17,26,27,25,27,27,27,25,22,27,25,27,25,26,25,26,27,26,26,27,26,28,28,29,28,23,28,26,28,29,29,29,29,29,29,28,24,29,29
