"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"LAW001","LAW001",16,14,11,15,6,8,13,10,10,17,8,5,21,20,9,17,17,19,3,5,4,6,5,19,18,7,13,11,10,5,9,19,19,19,3,11,13,10,19
"LAW002","LAW002",16,19,15,10,14,12,9,1,13,18,3,10,11,8,6,16,11,7,4,22,1,1,19,11,7,7,13,11,10,20,9,12,8,10,17,2,10,15,3
"LAW003","LAW003",5,3,8,12,7,14,7,12,3,13,7,13,7,16,2,6,3,5,7,10,10,9,12,17,21,22,4,11,10,5,19,4,8,19,6,11,21,3,12
"LAW004","LAW004",16,6,1,1,1,1,1,9,1,3,1,3,1,4,1,2,1,2,12,16,9,3,12,11,4,7,4,11,1,1,9,12,8,10,10,11,8,16,16
"LAW005","LAW005",16,18,6,8,5,20,15,19,14,10,17,6,20,19,7,22,9,16,9,10,8,6,5,11,1,17,13,11,10,15,9,19,3,3,1,11,9,5,14
"LAW006","LAW006",5,16,18,13,16,3,17,13,17,19,10,15,8,14,20,12,10,12,1,10,7,13,5,4,15,7,20,11,10,21,9,19,3,7,13,1,16,6,18
"LAW007","LAW007",5,8,14,16,15,19,19,5,18,4,4,19,17,17,16,15,2,15,8,15,20,20,19,1,18,7,4,11,10,1,9,4,3,7,11,11,15,7,11
"LAW008","LAW008",16,7,9,18,18,13,18,14,21,9,22,1,22,11,11,19,14,21,10,16,16,23,12,22,2,17,13,11,10,9,9,12,12,14,2,11,6,13,17
"LAW009","LAW009",29,24,24,25,25,25,25,25,24,20,12,20,13,23,5,1,20,1,13,25,25,25,19,25,24,29,23,21,21,24,22,23,24,26,21,29,3,20,23
"LAW012","LAW012",16,5,5,2,10,6,10,3,16,7,20,12,6,9,13,11,4,10,18,10,11,13,5,11,7,7,4,11,10,15,19,4,16,22,16,11,4,1,4
"LAW013","LAW013",5,2,12,4,3,2,3,16,11,6,14,8,9,7,4,9,7,11,14,10,13,17,19,4,18,17,13,22,21,15,19,19,3,19,12,11,20,23,15
"LAW014","LAW014",16,15,4,11,2,9,12,2,2,5,18,2,14,12,10,20,13,3,20,22,15,17,5,17,10,7,13,11,10,15,9,4,3,7,20,11,19,12,9
"LAW015","LAW015",16,10,13,7,11,7,16,15,6,1,16,9,5,6,3,5,8,8,21,3,12,9,5,11,9,7,13,11,10,15,9,4,19,14,25,11,14,9,1
"LAW016","LAW016",16,12,17,5,9,21,11,17,15,14,9,18,16,10,19,13,18,20,16,4,18,17,5,4,12,22,4,11,10,5,9,12,12,14,7,11,5,8,10
"LAW017","LAW017",16,13,2,14,13,16,2,20,9,16,6,14,2,21,12,10,6,4,11,19,19,6,19,17,21,7,13,11,10,15,9,4,12,14,23,11,11,11,5
"LAW018","LAW018",23,25,25,24,23,24,24,24,25,21,25,22,25,25,25,25,22,24,25,2,14,24,25,20,25,22,25,28,25,25,25,25,25,2,24,23,25,21,25
"LAW019","LAW019",16,23,23,19,24,5,23,23,23,22,21,21,24,24,24,24,19,25,23,19,3,21,24,24,15,22,24,23,24,23,24,4,22,24,19,24,24,25,24
"LAW020","LAW020",25,21,21,23,19,23,8,8,7,2,24,7,23,3,15,21,21,23,24,18,21,9,19,22,23,14,20,11,21,15,19,19,12,22,22,11,22,24,13
"LAW021","LAW021",5,9,10,9,12,11,4,4,12,11,11,11,4,2,8,8,12,6,6,14,6,13,5,7,10,7,13,11,10,5,9,4,8,19,4,11,12,17,2
"LAW022","LAW022",5,4,7,6,4,10,6,11,4,12,19,16,10,13,17,7,15,14,19,10,2,4,5,11,13,7,13,11,10,5,9,12,16,3,14,11,17,18,6
"LAW023","LAW023",5,1,3,3,8,18,5,6,5,8,15,4,3,1,18,3,5,9,5,10,5,2,12,7,7,7,13,11,10,21,9,19,3,14,15,11,1,4,8
"LAW024","LAW024",5,11,16,21,17,4,14,7,8,15,13,17,12,18,14,4,16,13,17,22,16,13,19,22,15,7,13,1,10,15,9,12,16,7,5,11,2,2,22
"LAW051","LAW051",16,17,20,20,20,15,22,18,22,23,5,24,15,15,21,23,23,22,22,6,23,17,5,1,4,14,1,11,10,15,9,19,16,19,8,11,7,14,7
"LAW054","LAW054",28,22,19,22,22,22,21,21,19,24,23,23,19,22,22,18,25,18,15,1,22,22,19,15,20,26,22,11,19,5,22,12,23,1,9,22,23,19,20
"LAW060","LAW060",25,20,22,17,21,17,20,22,20,25,2,25,18,5,23,14,24,17,2,24,24,13,19,4,4,22,13,23,21,9,9,23,21,7,18,21,18,22,21
"LAW083","LAW083",27,29,27,29,29,28,29,28,29,29,29,29,29,29,29,29,29,29,29,29,29,28,29,29,29,28,29,29,28,29,29,28,29,29,29,28,29,29,29
"LAW085","LAW085",24,26,28,26,27,29,28,27,27,26,28,27,28,28,27,28,27,28,28,26,28,29,28,26,27,17,27,26,28,28,26,26,28,25,28,26,28,27,28
"LAW086","LAW086",5,28,26,27,26,26,26,26,26,28,27,26,26,26,26,26,26,26,26,27,26,26,27,27,26,22,27,26,26,26,27,28,27,28,27,25,26,26,27
"LAW087","LAW087",16,27,29,28,28,27,27,29,28,27,26,28,27,27,28,27,28,27,27,28,27,26,26,28,28,27,26,25,28,26,28,28,26,27,26,26,27,28,26
