"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"GLAZIER01","GLAZIER01",6,2,7,7,13,13,11,5,6,10,15,13,11,5,6,7,2,14,12,2,7,8,10,2,3,6,2,2,2,5,5,4,7,1,6,8,8,4,6
"GLAZIER02","GLAZIER02",14,10,10,4,11,12,8,14,10,14,6,12,3,8,13,10,6,6,13,2,12,12,4,2,8,15,13,10,5,5,11,4,13,15,7,3,13,11,14
"GLAZIER03","GLAZIER03",14,14,13,15,9,15,15,15,11,15,11,9,15,14,15,13,14,8,1,4,14,14,15,10,10,6,13,10,11,13,5,15,15,12,15,13,3,2,4
"GLAZIER04","GLAZIER04",6,8,1,8,8,1,5,9,9,3,1,1,4,4,10,4,9,3,10,6,5,2,10,10,6,6,7,10,11,5,5,11,14,12,1,3,1,3,9
"GLAZIER05","GLAZIER05",6,6,6,6,10,6,14,3,7,5,7,4,12,13,9,11,11,15,15,9,8,3,14,13,3,13,7,10,11,5,11,11,7,3,11,8,10,12,13
"GLAZIER06","GLAZIER06",6,13,4,10,3,8,7,8,14,13,10,5,14,12,4,5,12,10,8,12,13,5,10,14,14,6,7,10,11,5,11,4,7,9,8,13,12,14,11
"GLAZIER07","GLAZIER07",6,9,2,14,14,11,4,4,12,8,3,14,9,10,12,8,10,5,11,15,15,8,4,2,10,6,13,10,11,13,5,11,1,9,13,3,5,8,8
"GLAZIER09","GLAZIER09",6,11,5,12,4,3,10,11,5,7,5,11,7,11,8,15,8,13,9,12,11,12,1,2,1,6,7,10,11,11,11,11,7,5,2,8,7,6,5
"GLAZIER10","GLAZIER10",6,3,15,13,12,4,13,6,8,9,12,3,5,6,11,14,5,4,3,14,6,15,4,10,6,6,2,10,11,5,15,4,7,3,9,8,4,7,7
"GLAZIER11","GLAZIER11",14,4,11,3,7,5,3,2,1,12,4,2,2,2,1,2,1,2,4,7,1,10,4,6,6,6,2,2,2,11,5,4,7,9,12,3,9,13,3
"GLAZIER12","GLAZIER12",6,15,8,2,6,14,12,12,13,2,14,7,13,15,14,9,13,9,7,9,2,1,10,6,12,13,2,2,2,15,11,4,7,5,3,3,15,15,15
"GLAZIER13","GLAZIER13",6,5,3,1,1,7,1,7,2,11,8,10,1,1,2,1,7,1,5,2,3,5,4,10,2,6,7,2,5,5,1,11,7,3,4,3,2,1,1
"GLAZIER14","GLAZIER14",6,1,14,11,15,9,6,1,3,6,9,6,8,7,5,6,4,11,14,9,10,12,10,6,12,6,13,10,11,5,1,4,7,9,5,13,11,9,2
"GLAZIER16","GLAZIER16",6,7,9,5,5,10,9,13,4,4,2,8,6,3,7,3,3,7,6,9,4,8,10,15,14,6,13,5,2,11,5,4,7,14,10,13,14,5,10
"GLAZIER17","GLAZIER17",6,12,12,9,2,2,2,10,15,1,13,15,10,9,3,12,15,12,2,4,9,5,10,10,9,6,7,10,7,5,11,11,7,9,14,13,6,10,12
