"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"GLAZIER01","GLAZIER01",6,4,9,4,5,14
"GLAZIER02","GLAZIER02",12,10,12,13,9,11
"GLAZIER03","GLAZIER03",15,13,13,15,11,15
"GLAZIER04","GLAZIER04",2,1,4,2,10,2
"GLAZIER05","GLAZIER05",4,8,11,7,7,5
"GLAZIER06","GLAZIER06",11,3,7,5,2,8
"GLAZIER07","GLAZIER07",1,9,5,10,8,9
"GLAZIER09","GLAZIER09",13,5,6,6,1,12
"GLAZIER10","GLAZIER10",10,2,14,11,4,7
"GLAZIER11","GLAZIER11",7,12,2,8,13,3
"GLAZIER12","GLAZIER12",8,11,15,14,12,10
"GLAZIER13","GLAZIER13",14,14,1,1,14,1
"GLAZIER14","GLAZIER14",9,6,3,9,6,13
"GLAZIER16","GLAZIER16",5,7,8,3,3,4
"GLAZIER17","GLAZIER17",3,15,10,12,15,6
