name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
HULL01,25.822306350198598,5.7596248709970697,35.319806436181558,21.754025550927974,17.001685011348503,48.331563958408104
HULL02,36.175789734735957,6.7695136805996725,58.4447346804847,35.784638291205106,20.220300454729763,81.241978351373419
HULL03,36.079542184830231,6.8452795021214765,59.203858407957654,35.652666637660595,21.088411648117507,85.576589037129651
HULL04,33.832855946646646,6.359433886061554,55.834354867278698,33.697285789622057,19.364856560817113,67.183228930055364
HULL05,25.688364150986686,5.4048416112032811,38.389797327932676,22.806666042479087,17.596951399868949,52.443679823684803
HULL06,34.204313647179831,5.9581151590756765,46.866697839015195,29.733041179640736,18.796568323858921,76.248826339216691
HULL07,35.847269527788356,6.3882189535230527,57.36078036831347,34.130624886173806,19.800530501806673,84.141683513355673
HULL08,33.790056358569728,6.5678886226133457,48.97075323498823,34.499584788318721,20.681272003140933,71.690832602309598
HULL09,34.114825986217618,4.5329570592480595,59.346844869031344,34.592786443773278,18.752669805887248,88.344203669670605
HULL10,35.259770798178053,6.6435817133527229,58.973086211018831,34.559939247563499,20.662069735978402,86.893708821768271
HULL100,29.561133601458266,5.777051134999823,39.371909710180375,27.619460102542636,18.658557997097283,54.219062106278884
HULL101,33.82656304525598,6.9048349582654591,54.516162707564902,30.883290102201293,20.877297633405792,85.688300638434157
HULL104,32.554834650188525,6.467852648602749,45.576022301635227,33.597215993798876,21.490805907620004,63.565896779329996
HULL105,37.26313589643383,6.7473575705431852,59.526593550290123,35.697044270459863,20.772787804363045,86.348082847136368
HULL106,34.329618672637693,6.8125119284481341,59.020334898567889,34.750407999431353,20.28104049437102,79.723031302519601
HULL107,33.344103759587021,5.9081725072929716,48.738418780598323,25.610998824560856,14.203639460607349,58.229515437791029
HULL108,28.654273946949804,5.6003053552654247,46.236678566099059,31.182194140855604,20.927995419304544,57.582115019182865
HULL109,34.107454975750443,6.4644720826733426,48.112625813768737,33.309057036615286,21.047014939019569,56.184050295474066
HULL110,32.265777869265108,5.8065334162946458,48.202375401438999,30.71079654553807,12.170802855871335,68.163920908201106
