"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"HULL01","HULL01",64,43,70,69,63,63
"HULL02","HULL02",9,12,8,2,19,15
"HULL03","HULL03",10,9,3,4,9,7
"HULL04","HULL04",26,25,16,14,29,23
"HULL05","HULL05",65,60,55,68,59,56
"HULL06","HULL06",21,30,26,28,33,18
"HULL07","HULL07",12,23,12,13,24,11
"HULL08","HULL08",28,17,19,12,15,20
"HULL09","HULL09",22,69,2,9,34,1
"HULL10","HULL10",14,15,7,10,16,2
"HULL100","HULL100",43,37,33,33,41,35
"HULL101","HULL101",27,7,18,24,12,6
"HULL104","HULL104",30,20,28,15,7,25
"HULL105","HULL105",7,13,1,3,14,3
"HULL106","HULL106",20,11,6,8,18,16
"HULL107","HULL107",29,31,20,62,68,26
"HULL108","HULL108",51,55,27,22,11,27
"HULL109","HULL109",24,21,22,16,10,28
"HULL110","HULL110",31,33,21,25,71,22
"HULL111","HULL111",1,3,42,44,3,34
"HULL112","HULL112",4,4,39,47,4,42
"HULL113","HULL113",6,6,58,46,5,54
"HULL117","HULL117",3,1,35,30,1,41
"HULL118","HULL118",56,52,68,65,60,31
"HULL119","HULL119",67,68,63,57,51,57
"HULL120","HULL120",61,59,54,52,62,68
"HULL121","HULL121",37,38,40,45,46,61
"HULL123","HULL123",60,51,30,51,53,49
"HULL126","HULL126",41,36,45,36,36,32
"HULL127","HULL127",42,49,34,41,65,43
"HULL13","HULL13",25,28,23,20,22,21
"HULL131","HULL131",23,27,15,17,26,12
"HULL132","HULL132",18,26,11,6,20,14
"HULL133","HULL133",19,18,17,18,17,19
"HULL134","HULL134",16,16,10,7,25,13
"HULL135","HULL135",13,19,25,19,21,17
"HULL14","HULL14",11,14,5,1,8,5
"HULL140","HULL140",38,41,49,35,38,38
"HULL15","HULL15",32,24,14,27,30,8
"HULL16","HULL16",17,22,9,26,27,9
"HULL17","HULL17",15,8,4,5,23,4
"HULL18","HULL18",8,10,13,11,13,10
"HULL33","HULL33",39,47,44,48,40,33
"HULL35","HULL35",34,48,64,21,28,24
"HULL37","HULL37",33,29,24,23,31,39
"HULL38","HULL38",2,5,69,66,6,71
"HULL41","HULL41",5,2,38,29,2,44
"HULL43","HULL43",48,34,50,32,35,37
"HULL45","HULL45",35,42,41,49,44,30
"HULL47","HULL47",40,40,37,39,45,46
"HULL51","HULL51",71,62,57,56,54,58
"HULL53","HULL53",47,32,29,31,32,29
"HULL55","HULL55",59,67,61,58,57,67
"HULL56","HULL56",55,44,36,42,42,36
"HULL57","HULL57",49,45,48,43,48,55
"HULL61","HULL61",36,35,51,34,37,48
"HULL62","HULL62",70,71,65,70,70,66
"HULL71","HULL71",57,56,62,53,52,65
"HULL73","HULL73",62,63,53,40,58,51
"HULL74","HULL74",58,66,59,67,56,59
"HULL75","HULL75",69,58,47,71,69,40
"HULL77","HULL77",44,53,43,50,55,47
"HULL79","HULL79",52,54,46,61,66,70
"HULL81","HULL81",66,65,67,55,64,64
"HULL82","HULL82",45,39,31,37,39,53
"HULL83","HULL83",63,57,32,54,47,50
"HULL84","HULL84",54,50,66,59,49,60
"HULL85","HULL85",50,46,52,38,43,69
"HULL87","HULL87",53,70,60,64,67,52
"HULL89","HULL89",46,64,56,60,50,62
"HULL96","HULL96",68,61,71,63,61,45
