"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"HULL55","HULL55",66,66,68,65,64,69,64,61,64,50,65,62,60,63,55,64,50,65,61,66,51,66,66,60,61,57,58,57,52,49,48,51,48,46,63,69,67,68,66
"HULL56","HULL56",46,40,42,34,33,32,32,33,38,47,29,35,41,35,34,43,31,33,43,45,62,44,39,42,40,50,40,34,38,41,31,41,36,41,40,42,27,49,46
"HULL57","HULL57",33,37,44,53,42,44,38,35,45,42,50,39,50,49,39,65,39,66,36,62,47,50,51,55,55,47,50,55,67,62,56,53,59,48,50,40,48,52,60
"HULL61","HULL61",26,33,31,30,36,28,36,30,32,28,30,27,45,40,27,35,25,50,28,32,63,48,33,44,31,54,37,26,33,37,40,37,33,61,39,35,37,34,34
"HULL62","HULL62",52,70,71,69,71,65,67,64,65,70,48,71,53,58,71,53,67,61,65,53,67,67,68,49,56,69,67,60,64,68,61,60,60,57,67,67,62,50,67
"HULL71","HULL71",69,53,57,68,63,62,54,56,70,56,57,54,57,61,56,68,49,70,58,58,56,38,43,53,51,66,52,47,45,53,40,41,47,54,45,52,66,69,57
"HULL73","HULL73",52,61,58,58,51,58,63,57,59,64,49,64,29,52,38,33,58,59,46,70,58,52,64,66,69,71,57,64,62,66,67,66,65,64,54,68,46,64,47
"HULL74","HULL74",41,69,66,56,67,67,70,58,66,54,66,61,68,60,63,57,45,67,66,34,64,62,59,58,52,53,55,66,67,69,66,63,64,37,64,53,53,71,55
"HULL75","HULL75",46,51,53,52,49,40,45,45,48,57,47,47,28,39,67,28,64,28,37,42,66,51,40,47,49,57,39,51,50,45,42,45,44,44,36,45,29,40,42
"HULL77","HULL77",56,63,55,60,57,53,51,51,55,45,41,50,51,50,48,48,51,42,69,51,49,42,50,51,64,42,47,44,55,51,46,52,53,55,44,48,50,59,71
"HULL79","HULL79",69,65,64,63,61,54,62,70,62,53,56,48,52,44,57,46,68,41,70,36,42,56,57,56,48,33,56,63,61,64,68,64,61,49,56,50,70,66,65
"HULL81","HULL81",55,42,36,35,46,33,33,71,63,66,70,66,56,68,61,62,66,57,64,61,68,69,54,65,70,49,61,65,64,70,65,65,66,50,52,42,63,61,58
"HULL82","HULL82",46,57,46,46,50,61,48,36,53,39,28,31,33,29,32,29,29,30,29,69,45,49,61,59,63,64,64,68,69,67,64,61,62,68,59,60,40,48,51
"HULL83","HULL83",61,58,61,48,65,59,65,55,50,59,40,52,70,28,51,30,35,37,68,44,57,59,63,50,54,56,63,59,58,65,69,71,71,65,66,64,45,62,63
"HULL84","HULL84",65,56,48,49,52,52,61,50,57,43,55,41,55,53,47,55,37,56,48,67,71,70,70,71,67,60,71,61,53,46,46,55,68,71,58,71,47,53,61
"HULL85","HULL85",26,60,56,50,59,64,50,43,35,37,34,34,34,41,29,38,30,36,63,51,37,46,48,52,60,48,46,34,48,56,53,50,49,35,48,48,64,39,32
"HULL87","HULL87",58,62,62,62,60,66,69,67,61,49,60,69,58,54,58,60,69,54,57,49,46,43,51,63,62,67,45,38,42,43,45,48,45,58,46,45,51,58,54
"HULL89","HULL89",60,68,65,66,66,55,58,63,68,52,58,68,59,62,65,66,53,69,52,39,50,64,69,68,46,65,66,70,60,57,54,61,55,63,57,62,60,67,62
"HULL96","HULL96",46,67,63,55,54,60,57,60,51,60,63,53,61,69,52,63,48,71,59,68,69,71,67,69,68,59,65,68,70,71,62,55,70,70,70,70,32,54,39
