"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"UNION110","UNION110",1,1,22,24,1,6
"UNION22","UNION22",22,5,1,1,3,5
"UNION23","UNION23",5,15,20,16,17,21
"UNION24","UNION24",34,3,25,23,32,25
"UNION25","UNION25",19,29,13,19,26,10
"UNION26","UNION26",12,33,11,15,16,17
"UNION27","UNION27",3,18,5,13,10,8
"UNION28","UNION28",14,2,24,22,2,24
"UNION29","UNION29",23,10,3,12,11,7
"UNION30","UNION30",11,6,12,4,5,11
"UNION31","UNION31",21,27,18,6,13,19
"UNION32","UNION32",15,31,6,5,9,9
"UNION33","UNION33",20,16,19,17,23,18
"UNION34","UNION34",2,9,21,10,8,3
"UNION35","UNION35",18,8,14,14,6,14
"UNION36","UNION36",16,17,9,11,22,2
"UNION37","UNION37",7,11,4,8,14,4
"UNION38","UNION38",4,14,16,9,12,20
"UNION39","UNION39",8,12,8,18,18,23
"UNION40","UNION40",13,13,17,7,7,13
"UNION41","UNION41",17,7,2,3,4,1
"UNION42","UNION42",6,20,15,21,15,12
"UNION43","UNION43",10,19,10,20,29,15
"UNION44","UNION44",9,4,7,2,33,16
"UNION46","UNION46",29,24,31,26,21,32
"UNION48","UNION48",31,26,32,33,27,34
"UNION49","UNION49",24,23,27,29,24,27
"UNION50","UNION50",32,25,29,30,25,26
"UNION52","UNION52",25,22,33,28,19,29
"UNION53","UNION53",26,32,26,34,31,28
"UNION68","UNION68",33,34,23,25,34,22
"UNION78","UNION78",27,21,28,27,20,30
"UNION79","UNION79",28,30,30,31,30,31
"UNION80","UNION80",30,28,34,32,28,33
"UNION91","UNION91",35,35,35,35,35,35
