"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"CASTLEAZES001","CASTLEAZES001",22,22,9,20,18,19
"CASTLEAZES002","CASTLEAZES002",11,16,11,4,8,16
"CASTLEAZES003","CASTLEAZES003",12,11,19,7,12,5
"CASTLEAZES004","CASTLEAZES004",13,7,14,6,6,22
"CASTLEAZES005","CASTLEAZES005",15,19,23,19,16,15
"CASTLEAZES006","CASTLEAZES006",20,23,21,23,24,18
"CASTLEAZES007","CASTLEAZES007",4,18,8,16,11,11
"CASTLEAZES008","CASTLEAZES008",21,17,10,5,7,21
"CASTLEAZES009","CASTLEAZES009",2,14,13,8,1,14
"CASTLEAZES010","CASTLEAZES010",3,1,2,1,10,1
"CASTLEAZES011","CASTLEAZES011",9,3,5,9,2,4
"CASTLEAZES012","CASTLEAZES012",8,10,20,17,13,23
"CASTLEAZES013","CASTLEAZES013",14,12,17,12,14,6
"CASTLEAZES014","CASTLEAZES014",23,20,1,22,23,2
"CASTLEAZES015","CASTLEAZES015",7,6,15,11,9,9
"CASTLEAZES016","CASTLEAZES016",5,5,12,14,19,10
"CASTLEAZES017","CASTLEAZES017",16,2,3,2,4,3
"CASTLEAZES018","CASTLEAZES018",18,15,22,18,15,12
"CASTLEAZES019","CASTLEAZES019",1,9,4,3,22,13
"CASTLEAZES020","CASTLEAZES020",17,4,7,10,3,17
"CASTLEAZES021","CASTLEAZES021",10,8,16,15,17,20
"CASTLEAZES022","CASTLEAZES022",24,24,24,24,21,24
"CASTLEAZES023","CASTLEAZES023",6,13,18,21,20,7
"CASTLEAZES024","CASTLEAZES024",19,21,6,13,5,8
