"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"CASTLEAZES001","CASTLEAZES001",23,19,8,24,15,19,5,8,21,24,18,24,23,12,24,15,23,10,18,16,24,23,24,23,16,21,10,10,9,13,10,3,8,21,18,7,21,4,10
"CASTLEAZES002","CASTLEAZES002",9,5,4,7,13,3,10,10,5,21,6,17,6,17,8,5,8,6,7,3,4,3,2,17,15,18,4,3,9,3,8,7,11,16,3,7,20,8,8
"CASTLEAZES003","CASTLEAZES003",9,10,6,22,8,24,11,9,22,12,17,14,11,24,11,10,14,13,16,19,10,8,13,4,23,21,20,17,15,6,17,17,14,10,22,16,9,3,21
"CASTLEAZES004","CASTLEAZES004",9,14,13,3,3,13,3,3,13,2,4,6,3,16,2,19,2,7,3,11,12,16,13,20,12,2,13,7,5,16,12,7,11,11,11,2,22,12,5
"CASTLEAZES005","CASTLEAZES005",22,22,23,23,16,11,4,19,11,18,9,22,15,23,19,7,17,22,13,5,20,20,16,13,22,21,14,17,15,14,10,15,20,18,19,23,19,10,17
"CASTLEAZES006","CASTLEAZES006",24,21,22,20,22,23,17,15,8,23,21,21,21,14,23,20,21,20,19,9,23,21,18,21,4,14,18,22,22,20,20,19,21,19,23,22,11,20,22
"CASTLEAZES007","CASTLEAZES007",9,17,10,19,9,12,20,4,7,14,14,16,14,10,16,17,19,9,17,20,2,3,2,15,12,7,8,3,9,8,13,4,17,5,13,7,7,19,16
"CASTLEAZES008","CASTLEAZES008",9,13,9,5,24,10,15,24,18,17,19,19,7,20,9,12,16,16,9,22,14,13,13,18,12,18,16,15,14,15,17,21,16,17,2,17,24,23,23
"CASTLEAZES009","CASTLEAZES009",9,7,19,12,11,16,18,13,14,5,11,13,12,11,5,23,3,5,20,13,11,9,8,10,7,21,6,7,12,10,8,10,6,11,15,14,10,16,18
"CASTLEAZES010","CASTLEAZES010",18,2,3,2,23,21,1,1,1,1,1,1,1,1,1,1,1,1,1,2,21,22,21,2,1,1,21,20,23,22,20,18,19,1,10,12,1,2,3
"CASTLEAZES011","CASTLEAZES011",9,9,14,16,4,9,14,17,3,10,8,10,19,15,15,11,5,12,6,17,13,14,23,24,21,11,24,24,24,17,22,23,10,8,14,7,4,13,14
"CASTLEAZES012","CASTLEAZES012",20,3,11,4,14,8,19,20,4,4,13,9,24,6,7,4,4,17,21,1,17,24,20,16,9,18,15,15,17,19,19,4,18,8,20,7,23,18,4
"CASTLEAZES013","CASTLEAZES013",9,24,15,6,2,20,21,5,20,13,7,15,18,22,21,24,20,19,22,21,16,17,22,8,17,8,23,23,20,21,16,13,23,20,17,14,12,21,20
"CASTLEAZES014","CASTLEAZES014",9,6,2,1,1,1,2,2,23,20,20,18,22,2,22,2,22,14,2,18,6,2,1,1,1,4,2,10,5,2,2,1,2,5,4,2,2,1,2
"CASTLEAZES015","CASTLEAZES015",9,23,24,9,19,17,24,12,10,11,10,7,13,21,12,18,12,3,10,14,22,15,15,22,19,11,19,19,19,23,24,24,24,24,24,24,17,11,19
"CASTLEAZES016","CASTLEAZES016",9,4,5,14,17,18,6,21,9,7,3,3,9,18,14,3,18,8,12,3,3,5,5,6,23,15,2,7,2,8,3,7,2,13,7,12,3,5,6
"CASTLEAZES017","CASTLEAZES017",9,15,17,10,7,2,12,16,6,9,12,4,5,4,10,14,9,11,4,6,7,7,9,8,12,6,8,7,9,11,13,15,7,23,5,7,8,15,11
"CASTLEAZES018","CASTLEAZES018",20,16,16,17,21,15,9,18,19,16,23,11,17,13,6,9,11,23,11,8,19,18,18,12,6,9,22,21,21,24,23,22,22,22,21,21,6,6,12
"CASTLEAZES019","CASTLEAZES019",18,20,21,18,12,6,22,23,16,6,15,12,2,19,3,22,24,21,24,9,15,11,11,14,12,15,17,14,18,18,15,11,15,14,16,18,18,14,13
"CASTLEAZES020","CASTLEAZES020",9,8,7,13,18,14,16,7,2,19,24,2,20,8,13,13,13,18,14,23,5,10,5,6,20,11,10,12,13,8,5,20,4,8,8,7,14,24,15
"CASTLEAZES021","CASTLEAZES021",9,11,12,15,10,4,7,11,15,8,22,5,8,3,4,6,10,4,15,6,9,6,5,4,17,4,12,7,5,5,7,11,5,3,9,7,15,7,9
"CASTLEAZES022","CASTLEAZES022",1,1,1,21,20,22,23,22,17,22,2,20,10,5,20,21,6,24,23,12,1,1,16,3,3,2,2,1,1,1,1,1,1,2,1,1,16,22,1
"CASTLEAZES023","CASTLEAZES023",9,18,18,8,6,7,13,14,12,3,5,8,4,7,17,16,15,2,8,24,18,19,9,19,5,24,8,3,5,4,5,13,8,14,12,20,5,17,7
"CASTLEAZES024","CASTLEAZES024",9,12,20,11,5,5,8,6,24,15,16,23,16,9,18,8,7,15,5,15,8,12,5,10,8,11,5,12,5,12,5,7,13,5,5,19,13,9,24
