"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"CASTLEAZES001","CASTLEAZES001",20,9,8,5,13,4,1,7,5,1,5,20,13,18,4,14,16,2,2,12,16,18,1,14,18,10,18,5,11,10,12,9,3,21,9,9,5,15,11
"CASTLEAZES002","CASTLEAZES002",9,7,4,2,16,5,8,1,8,13,11,22,3,19,12,1,17,5,18,12,13,8,10,2,7,10,11,15,11,2,1,9,3,11,9,9,6,11,8
"CASTLEAZES003","CASTLEAZES003",9,8,10,3,2,14,13,11,12,7,15,12,17,7,14,10,11,9,13,12,15,8,10,14,11,10,3,5,11,18,12,9,11,19,13,9,10,3,18
"CASTLEAZES004","CASTLEAZES004",9,20,20,12,18,12,14,15,11,21,16,18,14,2,2,11,9,15,19,21,1,8,10,14,16,21,11,5,11,10,12,18,3,22,7,9,19,6,15
"CASTLEAZES005","CASTLEAZES005",9,2,6,13,6,3,12,12,14,19,10,13,15,5,18,7,8,21,7,8,19,18,19,14,16,10,3,15,22,14,12,9,18,16,19,9,9,13,2
"CASTLEAZES006","CASTLEAZES006",9,11,5,8,10,15,18,20,21,8,22,17,9,4,20,16,13,6,22,7,5,15,10,14,4,10,11,22,11,14,12,9,21,16,17,19,21,19,12
"CASTLEAZES007","CASTLEAZES007",9,5,11,6,12,21,5,19,3,4,12,21,7,15,10,2,3,13,14,12,10,8,10,19,11,10,3,15,11,4,12,9,3,11,4,9,16,21,7
"CASTLEAZES008","CASTLEAZES008",9,1,1,10,11,7,2,13,6,18,4,6,10,12,13,5,7,14,4,5,7,1,10,4,3,10,18,5,11,18,12,9,3,1,1,9,4,9,10
"CASTLEAZES009","CASTLEAZES009",9,10,19,18,3,8,9,5,1,9,6,15,19,13,17,8,2,18,11,1,22,22,10,3,1,10,11,15,11,14,12,20,18,4,14,9,12,17,5
"CASTLEAZES010","CASTLEAZES010",24,23,24,23,24,23,23,22,23,23,21,11,21,22,16,13,23,23,21,23,24,24,24,23,23,23,24,24,24,24,24,24,24,2,24,24,17,23,24
"CASTLEAZES011","CASTLEAZES011",9,4,3,14,4,17,19,17,18,5,7,3,5,20,15,12,5,17,9,18,13,4,10,6,14,10,18,5,11,6,12,1,11,6,11,9,7,8,17
"CASTLEAZES012","CASTLEAZES012",22,22,14,21,21,22,17,18,20,12,14,16,2,23,11,18,22,22,23,19,17,22,21,8,21,10,22,15,11,23,12,20,22,5,23,22,8,10,9
"CASTLEAZES013","CASTLEAZES013",9,18,13,9,5,13,16,14,7,11,3,2,16,1,1,17,15,10,12,4,10,12,10,14,11,10,11,15,11,2,12,9,18,7,2,9,3,1,3
"CASTLEAZES014","CASTLEAZES014",9,13,15,16,15,16,15,10,19,22,18,9,23,14,22,19,18,20,1,6,10,8,10,20,11,10,18,15,11,18,12,20,11,22,12,9,15,5,20
"CASTLEAZES015","CASTLEAZES015",9,15,12,4,8,18,11,6,9,15,1,1,11,9,6,3,1,8,8,12,2,8,10,14,14,10,11,5,11,10,12,9,11,11,16,9,1,14,14
"CASTLEAZES016","CASTLEAZES016",9,17,21,17,22,2,10,4,15,10,13,10,12,8,19,22,21,12,3,17,3,1,19,10,22,10,11,15,11,6,12,9,18,8,7,9,23,18,4
"CASTLEAZES017","CASTLEAZES017",19,14,9,7,7,19,7,9,13,6,9,14,1,6,5,15,6,7,17,12,5,3,10,6,7,10,11,5,11,14,12,9,11,11,4,9,2,22,13
"CASTLEAZES018","CASTLEAZES018",9,19,17,11,9,1,22,21,17,17,2,7,18,21,9,9,19,16,15,3,20,18,10,8,20,10,3,22,11,10,23,9,22,18,4,9,20,12,16
"CASTLEAZES019","CASTLEAZES019",9,12,18,20,19,6,3,2,10,2,8,8,4,3,3,4,12,3,5,2,10,4,10,1,2,10,3,15,11,6,12,9,3,3,6,19,11,2,6
"CASTLEAZES020","CASTLEAZES020",9,3,2,15,14,11,4,8,2,16,23,4,6,11,7,6,10,4,6,19,21,18,10,14,18,10,11,5,11,10,12,9,11,16,14,19,22,7,21
"CASTLEAZES021","CASTLEAZES021",22,16,16,1,17,20,20,16,16,3,20,19,22,16,21,23,14,1,20,12,18,15,10,20,4,21,3,5,11,18,12,9,18,19,22,9,18,20,1
"CASTLEAZES022","CASTLEAZES022",9,21,22,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4,15,23,24,24,24,23,15,11,22,12,22,11,24,19,22,24,24,23
"CASTLEAZES023","CASTLEAZES023",22,24,23,19,20,10,21,23,22,20,17,23,20,17,23,21,20,19,16,22,23,22,21,22,7,10,18,22,23,21,12,22,11,11,19,19,14,16,22
"CASTLEAZES024","CASTLEAZES024",9,6,7,22,1,9,6,3,4,14,19,5,8,10,8,20,4,11,10,12,8,12,10,4,9,10,18,15,11,2,12,9,11,11,21,9,13,4,19
