spec.jvm2008.report.run.location=BARN-17
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 19:06:10 BST 2016, end=Fri Jul 01 19:06:11 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 19:06:11 BST 2016, end=Fri Jul 01 19:06:11 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 19:06:11 BST 2016, end=Fri Jul 01 19:06:24 BST 2016, operations=1.0, operationsPerMinute=4.390458071125421
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 19:06:24 BST 2016, end=Fri Jul 01 19:06:28 BST 2016, operations=1.0, operationsPerMinute=17.326017903551833
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 19:06:28 BST 2016, end=Fri Jul 01 19:06:29 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 19:06:29 BST 2016, end=Fri Jul 01 19:06:37 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 19:06:37 BST 2016, end=Fri Jul 01 19:06:45 BST 2016, operations=1.0, operationsPerMinute=8.080808080808081
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 19:06:45 BST 2016, end=Fri Jul 01 19:06:51 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 19:06:51 BST 2016, end=Fri Jul 01 19:06:54 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 19:06:54 BST 2016, end=Fri Jul 01 19:06:54 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 19:06:54 BST 2016, end=Fri Jul 01 19:06:55 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 19:06:55 BST 2016, end=Fri Jul 01 19:07:01 BST 2016, operations=1.0, operationsPerMinute=10.625110678236231
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 19:07:01 BST 2016, end=Fri Jul 01 19:07:02 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 19:07:02 BST 2016, end=Fri Jul 01 19:07:03 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 19:07:03 BST 2016, end=Fri Jul 01 19:07:06 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 19:07:06 BST 2016, end=Fri Jul 01 19:07:12 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 19:07:12 BST 2016, end=Fri Jul 01 19:07:32 BST 2016, operations=1.0, operationsPerMinute=2.988345452734336
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 19:07:32 BST 2016, end=Fri Jul 01 19:07:33 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 19:07:44 BST 2016, end=Fri Jul 01 19:09:44 BST 2016, operations=481.9460973044389, operationsPerMinute=240.97304865221946, mode=normal, start=Fri Jul 01 19:09:45 BST 2016, end=Fri Jul 01 19:13:45 BST 2016, operations=1016.6495354969273, operationsPerMinute=254.16238387423184
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 19:13:49 BST 2016, end=Fri Jul 01 19:15:49 BST 2016, operations=200.8650398267617, operationsPerMinute=100.43251991338084, mode=normal, start=Fri Jul 01 19:15:53 BST 2016, end=Fri Jul 01 19:19:53 BST 2016, operations=388.49756763050925, operationsPerMinute=97.12439190762731
benchmark-name=compress, mod=warmup, start=Fri Jul 01 19:19:56 BST 2016, end=Fri Jul 01 19:21:56 BST 2016, operations=398.56879816379205, operationsPerMinute=199.28439908189603, mode=normal, start=Fri Jul 01 19:21:58 BST 2016, end=Fri Jul 01 19:25:58 BST 2016, operations=799.5772666462511, operationsPerMinute=199.89431666156278
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 19:26:00 BST 2016, end=Fri Jul 01 19:28:00 BST 2016, operations=138.64764133334518, operationsPerMinute=69.32382066667259, mode=normal, start=Fri Jul 01 19:28:05 BST 2016, end=Fri Jul 01 19:32:05 BST 2016, operations=290.21672500463717, operationsPerMinute=72.55418125115929
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 19:32:09 BST 2016, end=Fri Jul 01 19:34:09 BST 2016, operations=235.49325186945768, operationsPerMinute=117.74662593472884, mode=normal, start=Fri Jul 01 19:34:12 BST 2016, end=Fri Jul 01 19:38:12 BST 2016, operations=470.88503425013937, operationsPerMinute=117.72125856253484
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 19:38:15 BST 2016, end=Fri Jul 01 19:40:15 BST 2016, operations=406.67519513043754, operationsPerMinute=203.33759756521877, mode=normal, start=Fri Jul 01 19:40:17 BST 2016, end=Fri Jul 01 19:44:17 BST 2016, operations=800.9190610388779, operationsPerMinute=200.22976525971947
benchmark-name=derby, mod=warmup, start=Fri Jul 01 19:44:40 BST 2016, end=Fri Jul 01 19:46:40 BST 2016, operations=358.8592552934268, operationsPerMinute=179.4296276467134, mode=normal, start=Fri Jul 01 19:46:42 BST 2016, end=Fri Jul 01 19:50:42 BST 2016, operations=727.6338294674173, operationsPerMinute=181.90845736685432
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 19:50:44 BST 2016, end=Fri Jul 01 19:52:44 BST 2016, operations=205.35313947194368, operationsPerMinute=102.67656973597184, mode=normal, start=Fri Jul 01 19:52:47 BST 2016, end=Fri Jul 01 19:56:47 BST 2016, operations=411.70189230629876, operationsPerMinute=102.92547307657469
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 19:56:51 BST 2016, end=Fri Jul 01 19:58:51 BST 2016, operations=78.31148406448531, operationsPerMinute=39.15574203224266, mode=normal, start=Fri Jul 01 19:58:59 BST 2016, end=Fri Jul 01 20:02:59 BST 2016, operations=157.58327912697126, operationsPerMinute=39.395819781742816
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 20:03:08 BST 2016, end=Fri Jul 01 20:05:08 BST 2016, operations=13.930845376032671, operationsPerMinute=6.965422688016336, mode=normal, start=Fri Jul 01 20:05:50 BST 2016, end=Fri Jul 01 20:09:50 BST 2016, operations=27.813926224080426, operationsPerMinute=6.953481556020106
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 20:10:17 BST 2016, end=Fri Jul 01 20:12:17 BST 2016, operations=74.13234362903316, operationsPerMinute=37.06617181451658, mode=normal, start=Fri Jul 01 20:12:27 BST 2016, end=Fri Jul 01 20:16:27 BST 2016, operations=147.939229350741, operationsPerMinute=36.98480733768525
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 20:16:38 BST 2016, end=Fri Jul 01 20:18:38 BST 2016, operations=42.960543282486285, operationsPerMinute=21.480271641243142, mode=normal, start=Fri Jul 01 20:18:49 BST 2016, end=Fri Jul 01 20:22:49 BST 2016, operations=86.5056909587911, operationsPerMinute=21.626422739697777
