spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Wed Jun 29 04:33:53 BST 2016, end=Wed Jun 29 04:33:53 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 04:33:53 BST 2016, end=Wed Jun 29 04:33:53 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 04:33:53 BST 2016, end=Wed Jun 29 04:34:15 BST 2016, operations=1.0, operationsPerMinute=2.7393507738665934
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 04:34:15 BST 2016, end=Wed Jun 29 04:34:20 BST 2016, operations=1.0, operationsPerMinute=12.652889076339097
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 04:34:20 BST 2016, end=Wed Jun 29 04:34:22 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 04:34:22 BST 2016, end=Wed Jun 29 04:34:32 BST 2016, operations=1.0, operationsPerMinute=6.0569351907934585
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 04:34:32 BST 2016, end=Wed Jun 29 04:34:40 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 04:34:40 BST 2016, end=Wed Jun 29 04:34:47 BST 2016, operations=1.0, operationsPerMinute=8.306797729475287
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 04:34:47 BST 2016, end=Wed Jun 29 04:34:50 BST 2016, operations=1.0, operationsPerMinute=19.32367149758454
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 04:34:50 BST 2016, end=Wed Jun 29 04:34:51 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 04:34:51 BST 2016, end=Wed Jun 29 04:34:53 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 04:34:53 BST 2016, end=Wed Jun 29 04:34:59 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 04:34:59 BST 2016, end=Wed Jun 29 04:35:01 BST 2016, operations=1.0, operationsPerMinute=32.327586206896555
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 04:35:01 BST 2016, end=Wed Jun 29 04:35:02 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 04:35:02 BST 2016, end=Wed Jun 29 04:35:05 BST 2016, operations=1.0, operationsPerMinute=20.03338898163606
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 04:35:05 BST 2016, end=Wed Jun 29 04:35:13 BST 2016, operations=1.0, operationsPerMinute=8.43407365757661
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 04:35:13 BST 2016, end=Wed Jun 29 04:35:42 BST 2016, operations=1.0, operationsPerMinute=2.0200659888223016
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 04:35:42 BST 2016, end=Wed Jun 29 04:35:43 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 04:36:00 BST 2016, end=Wed Jun 29 04:38:00 BST 2016, operations=356.21342082764363, operationsPerMinute=178.10671041382182, mode=normal, start=Wed Jun 29 04:38:02 BST 2016, end=Wed Jun 29 04:42:02 BST 2016, operations=724.7088378840298, operationsPerMinute=181.17720947100744
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 04:42:09 BST 2016, end=Wed Jun 29 04:44:09 BST 2016, operations=137.56291465235742, operationsPerMinute=68.78145732617871, mode=normal, start=Wed Jun 29 04:44:13 BST 2016, end=Wed Jun 29 04:48:13 BST 2016, operations=281.37260642629076, operationsPerMinute=70.34315160657269
benchmark-name=compress, mod=warmup, start=Wed Jun 29 04:48:19 BST 2016, end=Wed Jun 29 04:50:19 BST 2016, operations=269.9745542582672, operationsPerMinute=134.9872771291336, mode=normal, start=Wed Jun 29 04:50:21 BST 2016, end=Wed Jun 29 04:54:21 BST 2016, operations=533.9502536210932, operationsPerMinute=133.4875634052733
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 04:54:25 BST 2016, end=Wed Jun 29 04:56:25 BST 2016, operations=86.07474416115389, operationsPerMinute=43.037372080576944, mode=normal, start=Wed Jun 29 04:56:32 BST 2016, end=Wed Jun 29 05:00:32 BST 2016, operations=181.84349348590564, operationsPerMinute=45.46087337147641
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 05:00:40 BST 2016, end=Wed Jun 29 05:02:40 BST 2016, operations=146.61962374265417, operationsPerMinute=73.30981187132708, mode=normal, start=Wed Jun 29 05:02:44 BST 2016, end=Wed Jun 29 05:06:44 BST 2016, operations=293.87663227272486, operationsPerMinute=73.46915806818122
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 05:06:50 BST 2016, end=Wed Jun 29 05:08:50 BST 2016, operations=254.57533372542633, operationsPerMinute=127.28766686271317, mode=normal, start=Wed Jun 29 05:08:52 BST 2016, end=Wed Jun 29 05:12:52 BST 2016, operations=507.3922656804163, operationsPerMinute=126.84806642010408
benchmark-name=derby, mod=warmup, start=Wed Jun 29 05:14:19 BST 2016, end=Wed Jun 29 05:16:19 BST 2016, operations=206.2286032113264, operationsPerMinute=103.1143016056632, mode=normal, start=Wed Jun 29 05:16:22 BST 2016, end=Wed Jun 29 05:20:22 BST 2016, operations=415.8425923663623, operationsPerMinute=103.96064809159057
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 05:20:25 BST 2016, end=Wed Jun 29 05:22:25 BST 2016, operations=135.20678537072618, operationsPerMinute=67.60339268536309, mode=normal, start=Wed Jun 29 05:22:29 BST 2016, end=Wed Jun 29 05:26:29 BST 2016, operations=270.3718189780078, operationsPerMinute=67.59295474450195
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 05:26:34 BST 2016, end=Wed Jun 29 05:28:34 BST 2016, operations=60.39262799523229, operationsPerMinute=30.196313997616144, mode=normal, start=Wed Jun 29 05:28:48 BST 2016, end=Wed Jun 29 05:32:48 BST 2016, operations=114.7662249731353, operationsPerMinute=28.691556243283824
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 05:32:57 BST 2016, end=Wed Jun 29 05:34:57 BST 2016, operations=11.546758502926279, operationsPerMinute=5.7733792514631395, mode=normal, start=Wed Jun 29 05:35:32 BST 2016, end=Wed Jun 29 05:39:32 BST 2016, operations=23.22937399029206, operationsPerMinute=5.807343497573015
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 05:40:11 BST 2016, end=Wed Jun 29 05:42:11 BST 2016, operations=54.757452474764676, operationsPerMinute=27.378726237382338, mode=normal, start=Wed Jun 29 05:42:22 BST 2016, end=Wed Jun 29 05:46:22 BST 2016, operations=111.04488115559651, operationsPerMinute=27.76122028889913
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 05:46:32 BST 2016, end=Wed Jun 29 05:48:32 BST 2016, operations=37.5034792978024, operationsPerMinute=18.7517396489012, mode=normal, start=Wed Jun 29 05:48:49 BST 2016, end=Wed Jun 29 05:52:49 BST 2016, operations=74.87831519357337, operationsPerMinute=18.719578798393343
