spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 14:40:17 BST 2016, end=Tue Jul 05 14:40:18 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jul 05 16:02:32 BST 2016, end=Tue Jul 05 16:04:32 BST 2016, operations=543.6834379392137, operationsPerMinute=271.84171896960686, mode=normal, start=Tue Jul 05 16:04:35 BST 2016, end=Tue Jul 05 16:08:35 BST 2016, operations=799.5155965541168, operationsPerMinute=199.8788991385292
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jul 05 16:08:36 BST 2016, end=Tue Jul 05 16:10:36 BST 2016, operations=430.8046559468613, operationsPerMinute=215.40232797343066, mode=normal, start=Tue Jul 05 16:10:38 BST 2016, end=Tue Jul 05 16:14:38 BST 2016, operations=862.6208897586132, operationsPerMinute=215.6552224396533
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jul 05 16:14:42 BST 2016, end=Tue Jul 05 16:16:42 BST 2016, operations=248.48160313847285, operationsPerMinute=124.24080156923642, mode=normal, start=Tue Jul 05 16:16:45 BST 2016, end=Tue Jul 05 16:20:45 BST 2016, operations=382.56091406895985, operationsPerMinute=95.64022851723996
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jul 05 16:20:47 BST 2016, end=Tue Jul 05 16:22:47 BST 2016, operations=383.4060824266731, operationsPerMinute=191.70304121333655, mode=normal, start=Tue Jul 05 16:22:54 BST 2016, end=Tue Jul 05 16:26:54 BST 2016, operations=769.7713893214978, operationsPerMinute=192.44284733037446
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jul 05 16:27:00 BST 2016, end=Tue Jul 05 16:29:00 BST 2016, operations=89.6565853145821, operationsPerMinute=44.82829265729105, mode=normal, start=Tue Jul 05 16:29:10 BST 2016, end=Tue Jul 05 16:33:10 BST 2016, operations=132.46711974753237, operationsPerMinute=33.11677993688309
benchmark-name=serial, mod=warmup, start=Tue Jul 05 16:33:19 BST 2016, end=Tue Jul 05 16:35:19 BST 2016, operations=182.34845763610696, operationsPerMinute=91.17422881805348, mode=normal, start=Tue Jul 05 16:35:23 BST 2016, end=Tue Jul 05 16:39:23 BST 2016, operations=363.20092056551306, operationsPerMinute=90.80023014137826
benchmark-name=sunflow, mod=warmup, start=Tue Jul 05 16:39:28 BST 2016, end=Tue Jul 05 16:41:28 BST 2016, operations=136.52338807849625, operationsPerMinute=68.26169403924813, mode=normal, start=Tue Jul 05 16:41:30 BST 2016, end=Tue Jul 05 16:45:30 BST 2016, operations=219.41480343747813, operationsPerMinute=54.85370085936953
benchmark-name=xml.transform, mod=warmup, start=Tue Jul 05 16:46:08 BST 2016, end=Tue Jul 05 16:48:08 BST 2016, operations=390.594725027676, operationsPerMinute=195.297362513838, mode=normal, start=Tue Jul 05 16:48:09 BST 2016, end=Tue Jul 05 16:52:09 BST 2016, operations=782.8867308229487, operationsPerMinute=195.72168270573718
benchmark-name=xml.validation, mod=warmup, start=Tue Jul 05 16:52:11 BST 2016, end=Tue Jul 05 16:54:11 BST 2016, operations=801.4496346895586, operationsPerMinute=400.7248173447793, mode=normal, start=Tue Jul 05 16:54:12 BST 2016, end=Tue Jul 05 16:58:12 BST 2016, operations=1576.8004896476364, operationsPerMinute=394.2001224119091
##-nursultan-##,GREY-02,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Tue Jul 05 14:40:17 BST 2016,Tue Jul 05 14:40:18 BST 2016,1.0,1276.595744680851,startup.helloworld,Tue Jul 05 14:40:18 BST 2016,Tue Jul 05 14:40:18 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Tue Jul 05 14:40:18 BST 2016,Tue Jul 05 14:40:31 BST 2016,1.0,4.487994614406463,startup.compiler.sunflow,Tue Jul 05 14:40:31 BST 2016,Tue Jul 05 14:40:34 BST 2016,1.0,17.725258493353028,startup.compress,Tue Jul 05 14:40:34 BST 2016,Tue Jul 05 14:40:36 BST 2016,1.0,45.80152671755725,startup.crypto.aes,Tue Jul 05 14:40:36 BST 2016,Tue Jul 05 14:40:44 BST 2016,1.0,7.005253940455342,startup.crypto.rsa,Tue Jul 05 14:40:44 BST 2016,Tue Jul 05 14:40:52 BST 2016,1.0,7.424823660438064,startup.crypto.signverify,Tue Jul 05 14:40:52 BST 2016,Tue Jul 05 14:41:00 BST 2016,1.0,8.379888268156424,startup.mpegaudio,Tue Jul 05 14:41:00 BST 2016,Tue Jul 05 14:41:02 BST 2016,1.0,24.81389578163772,startup.scimark.fft,Tue Jul 05 14:41:02 BST 2016,Tue Jul 05 14:41:03 BST 2016,1.0,78.53403141361257,startup.scimark.lu,Tue Jul 05 14:41:03 BST 2016,Tue Jul 05 14:41:04 BST 2016,1.0,63.02521008403362,startup.scimark.monte_carlo,Tue Jul 05 14:41:04 BST 2016,Tue Jul 05 14:41:09 BST 2016,1.0,10.423905489923557,startup.scimark.sor,Tue Jul 05 14:41:09 BST 2016,Tue Jul 05 14:41:11 BST 2016,1.0,40.053404539385845,startup.scimark.sparse,Tue Jul 05 14:41:11 BST 2016,Tue Jul 05 14:41:12 BST 2016,1.0,59.171597633136095,startup.serial,Tue Jul 05 14:41:12 BST 2016,Tue Jul 05 14:41:14 BST 2016,1.0,27.285129604365622,startup.sunflow,Tue Jul 05 14:41:14 BST 2016,Tue Jul 05 14:41:21 BST 2016,1.0,8.882309400444116,startup.xml.transform,Tue Jul 05 14:41:21 BST 2016,Tue Jul 05 14:41:42 BST 2016,1.0,2.8875306800134752,startup.xml.validation,Tue Jul 05 14:41:42 BST 2016,Tue Jul 05 14:41:42 BST 2016,1.0,72.55139056831922,compiler.compiler,Tue Jul 05 14:41:53 BST 2016,Tue Jul 05 14:43:53 BST 2016,435.18430853812544,217.59215426906272,Tue Jul 05 14:43:55 BST 2016,Tue Jul 05 14:47:55 BST 2016,894.0384727797957,223.50961819494893,compiler.sunflow,Tue Jul 05 14:47:59 BST 2016,Tue Jul 05 14:49:59 BST 2016,177.0296856123806,88.5148428061903,Tue Jul 05 14:50:03 BST 2016,Tue Jul 05 14:54:03 BST 2016,353.55699310225475,88.38924827556369,compress,Tue Jul 05 14:54:07 BST 2016,Tue Jul 05 14:56:07 BST 2016,299.80357465134153,149.90178732567077,Tue Jul 05 14:56:13 BST 2016,Tue Jul 05 15:00:13 BST 2016,467.1251913589757,116.78129783974393,crypto.aes,Tue Jul 05 15:00:15 BST 2016,Tue Jul 05 15:02:15 BST 2016,41.123337957988156,20.561668978994078,Tue Jul 05 15:03:20 BST 2016,Tue Jul 05 15:07:20 BST 2016,223.30398865739903,55.82599716434976,crypto.rsa,Tue Jul 05 15:07:27 BST 2016,Tue Jul 05 15:09:27 BST 2016,176.0646929541595,88.03234647707976,Tue Jul 05 15:09:30 BST 2016,Tue Jul 05 15:13:30 BST 2016,350.8572966218911,87.71432415547278,crypto.signverify,Tue Jul 05 15:13:33 BST 2016,Tue Jul 05 15:15:33 BST 2016,245.19788428555302,122.59894214277651,Tue Jul 05 15:15:35 BST 2016,Tue Jul 05 15:19:35 BST 2016,610.360779960346,152.5901949900865,derby,Tue Jul 05 15:19:57 BST 2016,Tue Jul 05 15:21:57 BST 2016,276.87598619998835,138.43799309999417,Tue Jul 05 15:21:59 BST 2016,Tue Jul 05 15:25:59 BST 2016,555.1821348668775,138.79553371671938,mpegaudio,Tue Jul 05 15:26:02 BST 2016,Tue Jul 05 15:28:02 BST 2016,155.02043693045204,77.51021846522602,Tue Jul 05 15:28:08 BST 2016,Tue Jul 05 15:32:08 BST 2016,311.76299066425963,77.94074766606491,scimark.fft.large,Tue Jul 05 15:32:12 BST 2016,Tue Jul 05 15:34:12 BST 2016,66.03324977132598,33.01662488566299,Tue Jul 05 15:34:20 BST 2016,Tue Jul 05 15:38:20 BST 2016,152.97746647297367,38.24436661824342,scimark.lu.large,Tue Jul 05 15:39:35 BST 2016,Tue Jul 05 15:41:35 BST 2016,13.982945804031647,6.991472902015824,Tue Jul 05 15:42:35 BST 2016,Tue Jul 05 15:46:35 BST 2016,28.194179433581656,7.048544858395414,scimark.sor.large,Tue Jul 05 15:47:16 BST 2016,Tue Jul 05 15:49:16 BST 2016,56.661354389177575,28.330677194588787,Tue Jul 05 15:49:30 BST 2016,Tue Jul 05 15:53:30 BST 2016,101.05101198767693,25.262752996919232,scimark.sparse.large,Tue Jul 05 15:55:54 BST 2016,Tue Jul 05 15:57:54 BST 2016,37.47620637348926,18.73810318674463,Tue Jul 05 15:58:07 BST 2016,Tue Jul 05 16:02:07 BST 2016,70.76984226319622,17.692460565799056,scimark.fft.small,Tue Jul 05 16:02:32 BST 2016,Tue Jul 05 16:04:32 BST 2016,543.6834379392137,271.84171896960686,Tue Jul 05 16:04:35 BST 2016,Tue Jul 05 16:08:35 BST 2016,799.5155965541168,199.8788991385292,scimark.lu.small,Tue Jul 05 16:08:36 BST 2016,Tue Jul 05 16:10:36 BST 2016,430.8046559468613,215.40232797343066,Tue Jul 05 16:10:38 BST 2016,Tue Jul 05 16:14:38 BST 2016,862.6208897586132,215.6552224396533,scimark.sor.small,Tue Jul 05 16:14:42 BST 2016,Tue Jul 05 16:16:42 BST 2016,248.48160313847285,124.24080156923642,Tue Jul 05 16:16:45 BST 2016,Tue Jul 05 16:20:45 BST 2016,382.56091406895985,95.64022851723996,scimark.sparse.small,Tue Jul 05 16:20:47 BST 2016,Tue Jul 05 16:22:47 BST 2016,383.4060824266731,191.70304121333655,Tue Jul 05 16:22:54 BST 2016,Tue Jul 05 16:26:54 BST 2016,769.7713893214978,192.44284733037446,scimark.monte_carlo,Tue Jul 05 16:27:00 BST 2016,Tue Jul 05 16:29:00 BST 2016,89.6565853145821,44.82829265729105,Tue Jul 05 16:29:10 BST 2016,Tue Jul 05 16:33:10 BST 2016,132.46711974753237,33.11677993688309,serial,Tue Jul 05 16:33:19 BST 2016,Tue Jul 05 16:35:19 BST 2016,182.34845763610696,91.17422881805348,Tue Jul 05 16:35:23 BST 2016,Tue Jul 05 16:39:23 BST 2016,363.20092056551306,90.80023014137826,sunflow,Tue Jul 05 16:39:28 BST 2016,Tue Jul 05 16:41:28 BST 2016,136.52338807849625,68.26169403924813,Tue Jul 05 16:41:30 BST 2016,Tue Jul 05 16:45:30 BST 2016,219.41480343747813,54.85370085936953,xml.transform,Tue Jul 05 16:46:08 BST 2016,Tue Jul 05 16:48:08 BST 2016,390.594725027676,195.297362513838,Tue Jul 05 16:48:09 BST 2016,Tue Jul 05 16:52:09 BST 2016,782.8867308229487,195.72168270573718,xml.validation,Tue Jul 05 16:52:11 BST 2016,Tue Jul 05 16:54:11 BST 2016,801.4496346895586,400.7248173447793,Tue Jul 05 16:54:12 BST 2016,Tue Jul 05 16:58:12 BST 2016,1576.8004896476364,394.2001224119091
