spec.jvm2008.report.run.location=LAW002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 01:57:54 BST 2016, end=Mon Jun 27 01:57:54 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 03:16:12 BST 2016, end=Mon Jun 27 03:18:12 BST 2016, operations=551.2164339902299, operationsPerMinute=275.60821699511496, mode=normal, start=Mon Jun 27 03:18:14 BST 2016, end=Mon Jun 27 03:22:14 BST 2016, operations=1083.398023930827, operationsPerMinute=270.8495059827068
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 03:22:16 BST 2016, end=Mon Jun 27 03:24:16 BST 2016, operations=420.3985266552652, operationsPerMinute=210.1992633276326, mode=normal, start=Mon Jun 27 03:24:17 BST 2016, end=Mon Jun 27 03:28:17 BST 2016, operations=846.744384267258, operationsPerMinute=211.6860960668145
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 03:28:19 BST 2016, end=Mon Jun 27 03:30:19 BST 2016, operations=278.7802669266688, operationsPerMinute=139.3901334633344, mode=normal, start=Mon Jun 27 03:30:22 BST 2016, end=Mon Jun 27 03:34:22 BST 2016, operations=556.8089067740775, operationsPerMinute=139.20222669351938
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jun 27 03:34:25 BST 2016, end=Mon Jun 27 03:36:25 BST 2016, operations=401.67240335182794, operationsPerMinute=200.83620167591397, mode=normal, start=Mon Jun 27 03:36:27 BST 2016, end=Mon Jun 27 03:40:27 BST 2016, operations=795.0717496189427, operationsPerMinute=198.76793740473568
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jun 27 03:40:29 BST 2016, end=Mon Jun 27 03:42:29 BST 2016, operations=90.71195533292499, operationsPerMinute=45.35597766646249, mode=normal, start=Mon Jun 27 03:42:38 BST 2016, end=Mon Jun 27 03:46:38 BST 2016, operations=182.00991452132453, operationsPerMinute=45.50247863033113
benchmark-name=serial, mod=warmup, start=Mon Jun 27 03:46:47 BST 2016, end=Mon Jun 27 03:48:47 BST 2016, operations=177.66406128651238, operationsPerMinute=88.83203064325619, mode=normal, start=Mon Jun 27 03:48:51 BST 2016, end=Mon Jun 27 03:52:51 BST 2016, operations=339.3275002532094, operationsPerMinute=84.83187506330235
benchmark-name=sunflow, mod=warmup, start=Mon Jun 27 03:52:55 BST 2016, end=Mon Jun 27 03:54:55 BST 2016, operations=129.50955409741204, operationsPerMinute=64.75477704870602, mode=normal, start=Mon Jun 27 03:54:57 BST 2016, end=Mon Jun 27 03:58:57 BST 2016, operations=263.1290708743801, operationsPerMinute=65.78226771859502
benchmark-name=xml.transform, mod=warmup, start=Mon Jun 27 03:59:23 BST 2016, end=Mon Jun 27 04:01:23 BST 2016, operations=400.92249887436753, operationsPerMinute=200.46124943718377, mode=normal, start=Mon Jun 27 04:01:24 BST 2016, end=Mon Jun 27 04:05:24 BST 2016, operations=794.1252096001142, operationsPerMinute=198.53130240002855
benchmark-name=xml.validation, mod=warmup, start=Mon Jun 27 04:05:27 BST 2016, end=Mon Jun 27 04:07:27 BST 2016, operations=600.6843477913737, operationsPerMinute=300.34217389568687, mode=normal, start=Mon Jun 27 04:07:28 BST 2016, end=Mon Jun 27 04:11:28 BST 2016, operations=1189.4290786545348, operationsPerMinute=297.3572696636337
##-nursultan-##,LAW002,Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz,4,8067,check,Mon Jun 27 01:57:54 BST 2016,Mon Jun 27 01:57:54 BST 2016,1.0,480.0,startup.helloworld,Mon Jun 27 01:57:54 BST 2016,Mon Jun 27 01:57:55 BST 2016,1.0,147.7832512315271,startup.compiler.compiler,Mon Jun 27 01:57:55 BST 2016,Mon Jun 27 01:58:15 BST 2016,1.0,2.9675058113655473,startup.compiler.sunflow,Mon Jun 27 01:58:15 BST 2016,Mon Jun 27 01:58:20 BST 2016,1.0,12.610340479192939,startup.compress,Mon Jun 27 01:58:20 BST 2016,Mon Jun 27 01:58:21 BST 2016,1.0,40.053404539385845,startup.crypto.aes,Mon Jun 27 01:58:21 BST 2016,Mon Jun 27 01:58:31 BST 2016,1.0,6.223420806970231,startup.crypto.rsa,Mon Jun 27 01:58:31 BST 2016,Mon Jun 27 01:58:39 BST 2016,1.0,7.586294095334429,startup.crypto.signverify,Mon Jun 27 01:58:39 BST 2016,Mon Jun 27 01:58:46 BST 2016,1.0,8.6617583369424,startup.mpegaudio,Mon Jun 27 01:58:46 BST 2016,Mon Jun 27 01:58:49 BST 2016,1.0,20.682523267838675,startup.scimark.fft,Mon Jun 27 01:58:49 BST 2016,Mon Jun 27 01:58:50 BST 2016,1.0,64.1025641025641,startup.scimark.lu,Mon Jun 27 01:58:50 BST 2016,Mon Jun 27 01:58:51 BST 2016,1.0,50.5902192242833,startup.scimark.monte_carlo,Mon Jun 27 01:58:51 BST 2016,Mon Jun 27 01:58:57 BST 2016,1.0,9.114385538508278,startup.scimark.sor,Mon Jun 27 01:58:57 BST 2016,Mon Jun 27 01:58:59 BST 2016,1.0,36.607687614399026,startup.scimark.sparse,Mon Jun 27 01:58:59 BST 2016,Mon Jun 27 01:59:00 BST 2016,1.0,45.80152671755725,startup.serial,Mon Jun 27 01:59:00 BST 2016,Mon Jun 27 01:59:03 BST 2016,1.0,20.79002079002079,startup.sunflow,Mon Jun 27 01:59:03 BST 2016,Mon Jun 27 01:59:10 BST 2016,1.0,8.253094910591471,startup.xml.transform,Mon Jun 27 01:59:10 BST 2016,Mon Jun 27 01:59:40 BST 2016,1.0,2.0360378703043875,startup.xml.validation,Mon Jun 27 01:59:40 BST 2016,Mon Jun 27 01:59:41 BST 2016,1.0,42.73504273504273,compiler.compiler,Mon Jun 27 01:59:55 BST 2016,Mon Jun 27 02:01:55 BST 2016,352.8963507335833,176.44817536679165,Mon Jun 27 02:01:57 BST 2016,Mon Jun 27 02:05:57 BST 2016,697.0494244469563,174.26235611173908,compiler.sunflow,Mon Jun 27 02:06:03 BST 2016,Mon Jun 27 02:08:03 BST 2016,137.56868696570055,68.78434348285028,Mon Jun 27 02:08:07 BST 2016,Mon Jun 27 02:12:07 BST 2016,316.5337851989814,79.13344629974534,compress,Mon Jun 27 02:12:12 BST 2016,Mon Jun 27 02:14:12 BST 2016,328.4757431455997,164.23787157279986,Mon Jun 27 02:14:13 BST 2016,Mon Jun 27 02:18:13 BST 2016,658.520871462584,164.630217865646,crypto.aes,Mon Jun 27 02:18:16 BST 2016,Mon Jun 27 02:20:16 BST 2016,108.82653840972112,54.41326920486056,Mon Jun 27 02:20:23 BST 2016,Mon Jun 27 02:24:23 BST 2016,229.34059829600767,57.33514957400192,crypto.rsa,Mon Jun 27 02:24:30 BST 2016,Mon Jun 27 02:26:30 BST 2016,189.8591383338412,94.9295691669206,Mon Jun 27 02:26:34 BST 2016,Mon Jun 27 02:30:34 BST 2016,359.69629381499016,89.92407345374754,crypto.signverify,Mon Jun 27 02:30:39 BST 2016,Mon Jun 27 02:32:39 BST 2016,260.8955008675455,130.44775043377274,Mon Jun 27 02:32:42 BST 2016,Mon Jun 27 02:36:42 BST 2016,640.3034344706555,160.07585861766387,derby,Mon Jun 27 02:37:45 BST 2016,Mon Jun 27 02:39:45 BST 2016,212.4822483715766,106.2411241857883,Mon Jun 27 02:39:48 BST 2016,Mon Jun 27 02:43:48 BST 2016,484.8075824555457,121.20189561388642,mpegaudio,Mon Jun 27 02:43:51 BST 2016,Mon Jun 27 02:45:51 BST 2016,140.25929498641358,70.12964749320679,Mon Jun 27 02:46:10 BST 2016,Mon Jun 27 02:50:10 BST 2016,280.9079055527789,70.22697638819473,scimark.fft.large,Mon Jun 27 02:50:14 BST 2016,Mon Jun 27 02:52:14 BST 2016,97.49584516255688,48.74792258127844,Mon Jun 27 02:52:20 BST 2016,Mon Jun 27 02:56:20 BST 2016,195.92589680023826,48.981474200059566,scimark.lu.large,Mon Jun 27 02:56:27 BST 2016,Mon Jun 27 02:58:27 BST 2016,21.724738832483354,10.862369416241677,Mon Jun 27 02:58:56 BST 2016,Mon Jun 27 03:02:56 BST 2016,43.48952889539382,10.872382223848454,scimark.sor.large,Mon Jun 27 03:03:29 BST 2016,Mon Jun 27 03:05:29 BST 2016,59.82356860947542,29.91178430473771,Mon Jun 27 03:05:41 BST 2016,Mon Jun 27 03:09:41 BST 2016,119.9469557456393,29.986738936409825,scimark.sparse.large,Mon Jun 27 03:09:53 BST 2016,Mon Jun 27 03:11:53 BST 2016,71.7214901548865,35.86074507744325,Mon Jun 27 03:12:02 BST 2016,Mon Jun 27 03:16:02 BST 2016,141.8681557004209,35.46703892510523,scimark.fft.small,Mon Jun 27 03:16:12 BST 2016,Mon Jun 27 03:18:12 BST 2016,551.2164339902299,275.60821699511496,Mon Jun 27 03:18:14 BST 2016,Mon Jun 27 03:22:14 BST 2016,1083.398023930827,270.8495059827068,scimark.lu.small,Mon Jun 27 03:22:16 BST 2016,Mon Jun 27 03:24:16 BST 2016,420.3985266552652,210.1992633276326,Mon Jun 27 03:24:17 BST 2016,Mon Jun 27 03:28:17 BST 2016,846.744384267258,211.6860960668145,scimark.sor.small,Mon Jun 27 03:28:19 BST 2016,Mon Jun 27 03:30:19 BST 2016,278.7802669266688,139.3901334633344,Mon Jun 27 03:30:22 BST 2016,Mon Jun 27 03:34:22 BST 2016,556.8089067740775,139.20222669351938,scimark.sparse.small,Mon Jun 27 03:34:25 BST 2016,Mon Jun 27 03:36:25 BST 2016,401.67240335182794,200.83620167591397,Mon Jun 27 03:36:27 BST 2016,Mon Jun 27 03:40:27 BST 2016,795.0717496189427,198.76793740473568,scimark.monte_carlo,Mon Jun 27 03:40:29 BST 2016,Mon Jun 27 03:42:29 BST 2016,90.71195533292499,45.35597766646249,Mon Jun 27 03:42:38 BST 2016,Mon Jun 27 03:46:38 BST 2016,182.00991452132453,45.50247863033113,serial,Mon Jun 27 03:46:47 BST 2016,Mon Jun 27 03:48:47 BST 2016,177.66406128651238,88.83203064325619,Mon Jun 27 03:48:51 BST 2016,Mon Jun 27 03:52:51 BST 2016,339.3275002532094,84.83187506330235,sunflow,Mon Jun 27 03:52:55 BST 2016,Mon Jun 27 03:54:55 BST 2016,129.50955409741204,64.75477704870602,Mon Jun 27 03:54:57 BST 2016,Mon Jun 27 03:58:57 BST 2016,263.1290708743801,65.78226771859502,xml.transform,Mon Jun 27 03:59:23 BST 2016,Mon Jun 27 04:01:23 BST 2016,400.92249887436753,200.46124943718377,Mon Jun 27 04:01:24 BST 2016,Mon Jun 27 04:05:24 BST 2016,794.1252096001142,198.53130240002855,xml.validation,Mon Jun 27 04:05:27 BST 2016,Mon Jun 27 04:07:27 BST 2016,600.6843477913737,300.34217389568687,Mon Jun 27 04:07:28 BST 2016,Mon Jun 27 04:11:28 BST 2016,1189.4290786545348,297.3572696636337
