spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 12:07:25 BST 2016, end=Tue Jul 05 12:07:25 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 12:07:25 BST 2016, end=Tue Jul 05 12:07:25 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 12:07:25 BST 2016, end=Tue Jul 05 12:07:38 BST 2016, operations=1.0, operationsPerMinute=4.487994614406463
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 12:07:38 BST 2016, end=Tue Jul 05 12:07:42 BST 2016, operations=1.0, operationsPerMinute=17.482517482517483
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 12:07:42 BST 2016, end=Tue Jul 05 12:07:43 BST 2016, operations=1.0, operationsPerMinute=45.76659038901602
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 12:07:43 BST 2016, end=Tue Jul 05 12:07:52 BST 2016, operations=1.0, operationsPerMinute=6.9428373061791255
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 12:07:52 BST 2016, end=Tue Jul 05 12:07:59 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 12:07:59 BST 2016, end=Tue Jul 05 12:08:07 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 12:08:07 BST 2016, end=Tue Jul 05 12:08:09 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 12:08:09 BST 2016, end=Tue Jul 05 12:08:10 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 12:08:10 BST 2016, end=Tue Jul 05 12:08:11 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 12:08:11 BST 2016, end=Tue Jul 05 12:08:16 BST 2016, operations=1.0, operationsPerMinute=10.451140916216687
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 12:08:16 BST 2016, end=Tue Jul 05 12:08:18 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 12:08:18 BST 2016, end=Tue Jul 05 12:08:19 BST 2016, operations=1.0, operationsPerMinute=58.25242718446602
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 12:08:19 BST 2016, end=Tue Jul 05 12:08:21 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 12:08:21 BST 2016, end=Tue Jul 05 12:08:28 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 12:08:28 BST 2016, end=Tue Jul 05 12:08:48 BST 2016, operations=1.0, operationsPerMinute=2.89841070479687
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 12:08:49 BST 2016, end=Tue Jul 05 12:08:49 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 12:09:00 BST 2016, end=Tue Jul 05 12:11:00 BST 2016, operations=368.613472536474, operationsPerMinute=184.306736268237, mode=normal, start=Tue Jul 05 12:11:04 BST 2016, end=Tue Jul 05 12:15:04 BST 2016, operations=691.0194997955762, operationsPerMinute=172.75487494889404
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 12:15:08 BST 2016, end=Tue Jul 05 12:17:08 BST 2016, operations=170.2357881269249, operationsPerMinute=85.11789406346244, mode=normal, start=Tue Jul 05 12:17:12 BST 2016, end=Tue Jul 05 12:21:12 BST 2016, operations=282.56572938297404, operationsPerMinute=70.64143234574351
benchmark-name=compress, mod=warmup, start=Tue Jul 05 12:21:16 BST 2016, end=Tue Jul 05 12:23:16 BST 2016, operations=275.5151622752628, operationsPerMinute=137.7575811376314, mode=normal, start=Tue Jul 05 12:23:19 BST 2016, end=Tue Jul 05 12:27:19 BST 2016, operations=431.70271920439325, operationsPerMinute=107.92567980109831
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 12:27:22 BST 2016, end=Tue Jul 05 12:29:22 BST 2016, operations=103.31137672827374, operationsPerMinute=51.65568836413687, mode=normal, start=Tue Jul 05 12:29:27 BST 2016, end=Tue Jul 05 12:33:27 BST 2016, operations=220.86669024973244, operationsPerMinute=55.21667256243311
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 12:33:35 BST 2016, end=Tue Jul 05 12:35:35 BST 2016, operations=173.9969507679958, operationsPerMinute=86.9984753839979, mode=normal, start=Tue Jul 05 12:35:43 BST 2016, end=Tue Jul 05 12:39:43 BST 2016, operations=251.0418183958521, operationsPerMinute=62.76045459896302
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 12:46:17 BST 2016, end=Tue Jul 05 12:48:17 BST 2016, operations=246.54263383887766, operationsPerMinute=123.27131691943883, mode=normal, start=Tue Jul 05 12:48:20 BST 2016, end=Tue Jul 05 12:52:20 BST 2016, operations=300.48366875328094, operationsPerMinute=75.12091718832023
benchmark-name=derby, mod=warmup, start=Tue Jul 05 12:52:44 BST 2016, end=Tue Jul 05 12:54:44 BST 2016, operations=198.71901391763075, operationsPerMinute=99.35950695881537, mode=normal, start=Tue Jul 05 12:54:46 BST 2016, end=Tue Jul 05 12:58:46 BST 2016, operations=442.53954617726754, operationsPerMinute=110.63488654431688
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 12:58:49 BST 2016, end=Tue Jul 05 13:00:49 BST 2016, operations=142.92564159622728, operationsPerMinute=71.46282079811364, mode=normal, start=Tue Jul 05 13:00:53 BST 2016, end=Tue Jul 05 13:04:53 BST 2016, operations=173.08083629267622, operationsPerMinute=43.270209073169056
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 13:05:14 BST 2016, end=Tue Jul 05 13:07:14 BST 2016, operations=72.70891281466669, operationsPerMinute=36.354456407333345, mode=normal, start=Tue Jul 05 13:08:45 BST 2016, end=Tue Jul 05 13:12:45 BST 2016, operations=112.46695325863259, operationsPerMinute=28.116738314658146
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 13:13:08 BST 2016, end=Tue Jul 05 13:15:08 BST 2016, operations=7.490084111116349, operationsPerMinute=3.7450420555581747, mode=normal, start=Tue Jul 05 13:16:18 BST 2016, end=Tue Jul 05 13:20:18 BST 2016, operations=18.99099234868098, operationsPerMinute=4.747748087170245
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 13:27:22 BST 2016, end=Tue Jul 05 13:29:22 BST 2016, operations=38.05064599408129, operationsPerMinute=19.025322997040647, mode=normal, start=Tue Jul 05 13:30:25 BST 2016, end=Tue Jul 05 13:34:25 BST 2016, operations=89.33937569745471, operationsPerMinute=22.33484392436368
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 13:34:43 BST 2016, end=Tue Jul 05 13:36:43 BST 2016, operations=21.55496688746147, operationsPerMinute=10.777483443730736, mode=normal, start=Tue Jul 05 13:37:10 BST 2016, end=Tue Jul 05 13:41:10 BST 2016, operations=65.84478246970775, operationsPerMinute=16.461195617426938
