spec.jvm2008.report.run.location=BEDSONTC098
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Fri May 27 06:24:21 BST 2016, end=Fri May 27 06:24:22 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Fri May 27 07:41:30 BST 2016, end=Fri May 27 07:43:30 BST 2016, operations=732.7453979575457, operationsPerMinute=366.37269897877286, mode=normal, start=Fri May 27 07:43:31 BST 2016, end=Fri May 27 07:47:31 BST 2016, operations=1403.0049550232238, operationsPerMinute=350.75123875580596
benchmark-name=scimark.lu.small, mod=warmup, start=Fri May 27 07:47:32 BST 2016, end=Fri May 27 07:49:32 BST 2016, operations=580.1155989116838, operationsPerMinute=290.0577994558419, mode=normal, start=Fri May 27 07:49:34 BST 2016, end=Fri May 27 07:53:34 BST 2016, operations=1158.5135721938436, operationsPerMinute=289.6283930484609
benchmark-name=scimark.sor.small, mod=warmup, start=Fri May 27 07:53:35 BST 2016, end=Fri May 27 07:55:35 BST 2016, operations=332.3522823380247, operationsPerMinute=166.17614116901234, mode=normal, start=Fri May 27 07:55:38 BST 2016, end=Fri May 27 07:59:38 BST 2016, operations=665.6344202811487, operationsPerMinute=166.40860507028717
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri May 27 07:59:40 BST 2016, end=Fri May 27 08:01:40 BST 2016, operations=516.0526790350754, operationsPerMinute=258.0263395175377, mode=normal, start=Fri May 27 08:01:42 BST 2016, end=Fri May 27 08:05:42 BST 2016, operations=1030.4273690078037, operationsPerMinute=257.6068422519509
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri May 27 08:05:43 BST 2016, end=Fri May 27 08:07:43 BST 2016, operations=118.75283154555405, operationsPerMinute=59.37641577277702, mode=normal, start=Fri May 27 08:07:49 BST 2016, end=Fri May 27 08:11:49 BST 2016, operations=237.18659823987878, operationsPerMinute=59.296649559969694
benchmark-name=serial, mod=warmup, start=Fri May 27 08:11:55 BST 2016, end=Fri May 27 08:13:55 BST 2016, operations=242.1411057302783, operationsPerMinute=121.07055286513915, mode=normal, start=Fri May 27 08:13:58 BST 2016, end=Fri May 27 08:17:58 BST 2016, operations=482.4797421659613, operationsPerMinute=120.61993554149032
benchmark-name=sunflow, mod=warmup, start=Fri May 27 08:18:01 BST 2016, end=Fri May 27 08:20:01 BST 2016, operations=180.8868046131194, operationsPerMinute=90.4434023065597, mode=normal, start=Fri May 27 08:20:02 BST 2016, end=Fri May 27 08:24:02 BST 2016, operations=362.0131942615909, operationsPerMinute=90.50329856539773
benchmark-name=xml.transform, mod=warmup, start=Fri May 27 08:24:22 BST 2016, end=Fri May 27 08:26:22 BST 2016, operations=527.4877560749035, operationsPerMinute=263.74387803745174, mode=normal, start=Fri May 27 08:26:24 BST 2016, end=Fri May 27 08:30:24 BST 2016, operations=1023.2415619980691, operationsPerMinute=255.81039049951727
benchmark-name=xml.validation, mod=warmup, start=Fri May 27 08:30:25 BST 2016, end=Fri May 27 08:32:25 BST 2016, operations=1037.7178719155074, operationsPerMinute=518.8589359577537, mode=normal, start=Fri May 27 08:32:26 BST 2016, end=Fri May 27 08:36:26 BST 2016, operations=2026.8197333030785, operationsPerMinute=506.7049333257696
##-nursultan-##,BEDSONTC098,n/a,n/a,n/a,check,Fri May 27 06:24:21 BST 2016,Fri May 27 06:24:22 BST 2016,1.0,1276.595744680851,startup.helloworld,Fri May 27 06:24:22 BST 2016,Fri May 27 06:24:22 BST 2016,1.0,213.52313167259786,startup.compiler.compiler,Fri May 27 06:24:22 BST 2016,Fri May 27 06:24:34 BST 2016,1.0,4.766065612836603,startup.compiler.sunflow,Fri May 27 06:24:34 BST 2016,Fri May 27 06:24:38 BST 2016,1.0,18.055973517905507,startup.compress,Fri May 27 06:24:38 BST 2016,Fri May 27 06:24:39 BST 2016,1.0,47.46835443037975,startup.crypto.aes,Fri May 27 06:24:39 BST 2016,Fri May 27 06:24:47 BST 2016,1.0,7.09639266706091,startup.crypto.rsa,Fri May 27 06:24:47 BST 2016,Fri May 27 06:24:55 BST 2016,1.0,8.029978586723768,startup.crypto.signverify,Fri May 27 06:24:55 BST 2016,Fri May 27 06:25:01 BST 2016,1.0,9.135200974421437,startup.mpegaudio,Fri May 27 06:25:01 BST 2016,Fri May 27 06:25:04 BST 2016,1.0,26.89376961004034,startup.scimark.fft,Fri May 27 06:25:04 BST 2016,Fri May 27 06:25:04 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Fri May 27 06:25:04 BST 2016,Fri May 27 06:25:05 BST 2016,1.0,67.49156355455568,startup.scimark.monte_carlo,Fri May 27 06:25:05 BST 2016,Fri May 27 06:25:11 BST 2016,1.0,10.989010989010989,startup.scimark.sor,Fri May 27 06:25:11 BST 2016,Fri May 27 06:25:12 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Fri May 27 06:25:12 BST 2016,Fri May 27 06:25:13 BST 2016,1.0,62.047569803516026,startup.serial,Fri May 27 06:25:13 BST 2016,Fri May 27 06:25:15 BST 2016,1.0,28.708133971291865,startup.sunflow,Fri May 27 06:25:15 BST 2016,Fri May 27 06:25:22 BST 2016,1.0,9.357454772301933,startup.xml.transform,Fri May 27 06:25:22 BST 2016,Fri May 27 06:25:42 BST 2016,1.0,2.9861145672622307,startup.xml.validation,Fri May 27 06:25:42 BST 2016,Fri May 27 06:25:43 BST 2016,1.0,72.63922518159806,compiler.compiler,Fri May 27 06:25:52 BST 2016,Fri May 27 06:27:52 BST 2016,488.1158221302999,244.05791106514994,Fri May 27 06:27:54 BST 2016,Fri May 27 06:31:54 BST 2016,1003.1811761483684,250.7952940370921,compiler.sunflow,Fri May 27 06:31:57 BST 2016,Fri May 27 06:33:57 BST 2016,199.8483982715466,99.9241991357733,Fri May 27 06:34:00 BST 2016,Fri May 27 06:38:00 BST 2016,394.14334430812914,98.53583607703229,compress,Fri May 27 06:38:03 BST 2016,Fri May 27 06:40:03 BST 2016,403.37922861671814,201.68961430835907,Fri May 27 06:40:05 BST 2016,Fri May 27 06:44:05 BST 2016,806.1914017689026,201.54785044222564,crypto.aes,Fri May 27 06:44:07 BST 2016,Fri May 27 06:46:07 BST 2016,140.98064902031513,70.49032451015756,Fri May 27 06:46:12 BST 2016,Fri May 27 06:50:12 BST 2016,296.04206095777755,74.01051523944439,crypto.rsa,Fri May 27 06:50:18 BST 2016,Fri May 27 06:52:18 BST 2016,237.56465536404554,118.78232768202277,Fri May 27 06:52:21 BST 2016,Fri May 27 06:56:21 BST 2016,475.6332331617051,118.90830829042628,crypto.signverify,Fri May 27 06:56:25 BST 2016,Fri May 27 06:58:25 BST 2016,408.9284021314802,204.4642010657401,Fri May 27 06:58:27 BST 2016,Fri May 27 07:02:27 BST 2016,816.6076923076923,204.15192307692308,derby,Fri May 27 07:02:49 BST 2016,Fri May 27 07:04:49 BST 2016,367.03554228026616,183.51777114013308,Fri May 27 07:04:51 BST 2016,Fri May 27 07:08:51 BST 2016,729.5973204546258,182.39933011365645,mpegaudio,Fri May 27 07:08:53 BST 2016,Fri May 27 07:10:53 BST 2016,207.93909967108056,103.96954983554028,Fri May 27 07:10:57 BST 2016,Fri May 27 07:14:57 BST 2016,417.80877333030537,104.45219333257634,scimark.fft.large,Fri May 27 07:15:01 BST 2016,Fri May 27 07:17:01 BST 2016,75.10722452416226,37.55361226208113,Fri May 27 07:17:11 BST 2016,Fri May 27 07:21:11 BST 2016,149.7486371683146,37.43715929207865,scimark.lu.large,Fri May 27 07:21:22 BST 2016,Fri May 27 07:23:22 BST 2016,13.866086508690216,6.933043254345108,Fri May 27 07:24:07 BST 2016,Fri May 27 07:28:07 BST 2016,27.893408968666204,6.973352242166551,scimark.sor.large,Fri May 27 07:28:43 BST 2016,Fri May 27 07:30:43 BST 2016,73.44573606945063,36.722868034725316,Fri May 27 07:30:51 BST 2016,Fri May 27 07:34:51 BST 2016,149.75064035444234,37.437660088610585,scimark.sparse.large,Fri May 27 07:35:01 BST 2016,Fri May 27 07:37:01 BST 2016,42.69795433015419,21.348977165077095,Fri May 27 07:37:18 BST 2016,Fri May 27 07:41:18 BST 2016,86.63095971680139,21.657739929200346,scimark.fft.small,Fri May 27 07:41:30 BST 2016,Fri May 27 07:43:30 BST 2016,732.7453979575457,366.37269897877286,Fri May 27 07:43:31 BST 2016,Fri May 27 07:47:31 BST 2016,1403.0049550232238,350.75123875580596,scimark.lu.small,Fri May 27 07:47:32 BST 2016,Fri May 27 07:49:32 BST 2016,580.1155989116838,290.0577994558419,Fri May 27 07:49:34 BST 2016,Fri May 27 07:53:34 BST 2016,1158.5135721938436,289.6283930484609,scimark.sor.small,Fri May 27 07:53:35 BST 2016,Fri May 27 07:55:35 BST 2016,332.3522823380247,166.17614116901234,Fri May 27 07:55:38 BST 2016,Fri May 27 07:59:38 BST 2016,665.6344202811487,166.40860507028717,scimark.sparse.small,Fri May 27 07:59:40 BST 2016,Fri May 27 08:01:40 BST 2016,516.0526790350754,258.0263395175377,Fri May 27 08:01:42 BST 2016,Fri May 27 08:05:42 BST 2016,1030.4273690078037,257.6068422519509,scimark.monte_carlo,Fri May 27 08:05:43 BST 2016,Fri May 27 08:07:43 BST 2016,118.75283154555405,59.37641577277702,Fri May 27 08:07:49 BST 2016,Fri May 27 08:11:49 BST 2016,237.18659823987878,59.296649559969694,serial,Fri May 27 08:11:55 BST 2016,Fri May 27 08:13:55 BST 2016,242.1411057302783,121.07055286513915,Fri May 27 08:13:58 BST 2016,Fri May 27 08:17:58 BST 2016,482.4797421659613,120.61993554149032,sunflow,Fri May 27 08:18:01 BST 2016,Fri May 27 08:20:01 BST 2016,180.8868046131194,90.4434023065597,Fri May 27 08:20:02 BST 2016,Fri May 27 08:24:02 BST 2016,362.0131942615909,90.50329856539773,xml.transform,Fri May 27 08:24:22 BST 2016,Fri May 27 08:26:22 BST 2016,527.4877560749035,263.74387803745174,Fri May 27 08:26:24 BST 2016,Fri May 27 08:30:24 BST 2016,1023.2415619980691,255.81039049951727,xml.validation,Fri May 27 08:30:25 BST 2016,Fri May 27 08:32:25 BST 2016,1037.7178719155074,518.8589359577537,Fri May 27 08:32:26 BST 2016,Fri May 27 08:36:26 BST 2016,2026.8197333030785,506.7049333257696
