spec.jvm2008.report.run.location=LEAZESTCE007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 16:17:30 BST 2016, end=Sun Jun 26 16:17:30 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 16:17:30 BST 2016, end=Sun Jun 26 16:17:31 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 16:17:31 BST 2016, end=Sun Jun 26 16:17:43 BST 2016, operations=1.0, operationsPerMinute=4.662004662004662
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 16:17:43 BST 2016, end=Sun Jun 26 16:17:47 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 16:17:47 BST 2016, end=Sun Jun 26 16:17:48 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 16:17:48 BST 2016, end=Sun Jun 26 16:17:57 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 16:17:57 BST 2016, end=Sun Jun 26 16:18:04 BST 2016, operations=1.0, operationsPerMinute=7.865757734661773
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 16:18:04 BST 2016, end=Sun Jun 26 16:18:11 BST 2016, operations=1.0, operationsPerMinute=8.943210612609928
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 16:18:11 BST 2016, end=Sun Jun 26 16:18:13 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 16:18:13 BST 2016, end=Sun Jun 26 16:18:14 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 16:18:14 BST 2016, end=Sun Jun 26 16:18:15 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 16:18:15 BST 2016, end=Sun Jun 26 16:18:20 BST 2016, operations=1.0, operationsPerMinute=11.021307861866275
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 16:18:20 BST 2016, end=Sun Jun 26 16:18:22 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 16:18:22 BST 2016, end=Sun Jun 26 16:18:23 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 16:18:23 BST 2016, end=Sun Jun 26 16:18:25 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 16:18:25 BST 2016, end=Sun Jun 26 16:18:31 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 16:18:31 BST 2016, end=Sun Jun 26 16:18:51 BST 2016, operations=1.0, operationsPerMinute=2.9449298125061354
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 16:18:51 BST 2016, end=Sun Jun 26 16:18:52 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 16:19:03 BST 2016, end=Sun Jun 26 16:21:03 BST 2016, operations=486.7718686116518, operationsPerMinute=243.3859343058259, mode=normal, start=Sun Jun 26 16:21:04 BST 2016, end=Sun Jun 26 16:25:04 BST 2016, operations=1019.3494330161134, operationsPerMinute=254.83735825402835
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 16:25:08 BST 2016, end=Sun Jun 26 16:27:08 BST 2016, operations=141.55847602095622, operationsPerMinute=70.77923801047811, mode=normal, start=Sun Jun 26 16:27:14 BST 2016, end=Sun Jun 26 16:31:14 BST 2016, operations=377.5908371356287, operationsPerMinute=94.39770928390718
benchmark-name=compress, mod=warmup, start=Sun Jun 26 16:31:17 BST 2016, end=Sun Jun 26 16:33:17 BST 2016, operations=398.66242377087326, operationsPerMinute=199.33121188543663, mode=normal, start=Sun Jun 26 16:33:19 BST 2016, end=Sun Jun 26 16:37:19 BST 2016, operations=797.7459814984643, operationsPerMinute=199.43649537461607
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 16:37:21 BST 2016, end=Sun Jun 26 16:39:21 BST 2016, operations=139.3299564465245, operationsPerMinute=69.66497822326225, mode=normal, start=Sun Jun 26 16:39:26 BST 2016, end=Sun Jun 26 16:43:26 BST 2016, operations=293.101579436358, operationsPerMinute=73.2753948590895
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 16:43:31 BST 2016, end=Sun Jun 26 16:45:31 BST 2016, operations=236.56135811680275, operationsPerMinute=118.28067905840138, mode=normal, start=Sun Jun 26 16:45:34 BST 2016, end=Sun Jun 26 16:49:34 BST 2016, operations=475.14648220617903, operationsPerMinute=118.78662055154476
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 16:49:37 BST 2016, end=Sun Jun 26 16:51:37 BST 2016, operations=408.65789896555754, operationsPerMinute=204.32894948277877, mode=normal, start=Sun Jun 26 16:51:39 BST 2016, end=Sun Jun 26 16:55:39 BST 2016, operations=815.1672991749249, operationsPerMinute=203.79182479373122
benchmark-name=derby, mod=warmup, start=Sun Jun 26 16:56:02 BST 2016, end=Sun Jun 26 16:58:02 BST 2016, operations=354.2493339320461, operationsPerMinute=177.12466696602306, mode=normal, start=Sun Jun 26 16:58:04 BST 2016, end=Sun Jun 26 17:02:04 BST 2016, operations=712.8051216385768, operationsPerMinute=178.2012804096442
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 17:02:06 BST 2016, end=Sun Jun 26 17:04:06 BST 2016, operations=207.18163001517001, operationsPerMinute=103.59081500758501, mode=normal, start=Sun Jun 26 17:04:10 BST 2016, end=Sun Jun 26 17:08:10 BST 2016, operations=416.27266671507016, operationsPerMinute=104.06816667876754
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 17:08:14 BST 2016, end=Sun Jun 26 17:10:14 BST 2016, operations=77.33612832112695, operationsPerMinute=38.668064160563475, mode=normal, start=Sun Jun 26 17:10:22 BST 2016, end=Sun Jun 26 17:14:22 BST 2016, operations=155.51588701437262, operationsPerMinute=38.878971753593156
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 17:14:32 BST 2016, end=Sun Jun 26 17:16:32 BST 2016, operations=13.905480021737905, operationsPerMinute=6.952740010868952, mode=normal, start=Sun Jun 26 17:17:16 BST 2016, end=Sun Jun 26 17:21:16 BST 2016, operations=27.948459826995155, operationsPerMinute=6.987114956748789
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 17:21:58 BST 2016, end=Sun Jun 26 17:23:58 BST 2016, operations=74.66103069400866, operationsPerMinute=37.33051534700433, mode=normal, start=Sun Jun 26 17:24:07 BST 2016, end=Sun Jun 26 17:28:07 BST 2016, operations=149.07997588721278, operationsPerMinute=37.269993971803196
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 17:28:18 BST 2016, end=Sun Jun 26 17:30:18 BST 2016, operations=43.137008540512035, operationsPerMinute=21.568504270256017, mode=normal, start=Sun Jun 26 17:30:28 BST 2016, end=Sun Jun 26 17:34:28 BST 2016, operations=86.5143700258907, operationsPerMinute=21.628592506472675
