spec.jvm2008.report.run.location=BARN-07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 16:52:30 BST 2016, end=Fri Jul 01 16:52:30 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 16:52:30 BST 2016, end=Fri Jul 01 16:52:30 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 16:52:30 BST 2016, end=Fri Jul 01 16:52:44 BST 2016, operations=1.0, operationsPerMinute=4.519774011299435
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 16:52:44 BST 2016, end=Fri Jul 01 16:52:47 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 16:52:47 BST 2016, end=Fri Jul 01 16:52:48 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 16:52:48 BST 2016, end=Fri Jul 01 16:52:57 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 16:52:57 BST 2016, end=Fri Jul 01 16:53:04 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 16:53:04 BST 2016, end=Fri Jul 01 16:53:11 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 16:53:11 BST 2016, end=Fri Jul 01 16:53:13 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 16:53:13 BST 2016, end=Fri Jul 01 16:53:14 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 16:53:14 BST 2016, end=Fri Jul 01 16:53:14 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 16:53:14 BST 2016, end=Fri Jul 01 16:53:20 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 16:53:20 BST 2016, end=Fri Jul 01 16:53:21 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 16:53:21 BST 2016, end=Fri Jul 01 16:53:22 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 16:53:22 BST 2016, end=Fri Jul 01 16:53:24 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 16:53:24 BST 2016, end=Fri Jul 01 16:53:31 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 16:53:31 BST 2016, end=Fri Jul 01 16:53:51 BST 2016, operations=1.0, operationsPerMinute=2.967652586803838
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 16:53:51 BST 2016, end=Fri Jul 01 16:53:52 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 16:54:03 BST 2016, end=Fri Jul 01 16:56:03 BST 2016, operations=491.25740597784596, operationsPerMinute=245.62870298892298, mode=normal, start=Fri Jul 01 16:56:04 BST 2016, end=Fri Jul 01 17:00:04 BST 2016, operations=1001.3006783821263, operationsPerMinute=250.32516959553158
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 17:00:08 BST 2016, end=Fri Jul 01 17:02:08 BST 2016, operations=199.0559546170452, operationsPerMinute=99.5279773085226, mode=normal, start=Fri Jul 01 17:02:10 BST 2016, end=Fri Jul 01 17:06:10 BST 2016, operations=394.72856647808896, operationsPerMinute=98.68214161952224
benchmark-name=compress, mod=warmup, start=Fri Jul 01 17:06:14 BST 2016, end=Fri Jul 01 17:08:14 BST 2016, operations=399.86856975401275, operationsPerMinute=199.93428487700638, mode=normal, start=Fri Jul 01 17:08:16 BST 2016, end=Fri Jul 01 17:12:16 BST 2016, operations=799.4780446674185, operationsPerMinute=199.86951116685464
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 17:12:18 BST 2016, end=Fri Jul 01 17:14:18 BST 2016, operations=138.9400257821282, operationsPerMinute=69.4700128910641, mode=normal, start=Fri Jul 01 17:14:22 BST 2016, end=Fri Jul 01 17:18:22 BST 2016, operations=294.10744456978324, operationsPerMinute=73.52686114244581
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 17:18:27 BST 2016, end=Fri Jul 01 17:20:27 BST 2016, operations=234.1190829331783, operationsPerMinute=117.05954146658915, mode=normal, start=Fri Jul 01 17:20:30 BST 2016, end=Fri Jul 01 17:24:30 BST 2016, operations=467.56464795995043, operationsPerMinute=116.89116198998761
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 17:24:34 BST 2016, end=Fri Jul 01 17:26:34 BST 2016, operations=402.682905982906, operationsPerMinute=201.341452991453, mode=normal, start=Fri Jul 01 17:26:36 BST 2016, end=Fri Jul 01 17:30:36 BST 2016, operations=807.0553283565941, operationsPerMinute=201.76383208914854
benchmark-name=derby, mod=warmup, start=Fri Jul 01 17:30:59 BST 2016, end=Fri Jul 01 17:32:59 BST 2016, operations=358.80738990214866, operationsPerMinute=179.40369495107433, mode=normal, start=Fri Jul 01 17:33:01 BST 2016, end=Fri Jul 01 17:37:01 BST 2016, operations=714.4509237731295, operationsPerMinute=178.61273094328237
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 17:37:04 BST 2016, end=Fri Jul 01 17:39:04 BST 2016, operations=206.73482164762123, operationsPerMinute=103.36741082381062, mode=normal, start=Fri Jul 01 17:39:07 BST 2016, end=Fri Jul 01 17:43:07 BST 2016, operations=415.9161081240462, operationsPerMinute=103.97902703101155
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 17:43:11 BST 2016, end=Fri Jul 01 17:45:11 BST 2016, operations=79.06768858929583, operationsPerMinute=39.53384429464791, mode=normal, start=Fri Jul 01 17:45:18 BST 2016, end=Fri Jul 01 17:49:18 BST 2016, operations=148.9825275385571, operationsPerMinute=37.24563188463927
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 17:49:27 BST 2016, end=Fri Jul 01 17:51:27 BST 2016, operations=13.79441592425919, operationsPerMinute=6.897207962129595, mode=normal, start=Fri Jul 01 17:52:12 BST 2016, end=Fri Jul 01 17:56:12 BST 2016, operations=27.857452598617527, operationsPerMinute=6.964363149654382
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 17:56:55 BST 2016, end=Fri Jul 01 17:58:55 BST 2016, operations=74.54799617816568, operationsPerMinute=37.27399808908284, mode=normal, start=Fri Jul 01 17:59:05 BST 2016, end=Fri Jul 01 18:03:05 BST 2016, operations=147.63072081331154, operationsPerMinute=36.907680203327885
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 18:03:16 BST 2016, end=Fri Jul 01 18:05:16 BST 2016, operations=42.88806934631792, operationsPerMinute=21.44403467315896, mode=normal, start=Fri Jul 01 18:05:27 BST 2016, end=Fri Jul 01 18:09:27 BST 2016, operations=86.21940313922201, operationsPerMinute=21.554850784805502
