spec.jvm2008.report.run.location=HOPE23
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 00:59:44 BST 2016, end=Fri Jun 24 00:59:44 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 00:59:44 BST 2016, end=Fri Jun 24 00:59:44 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 00:59:44 BST 2016, end=Fri Jun 24 01:00:06 BST 2016, operations=1.0, operationsPerMinute=2.787068004459309
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 01:00:06 BST 2016, end=Fri Jun 24 01:00:10 BST 2016, operations=1.0, operationsPerMinute=12.81777397991882
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 01:00:10 BST 2016, end=Fri Jun 24 01:00:12 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 01:00:12 BST 2016, end=Fri Jun 24 01:00:22 BST 2016, operations=1.0, operationsPerMinute=5.99101347978033
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 01:00:22 BST 2016, end=Fri Jun 24 01:00:30 BST 2016, operations=1.0, operationsPerMinute=7.04390702042733
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 01:00:30 BST 2016, end=Fri Jun 24 01:00:38 BST 2016, operations=1.0, operationsPerMinute=8.342602892102336
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 01:00:38 BST 2016, end=Fri Jun 24 01:00:41 BST 2016, operations=1.0, operationsPerMinute=19.42376173518938
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 01:00:41 BST 2016, end=Fri Jun 24 01:00:42 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 01:00:42 BST 2016, end=Fri Jun 24 01:00:43 BST 2016, operations=1.0, operationsPerMinute=49.3421052631579
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 01:00:43 BST 2016, end=Fri Jun 24 01:00:50 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 01:00:50 BST 2016, end=Fri Jun 24 01:00:51 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 01:00:51 BST 2016, end=Fri Jun 24 01:00:53 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 01:00:53 BST 2016, end=Fri Jun 24 01:00:56 BST 2016, operations=1.0, operationsPerMinute=19.723865877712033
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 01:00:56 BST 2016, end=Fri Jun 24 01:01:03 BST 2016, operations=1.0, operationsPerMinute=8.509431286342362
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 01:01:03 BST 2016, end=Fri Jun 24 01:01:31 BST 2016, operations=1.0, operationsPerMinute=2.1307574842856636
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 01:01:31 BST 2016, end=Fri Jun 24 01:01:32 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 01:01:48 BST 2016, end=Fri Jun 24 01:03:48 BST 2016, operations=351.0568051716675, operationsPerMinute=175.52840258583376, mode=normal, start=Fri Jun 24 01:03:50 BST 2016, end=Fri Jun 24 01:07:50 BST 2016, operations=727.8563440708903, operationsPerMinute=181.96408601772256
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 01:07:56 BST 2016, end=Fri Jun 24 01:09:56 BST 2016, operations=142.51213199659023, operationsPerMinute=71.25606599829511, mode=normal, start=Fri Jun 24 01:10:00 BST 2016, end=Fri Jun 24 01:14:00 BST 2016, operations=266.96291147885665, operationsPerMinute=66.74072786971416
benchmark-name=compress, mod=warmup, start=Fri Jun 24 01:14:06 BST 2016, end=Fri Jun 24 01:16:06 BST 2016, operations=267.9116462995478, operationsPerMinute=133.9558231497739, mode=normal, start=Fri Jun 24 01:16:08 BST 2016, end=Fri Jun 24 01:20:08 BST 2016, operations=541.8564118564863, operationsPerMinute=135.46410296412157
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 01:20:11 BST 2016, end=Fri Jun 24 01:22:11 BST 2016, operations=81.9895542060389, operationsPerMinute=40.99477710301945, mode=normal, start=Fri Jun 24 01:22:19 BST 2016, end=Fri Jun 24 01:26:19 BST 2016, operations=169.779912664641, operationsPerMinute=42.44497816616025
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 01:26:25 BST 2016, end=Fri Jun 24 01:28:25 BST 2016, operations=143.85712767297045, operationsPerMinute=71.92856383648522, mode=normal, start=Fri Jun 24 01:28:31 BST 2016, end=Fri Jun 24 01:32:31 BST 2016, operations=289.01082569319556, operationsPerMinute=72.25270642329889
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 01:32:37 BST 2016, end=Fri Jun 24 01:34:37 BST 2016, operations=251.55583417740928, operationsPerMinute=125.77791708870464, mode=normal, start=Fri Jun 24 01:34:39 BST 2016, end=Fri Jun 24 01:38:39 BST 2016, operations=494.0548619606476, operationsPerMinute=123.5137154901619
benchmark-name=derby, mod=warmup, start=Fri Jun 24 01:40:11 BST 2016, end=Fri Jun 24 01:42:11 BST 2016, operations=202.94339439665137, operationsPerMinute=101.47169719832569, mode=normal, start=Fri Jun 24 01:42:14 BST 2016, end=Fri Jun 24 01:46:14 BST 2016, operations=409.5170775017366, operationsPerMinute=102.37926937543415
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 01:46:17 BST 2016, end=Fri Jun 24 01:48:17 BST 2016, operations=133.5422319432206, operationsPerMinute=66.7711159716103, mode=normal, start=Fri Jun 24 01:48:23 BST 2016, end=Fri Jun 24 01:52:23 BST 2016, operations=267.72195419735726, operationsPerMinute=66.93048854933932
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 01:52:29 BST 2016, end=Fri Jun 24 01:54:29 BST 2016, operations=55.39570957030375, operationsPerMinute=27.697854785151875, mode=normal, start=Fri Jun 24 01:54:37 BST 2016, end=Fri Jun 24 01:58:37 BST 2016, operations=114.63221205483177, operationsPerMinute=28.658053013707942
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 01:58:49 BST 2016, end=Fri Jun 24 02:00:49 BST 2016, operations=11.481651282141161, operationsPerMinute=5.740825641070581, mode=normal, start=Fri Jun 24 02:01:36 BST 2016, end=Fri Jun 24 02:05:36 BST 2016, operations=23.023641853916676, operationsPerMinute=5.755910463479169
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 02:06:16 BST 2016, end=Fri Jun 24 02:08:16 BST 2016, operations=55.04898551247604, operationsPerMinute=27.52449275623802, mode=normal, start=Fri Jun 24 02:08:27 BST 2016, end=Fri Jun 24 02:12:27 BST 2016, operations=110.01556040514149, operationsPerMinute=27.50389010128537
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 02:12:37 BST 2016, end=Fri Jun 24 02:14:37 BST 2016, operations=37.23615568566166, operationsPerMinute=18.61807784283083, mode=normal, start=Fri Jun 24 02:14:56 BST 2016, end=Fri Jun 24 02:18:56 BST 2016, operations=74.49058753271993, operationsPerMinute=18.622646883179982
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 02:19:11 BST 2016, end=Fri Jun 24 02:21:11 BST 2016, operations=512.0121122162731, operationsPerMinute=256.00605610813653, mode=normal, start=Fri Jun 24 02:21:12 BST 2016, end=Fri Jun 24 02:25:12 BST 2016, operations=1040.5265022881297, operationsPerMinute=260.1316255720324
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 02:25:13 BST 2016, end=Fri Jun 24 02:27:13 BST 2016, operations=353.7486310165481, operationsPerMinute=176.87431550827404, mode=normal, start=Fri Jun 24 02:27:15 BST 2016, end=Fri Jun 24 02:31:15 BST 2016, operations=706.3404298320653, operationsPerMinute=176.58510745801632
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 02:31:17 BST 2016, end=Fri Jun 24 02:33:17 BST 2016, operations=242.6717958465103, operationsPerMinute=121.33589792325515, mode=normal, start=Fri Jun 24 02:33:21 BST 2016, end=Fri Jun 24 02:37:21 BST 2016, operations=486.67290897801104, operationsPerMinute=121.66822724450276
