spec.jvm2008.report.run.location=GREY-01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 08:34:30 BST 2016, end=Mon Jul 04 08:34:30 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 08:34:30 BST 2016, end=Mon Jul 04 08:34:30 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 08:34:30 BST 2016, end=Mon Jul 04 08:34:43 BST 2016, operations=1.0, operationsPerMinute=4.55684666210982
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 08:34:43 BST 2016, end=Mon Jul 04 08:34:47 BST 2016, operations=1.0, operationsPerMinute=17.647058823529413
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 08:34:47 BST 2016, end=Mon Jul 04 08:34:48 BST 2016, operations=1.0, operationsPerMinute=45.76659038901602
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 08:34:48 BST 2016, end=Mon Jul 04 08:34:57 BST 2016, operations=1.0, operationsPerMinute=6.980802792321117
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 08:34:57 BST 2016, end=Mon Jul 04 08:35:04 BST 2016, operations=1.0, operationsPerMinute=7.848266841072596
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 08:35:04 BST 2016, end=Mon Jul 04 08:35:11 BST 2016, operations=1.0, operationsPerMinute=8.80152559777028
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 08:35:11 BST 2016, end=Mon Jul 04 08:35:13 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 08:35:13 BST 2016, end=Mon Jul 04 08:35:14 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 08:35:14 BST 2016, end=Mon Jul 04 08:35:15 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 08:35:15 BST 2016, end=Mon Jul 04 08:35:21 BST 2016, operations=1.0, operationsPerMinute=10.480349344978166
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 08:35:21 BST 2016, end=Mon Jul 04 08:35:22 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 08:35:22 BST 2016, end=Mon Jul 04 08:35:23 BST 2016, operations=1.0, operationsPerMinute=58.25242718446602
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 08:35:23 BST 2016, end=Mon Jul 04 08:35:25 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 08:35:25 BST 2016, end=Mon Jul 04 08:35:32 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 08:35:32 BST 2016, end=Mon Jul 04 08:35:53 BST 2016, operations=1.0, operationsPerMinute=2.8575510787255323
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 08:35:53 BST 2016, end=Mon Jul 04 08:35:54 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 08:36:05 BST 2016, end=Mon Jul 04 08:38:05 BST 2016, operations=437.6850447508899, operationsPerMinute=218.84252237544496, mode=normal, start=Mon Jul 04 08:38:06 BST 2016, end=Mon Jul 04 08:42:06 BST 2016, operations=894.1264199102235, operationsPerMinute=223.53160497755587
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 08:42:11 BST 2016, end=Mon Jul 04 08:44:11 BST 2016, operations=167.55150136449208, operationsPerMinute=83.77575068224604, mode=normal, start=Mon Jul 04 08:44:15 BST 2016, end=Mon Jul 04 08:48:15 BST 2016, operations=340.70609220029144, operationsPerMinute=85.17652305007286
benchmark-name=compress, mod=warmup, start=Mon Jul 04 08:48:19 BST 2016, end=Mon Jul 04 08:50:19 BST 2016, operations=299.4820100312024, operationsPerMinute=149.7410050156012, mode=normal, start=Mon Jul 04 08:50:21 BST 2016, end=Mon Jul 04 08:54:21 BST 2016, operations=566.1550219863716, operationsPerMinute=141.5387554965929
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 08:55:05 BST 2016, end=Mon Jul 04 08:57:05 BST 2016, operations=105.652075192396, operationsPerMinute=52.826037596198, mode=normal, start=Mon Jul 04 08:57:10 BST 2016, end=Mon Jul 04 09:01:10 BST 2016, operations=222.72431131547853, operationsPerMinute=55.68107782886963
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 09:01:18 BST 2016, end=Mon Jul 04 09:03:18 BST 2016, operations=176.50979562865626, operationsPerMinute=88.25489781432813, mode=normal, start=Mon Jul 04 09:03:22 BST 2016, end=Mon Jul 04 09:07:22 BST 2016, operations=299.13456852861475, operationsPerMinute=74.78364213215369
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 09:07:28 BST 2016, end=Mon Jul 04 09:09:28 BST 2016, operations=266.7716272751464, operationsPerMinute=133.3858136375732, mode=normal, start=Mon Jul 04 09:09:30 BST 2016, end=Mon Jul 04 09:13:30 BST 2016, operations=612.0658233023851, operationsPerMinute=153.01645582559627
benchmark-name=derby, mod=warmup, start=Mon Jul 04 09:13:54 BST 2016, end=Mon Jul 04 09:15:54 BST 2016, operations=276.668803372769, operationsPerMinute=138.3344016863845, mode=normal, start=Mon Jul 04 09:15:57 BST 2016, end=Mon Jul 04 09:19:57 BST 2016, operations=555.133988353401, operationsPerMinute=138.78349708835026
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 09:20:00 BST 2016, end=Mon Jul 04 09:22:00 BST 2016, operations=153.61014738415557, operationsPerMinute=76.80507369207778, mode=normal, start=Mon Jul 04 09:22:15 BST 2016, end=Mon Jul 04 09:26:15 BST 2016, operations=194.72479605619574, operationsPerMinute=48.681199014048936
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 09:26:34 BST 2016, end=Mon Jul 04 09:28:34 BST 2016, operations=74.1002240980582, operationsPerMinute=37.0501120490291, mode=normal, start=Mon Jul 04 09:28:43 BST 2016, end=Mon Jul 04 09:32:43 BST 2016, operations=97.01757474325508, operationsPerMinute=24.25439368581377
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 09:32:55 BST 2016, end=Mon Jul 04 09:34:55 BST 2016, operations=13.990595133661252, operationsPerMinute=6.995297566830626, mode=normal, start=Mon Jul 04 09:36:01 BST 2016, end=Mon Jul 04 09:40:01 BST 2016, operations=23.645909749744362, operationsPerMinute=5.9114774374360906
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 09:42:14 BST 2016, end=Mon Jul 04 09:44:14 BST 2016, operations=56.04253078172754, operationsPerMinute=28.02126539086377, mode=normal, start=Mon Jul 04 09:44:35 BST 2016, end=Mon Jul 04 09:48:35 BST 2016, operations=98.81133929551453, operationsPerMinute=24.702834823878632
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 09:50:37 BST 2016, end=Mon Jul 04 09:52:37 BST 2016, operations=26.789676944238046, operationsPerMinute=13.394838472119023, mode=normal, start=Mon Jul 04 09:52:49 BST 2016, end=Mon Jul 04 09:56:49 BST 2016, operations=78.45331042380681, operationsPerMinute=19.613327605951703
