spec.jvm2008.report.run.location=GREY-01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 22:48:41 BST 2016, end=Tue Jul 05 22:48:41 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 22:48:41 BST 2016, end=Tue Jul 05 22:48:41 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 22:48:41 BST 2016, end=Tue Jul 05 22:48:55 BST 2016, operations=1.0, operationsPerMinute=4.519774011299435
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 22:48:55 BST 2016, end=Tue Jul 05 22:48:58 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 22:48:58 BST 2016, end=Tue Jul 05 22:48:59 BST 2016, operations=1.0, operationsPerMinute=45.80152671755725
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 22:48:59 BST 2016, end=Tue Jul 05 22:49:08 BST 2016, operations=1.0, operationsPerMinute=6.9799906933457425
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 22:49:08 BST 2016, end=Tue Jul 05 22:49:16 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 22:49:16 BST 2016, end=Tue Jul 05 22:49:22 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 22:49:22 BST 2016, end=Tue Jul 05 22:49:25 BST 2016, operations=1.0, operationsPerMinute=25.9852750108272
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 22:49:25 BST 2016, end=Tue Jul 05 22:49:25 BST 2016, operations=1.0, operationsPerMinute=78.53403141361257
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 22:49:25 BST 2016, end=Tue Jul 05 22:49:26 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 22:49:26 BST 2016, end=Tue Jul 05 22:49:32 BST 2016, operations=1.0, operationsPerMinute=10.451140916216687
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 22:49:32 BST 2016, end=Tue Jul 05 22:49:33 BST 2016, operations=1.0, operationsPerMinute=40.92769440654843
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 22:49:33 BST 2016, end=Tue Jul 05 22:49:34 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 22:49:34 BST 2016, end=Tue Jul 05 22:49:37 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 22:49:37 BST 2016, end=Tue Jul 05 22:49:43 BST 2016, operations=1.0, operationsPerMinute=9.070294784580499
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 22:49:43 BST 2016, end=Tue Jul 05 22:50:04 BST 2016, operations=1.0, operationsPerMinute=2.8595939376608523
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 22:50:04 BST 2016, end=Tue Jul 05 22:50:05 BST 2016, operations=1.0, operationsPerMinute=72.63922518159806
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 22:50:16 BST 2016, end=Tue Jul 05 22:52:16 BST 2016, operations=443.1252249959047, operationsPerMinute=221.56261249795236, mode=normal, start=Tue Jul 05 22:52:17 BST 2016, end=Tue Jul 05 22:56:17 BST 2016, operations=890.4602737901193, operationsPerMinute=222.61506844752984
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 22:56:21 BST 2016, end=Tue Jul 05 22:58:21 BST 2016, operations=176.48840241688356, operationsPerMinute=88.24420120844178, mode=normal, start=Tue Jul 05 22:58:25 BST 2016, end=Tue Jul 05 23:02:25 BST 2016, operations=351.6992678171842, operationsPerMinute=87.92481695429605
benchmark-name=compress, mod=warmup, start=Tue Jul 05 23:02:28 BST 2016, end=Tue Jul 05 23:04:28 BST 2016, operations=299.00411012754955, operationsPerMinute=149.50205506377478, mode=normal, start=Tue Jul 05 23:04:45 BST 2016, end=Tue Jul 05 23:08:45 BST 2016, operations=500.5370224091103, operationsPerMinute=125.13425560227758
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 23:09:12 BST 2016, end=Tue Jul 05 23:11:12 BST 2016, operations=105.51281651627372, operationsPerMinute=52.75640825813686, mode=normal, start=Tue Jul 05 23:11:19 BST 2016, end=Tue Jul 05 23:15:19 BST 2016, operations=223.01859666262243, operationsPerMinute=55.75464916565561
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 23:15:26 BST 2016, end=Tue Jul 05 23:17:26 BST 2016, operations=177.16191200655157, operationsPerMinute=88.58095600327579, mode=normal, start=Tue Jul 05 23:17:30 BST 2016, end=Tue Jul 05 23:21:30 BST 2016, operations=293.4853197315506, operationsPerMinute=73.37132993288765
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 23:22:25 BST 2016, end=Tue Jul 05 23:24:25 BST 2016, operations=306.72744706312454, operationsPerMinute=153.36372353156227, mode=normal, start=Tue Jul 05 23:24:30 BST 2016, end=Tue Jul 05 23:28:30 BST 2016, operations=613.8877319182618, operationsPerMinute=153.47193297956545
benchmark-name=derby, mod=warmup, start=Tue Jul 05 23:28:53 BST 2016, end=Tue Jul 05 23:30:53 BST 2016, operations=277.9928563511622, operationsPerMinute=138.9964281755811, mode=normal, start=Tue Jul 05 23:30:55 BST 2016, end=Tue Jul 05 23:34:55 BST 2016, operations=560.1381041657232, operationsPerMinute=140.0345260414308
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 23:34:58 BST 2016, end=Tue Jul 05 23:36:58 BST 2016, operations=156.5777051592873, operationsPerMinute=78.28885257964365, mode=normal, start=Tue Jul 05 23:37:03 BST 2016, end=Tue Jul 05 23:41:03 BST 2016, operations=220.31913498709662, operationsPerMinute=55.079783746774154
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 23:41:07 BST 2016, end=Tue Jul 05 23:43:07 BST 2016, operations=71.90026562817908, operationsPerMinute=35.95013281408954, mode=normal, start=Tue Jul 05 23:43:25 BST 2016, end=Tue Jul 05 23:47:25 BST 2016, operations=141.11536069765228, operationsPerMinute=35.27884017441307
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 23:48:24 BST 2016, end=Tue Jul 05 23:50:24 BST 2016, operations=13.69485414368242, operationsPerMinute=6.84742707184121, mode=normal, start=Tue Jul 05 23:52:05 BST 2016, end=Tue Jul 05 23:56:05 BST 2016, operations=28.248171843334546, operationsPerMinute=7.062042960833637
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 23:57:04 BST 2016, end=Tue Jul 05 23:59:04 BST 2016, operations=57.21712912608727, operationsPerMinute=28.608564563043636, mode=normal, start=Tue Jul 05 23:59:16 BST 2016, end=Wed Jul 06 00:03:16 BST 2016, operations=114.15883908534036, operationsPerMinute=28.53970977133509
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jul 06 00:03:28 BST 2016, end=Wed Jul 06 00:05:28 BST 2016, operations=42.51739152891266, operationsPerMinute=21.25869576445633, mode=normal, start=Wed Jul 06 00:05:43 BST 2016, end=Wed Jul 06 00:09:43 BST 2016, operations=84.71876536771202, operationsPerMinute=21.179691341928006
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jul 06 00:10:04 BST 2016, end=Wed Jul 06 00:12:04 BST 2016, operations=559.2908466537986, operationsPerMinute=279.6454233268993, mode=normal, start=Wed Jul 06 00:12:08 BST 2016, end=Wed Jul 06 00:16:08 BST 2016, operations=907.6768232940668, operationsPerMinute=226.9192058235167
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jul 06 00:16:10 BST 2016, end=Wed Jul 06 00:18:10 BST 2016, operations=107.73538711054833, operationsPerMinute=53.867693555274165, mode=normal, start=Wed Jul 06 00:18:12 BST 2016, end=Wed Jul 06 00:22:12 BST 2016, operations=866.7360892396586, operationsPerMinute=216.68402230991464
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jul 06 00:22:17 BST 2016, end=Wed Jul 06 00:24:17 BST 2016, operations=155.6739515884125, operationsPerMinute=77.83697579420625, mode=normal, start=Wed Jul 06 00:25:07 BST 2016, end=Wed Jul 06 00:29:07 BST 2016, operations=478.2004626607505, operationsPerMinute=119.55011566518762
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jul 06 00:29:29 BST 2016, end=Wed Jul 06 00:31:29 BST 2016, operations=383.5210848124956, operationsPerMinute=191.7605424062478, mode=normal, start=Wed Jul 06 00:31:31 BST 2016, end=Wed Jul 06 00:35:31 BST 2016, operations=552.8705910574216, operationsPerMinute=138.2176477643554
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jul 06 00:36:20 BST 2016, end=Wed Jul 06 00:38:20 BST 2016, operations=90.09409511505618, operationsPerMinute=45.04704755752809, mode=normal, start=Wed Jul 06 00:38:28 BST 2016, end=Wed Jul 06 00:42:28 BST 2016, operations=94.13173220806024, operationsPerMinute=23.53293305201506
benchmark-name=serial, mod=warmup, start=Wed Jul 06 00:44:44 BST 2016, end=Wed Jul 06 00:46:44 BST 2016, operations=181.94115382242828, operationsPerMinute=90.97057691121414, mode=normal, start=Wed Jul 06 00:46:52 BST 2016, end=Wed Jul 06 00:50:52 BST 2016, operations=358.5320359086346, operationsPerMinute=89.63300897715865
benchmark-name=sunflow, mod=warmup, start=Wed Jul 06 00:50:56 BST 2016, end=Wed Jul 06 00:52:56 BST 2016, operations=138.94130584027843, operationsPerMinute=69.47065292013922, mode=normal, start=Wed Jul 06 00:52:57 BST 2016, end=Wed Jul 06 00:56:57 BST 2016, operations=215.14156787251676, operationsPerMinute=53.78539196812919
benchmark-name=xml.transform, mod=warmup, start=Wed Jul 06 00:57:49 BST 2016, end=Wed Jul 06 00:59:49 BST 2016, operations=402.7429329369568, operationsPerMinute=201.3714664684784, mode=normal, start=Wed Jul 06 00:59:51 BST 2016, end=Wed Jul 06 01:03:51 BST 2016, operations=801.130739576111, operationsPerMinute=200.28268489402774
benchmark-name=xml.validation, mod=warmup, start=Wed Jul 06 01:03:53 BST 2016, end=Wed Jul 06 01:05:53 BST 2016, operations=820.758402022652, operationsPerMinute=410.379201011326, mode=normal, start=Wed Jul 06 01:05:54 BST 2016, end=Wed Jul 06 01:09:54 BST 2016, operations=1599.5437216332143, operationsPerMinute=399.8859304083036
