spec.jvm2008.report.run.location=BEDSONTC043
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:18:49 BST 2016, end=Thu May 26 14:18:49 BST 2016, operations=1.0, operationsPerMinute=1363.6363636363637
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:18:49 BST 2016, end=Thu May 26 14:18:49 BST 2016, operations=1.0, operationsPerMinute=285.7142857142857
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:18:49 BST 2016, end=Thu May 26 14:19:02 BST 2016, operations=1.0, operationsPerMinute=4.533091568449683
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:02 BST 2016, end=Thu May 26 14:19:05 BST 2016, operations=1.0, operationsPerMinute=17.396346767178894
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:05 BST 2016, end=Thu May 26 14:19:07 BST 2016, operations=1.0, operationsPerMinute=46.8384074941452
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:07 BST 2016, end=Thu May 26 14:19:15 BST 2016, operations=1.0, operationsPerMinute=7.168458781362007
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:15 BST 2016, end=Thu May 26 14:19:23 BST 2016, operations=1.0, operationsPerMinute=8.054772452678211
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:23 BST 2016, end=Thu May 26 14:19:29 BST 2016, operations=1.0, operationsPerMinute=9.04431715405487
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:29 BST 2016, end=Thu May 26 14:19:32 BST 2016, operations=1.0, operationsPerMinute=25.762129669386002
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:32 BST 2016, end=Thu May 26 14:19:32 BST 2016, operations=1.0, operationsPerMinute=79.57559681697613
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:32 BST 2016, end=Thu May 26 14:19:33 BST 2016, operations=1.0, operationsPerMinute=65.0759219088937
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:33 BST 2016, end=Thu May 26 14:19:39 BST 2016, operations=1.0, operationsPerMinute=10.565240359218173
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:39 BST 2016, end=Thu May 26 14:19:40 BST 2016, operations=1.0, operationsPerMinute=40.67796610169491
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:40 BST 2016, end=Thu May 26 14:19:41 BST 2016, operations=1.0, operationsPerMinute=59.28853754940712
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:41 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=27.359781121751027
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:19:50 BST 2016, operations=1.0, operationsPerMinute=9.586195877935772
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:19:50 BST 2016, end=Thu May 26 14:20:10 BST 2016, operations=1.0, operationsPerMinute=2.917578409919767
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:10 BST 2016, end=Thu May 26 14:20:11 BST 2016, operations=1.0, operationsPerMinute=71.3436385255648
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:21 BST 2016, end=Thu May 26 14:22:21 BST 2016, operations=477.3735831137594, operationsPerMinute=238.6867915568797, mode=normal, start=Thu May 26 14:22:23 BST 2016, end=Thu May 26 14:26:23 BST 2016, operations=991.5857906760889, operationsPerMinute=247.89644766902222
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:26 BST 2016, end=Thu May 26 14:28:26 BST 2016, operations=189.40730971400257, operationsPerMinute=94.70365485700128, mode=normal, start=Thu May 26 14:28:30 BST 2016, end=Thu May 26 14:32:30 BST 2016, operations=371.80966757321664, operationsPerMinute=92.95241689330416
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:34 BST 2016, end=Thu May 26 14:34:34 BST 2016, operations=389.02260539916824, operationsPerMinute=194.51130269958412, mode=normal, start=Thu May 26 14:34:36 BST 2016, end=Thu May 26 14:38:36 BST 2016, operations=779.2151903706705, operationsPerMinute=194.80379759266762
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:38 BST 2016, end=Thu May 26 14:40:38 BST 2016, operations=137.06396942284073, operationsPerMinute=68.53198471142036, mode=normal, start=Thu May 26 14:40:44 BST 2016, end=Thu May 26 14:44:44 BST 2016, operations=290.224736061938, operationsPerMinute=72.5561840154845
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:44:49 BST 2016, end=Thu May 26 14:46:49 BST 2016, operations=232.18280645790105, operationsPerMinute=116.09140322895053, mode=normal, start=Thu May 26 14:46:52 BST 2016, end=Thu May 26 14:50:52 BST 2016, operations=463.86649043722684, operationsPerMinute=115.96662260930671
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:50:55 BST 2016, end=Thu May 26 14:52:55 BST 2016, operations=403.84031223922835, operationsPerMinute=201.92015611961418, mode=normal, start=Thu May 26 14:52:57 BST 2016, end=Thu May 26 14:56:57 BST 2016, operations=806.2874468527531, operationsPerMinute=201.57186171318827
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:20 BST 2016, end=Thu May 26 14:59:20 BST 2016, operations=360.7424163265482, operationsPerMinute=180.3712081632741, mode=normal, start=Thu May 26 14:59:22 BST 2016, end=Thu May 26 15:03:22 BST 2016, operations=700.7014422458974, operationsPerMinute=175.17536056147435
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:24 BST 2016, end=Thu May 26 15:05:24 BST 2016, operations=206.40312427258982, operationsPerMinute=103.20156213629491, mode=normal, start=Thu May 26 15:05:28 BST 2016, end=Thu May 26 15:09:28 BST 2016, operations=408.8626456516794, operationsPerMinute=102.21566141291984
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:32 BST 2016, end=Thu May 26 15:11:32 BST 2016, operations=69.32777803531746, operationsPerMinute=34.66388901765873, mode=normal, start=Thu May 26 15:11:41 BST 2016, end=Thu May 26 15:15:41 BST 2016, operations=138.01232225953245, operationsPerMinute=34.50308056488311
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:15:49 BST 2016, end=Thu May 26 15:17:49 BST 2016, operations=13.57424230537816, operationsPerMinute=6.78712115268908, mode=normal, start=Thu May 26 15:18:36 BST 2016, end=Thu May 26 15:22:36 BST 2016, operations=27.607456091622176, operationsPerMinute=6.901864022905544
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:14 BST 2016, end=Thu May 26 15:25:14 BST 2016, operations=73.1087250697242, operationsPerMinute=36.5543625348621, mode=normal, start=Thu May 26 15:25:26 BST 2016, end=Thu May 26 15:29:26 BST 2016, operations=146.86978651246676, operationsPerMinute=36.71744662811669
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:35 BST 2016, end=Thu May 26 15:31:35 BST 2016, operations=41.92713714104394, operationsPerMinute=20.96356857052197, mode=normal, start=Thu May 26 15:31:50 BST 2016, end=Thu May 26 15:35:50 BST 2016, operations=83.6691945924341, operationsPerMinute=20.917298648108524
