spec.jvm2008.report.run.location=UNION91
spec.jvm2008.report.hw.cpu.name=Pentium(R) Dual-Core  CPU      E5800  @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3037
benchmark-name=check, mode=normal, start=Tue Jun 28 22:16:32 BST 2016, end=Tue Jun 28 22:16:32 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 22:16:32 BST 2016, end=Tue Jun 28 22:16:32 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 22:16:32 BST 2016, end=Tue Jun 28 22:16:58 BST 2016, operations=1.0, operationsPerMinute=2.3495320515330698
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 22:16:58 BST 2016, end=Tue Jun 28 22:17:04 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 22:17:04 BST 2016, end=Tue Jun 28 22:17:06 BST 2016, operations=1.0, operationsPerMinute=32.05128205128205
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 22:17:06 BST 2016, end=Tue Jun 28 22:17:17 BST 2016, operations=1.0, operationsPerMinute=5.462988254575253
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 22:17:17 BST 2016, end=Tue Jun 28 22:17:26 BST 2016, operations=1.0, operationsPerMinute=7.030700726505742
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 22:17:26 BST 2016, end=Tue Jun 28 22:17:33 BST 2016, operations=1.0, operationsPerMinute=8.254230293025175
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 22:17:33 BST 2016, end=Tue Jun 28 22:17:37 BST 2016, operations=1.0, operationsPerMinute=15.698587127158556
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 22:17:37 BST 2016, end=Tue Jun 28 22:17:38 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 22:17:38 BST 2016, end=Tue Jun 28 22:17:40 BST 2016, operations=1.0, operationsPerMinute=33.149171270718234
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 22:17:40 BST 2016, end=Tue Jun 28 22:17:48 BST 2016, operations=1.0, operationsPerMinute=7.661856723279275
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 22:17:48 BST 2016, end=Tue Jun 28 22:17:49 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 22:17:49 BST 2016, end=Tue Jun 28 22:17:52 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 22:17:52 BST 2016, end=Tue Jun 28 22:17:56 BST 2016, operations=1.0, operationsPerMinute=13.736263736263735
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 22:17:56 BST 2016, end=Tue Jun 28 22:18:04 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 22:18:04 BST 2016, end=Tue Jun 28 22:18:45 BST 2016, operations=1.0, operationsPerMinute=1.470227885322225
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 22:18:45 BST 2016, end=Tue Jun 28 22:18:47 BST 2016, operations=1.0, operationsPerMinute=37.71213073538655
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 22:19:07 BST 2016, end=Tue Jun 28 22:21:07 BST 2016, operations=205.62482061065424, operationsPerMinute=102.81241030532712, mode=normal, start=Tue Jun 28 22:21:09 BST 2016, end=Tue Jun 28 22:25:09 BST 2016, operations=419.1871575585741, operationsPerMinute=104.79678938964352
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 22:25:15 BST 2016, end=Tue Jun 28 22:27:15 BST 2016, operations=81.4266598109009, operationsPerMinute=40.71332990545045, mode=normal, start=Tue Jun 28 22:27:18 BST 2016, end=Tue Jun 28 22:31:18 BST 2016, operations=163.53168586524893, operationsPerMinute=40.88292146631223
benchmark-name=compress, mod=warmup, start=Tue Jun 28 22:31:23 BST 2016, end=Tue Jun 28 22:33:23 BST 2016, operations=96.89232310561982, operationsPerMinute=48.44616155280991, mode=normal, start=Tue Jun 28 22:33:24 BST 2016, end=Tue Jun 28 22:37:24 BST 2016, operations=197.84854180069232, operationsPerMinute=49.46213545017308
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 22:37:27 BST 2016, end=Tue Jun 28 22:39:27 BST 2016, operations=40.87508311488537, operationsPerMinute=20.437541557442685, mode=normal, start=Tue Jun 28 22:39:34 BST 2016, end=Tue Jun 28 22:43:34 BST 2016, operations=86.38936461576688, operationsPerMinute=21.59734115394172
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 22:43:43 BST 2016, end=Tue Jun 28 22:45:43 BST 2016, operations=86.16013108857886, operationsPerMinute=43.08006554428943, mode=normal, start=Tue Jun 28 22:45:47 BST 2016, end=Tue Jun 28 22:49:47 BST 2016, operations=172.0688262175012, operationsPerMinute=43.0172065543753
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 22:49:52 BST 2016, end=Tue Jun 28 22:51:52 BST 2016, operations=137.2506924448101, operationsPerMinute=68.62534622240506, mode=normal, start=Tue Jun 28 22:51:55 BST 2016, end=Tue Jun 28 22:55:55 BST 2016, operations=274.7480013749552, operationsPerMinute=68.6870003437388
benchmark-name=derby, mod=warmup, start=Tue Jun 28 22:56:38 BST 2016, end=Tue Jun 28 22:58:38 BST 2016, operations=95.58934097927208, operationsPerMinute=47.79467048963604, mode=normal, start=Tue Jun 28 22:58:42 BST 2016, end=Tue Jun 28 23:02:42 BST 2016, operations=192.44750209467952, operationsPerMinute=48.11187552366988
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 23:02:45 BST 2016, end=Tue Jun 28 23:04:45 BST 2016, operations=65.31841813993746, operationsPerMinute=32.65920906996873, mode=normal, start=Tue Jun 28 23:04:51 BST 2016, end=Tue Jun 28 23:08:51 BST 2016, operations=130.34724560823554, operationsPerMinute=32.586811402058885
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 23:08:57 BST 2016, end=Tue Jun 28 23:10:57 BST 2016, operations=16.25435409737297, operationsPerMinute=8.127177048686486, mode=normal, start=Tue Jun 28 23:11:11 BST 2016, end=Tue Jun 28 23:15:11 BST 2016, operations=35.26429930548058, operationsPerMinute=8.816074826370144
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 23:15:31 BST 2016, end=Tue Jun 28 23:17:31 BST 2016, operations=4.210122282168245, operationsPerMinute=2.1050611410841227, mode=normal, start=Tue Jun 28 23:18:21 BST 2016, end=Tue Jun 28 23:22:21 BST 2016, operations=8.42598517501178, operationsPerMinute=2.106496293752945
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 23:23:34 BST 2016, end=Tue Jun 28 23:25:34 BST 2016, operations=22.99244644080758, operationsPerMinute=11.49622322040379, mode=normal, start=Tue Jun 28 23:25:45 BST 2016, end=Tue Jun 28 23:29:45 BST 2016, operations=46.198347904207736, operationsPerMinute=11.549586976051934
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 23:29:55 BST 2016, end=Tue Jun 28 23:31:55 BST 2016, operations=16.425121651149524, operationsPerMinute=8.212560825574762, mode=normal, start=Tue Jun 28 23:32:15 BST 2016, end=Tue Jun 28 23:36:15 BST 2016, operations=32.853904357646, operationsPerMinute=8.2134760894115
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 28 23:36:31 BST 2016, end=Tue Jun 28 23:38:31 BST 2016, operations=164.34834808480275, operationsPerMinute=82.17417404240138, mode=normal, start=Tue Jun 28 23:38:34 BST 2016, end=Tue Jun 28 23:42:34 BST 2016, operations=204.45536296888838, operationsPerMinute=51.113840742222095
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 28 23:42:38 BST 2016, end=Tue Jun 28 23:44:38 BST 2016, operations=142.32214820297722, operationsPerMinute=71.16107410148861, mode=normal, start=Tue Jun 28 23:44:39 BST 2016, end=Tue Jun 28 23:48:39 BST 2016, operations=284.23612908774567, operationsPerMinute=71.05903227193642
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 28 23:48:41 BST 2016, end=Tue Jun 28 23:50:41 BST 2016, operations=140.4088818699597, operationsPerMinute=70.20444093497986, mode=normal, start=Tue Jun 28 23:50:44 BST 2016, end=Tue Jun 28 23:54:44 BST 2016, operations=281.3509186286964, operationsPerMinute=70.3377296571741
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 28 23:54:47 BST 2016, end=Tue Jun 28 23:56:47 BST 2016, operations=104.78150202288134, operationsPerMinute=52.39075101144067, mode=normal, start=Tue Jun 28 23:56:50 BST 2016, end=Wed Jun 29 00:00:50 BST 2016, operations=209.9573030204903, operationsPerMinute=52.48932575512257
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 00:00:53 BST 2016, end=Wed Jun 29 00:02:53 BST 2016, operations=43.817041044432145, operationsPerMinute=21.908520522216072, mode=normal, start=Wed Jun 29 00:03:00 BST 2016, end=Wed Jun 29 00:07:00 BST 2016, operations=89.76067961582835, operationsPerMinute=22.440169903957088
benchmark-name=serial, mod=warmup, start=Wed Jun 29 00:07:09 BST 2016, end=Wed Jun 29 00:09:09 BST 2016, operations=65.91584415584416, operationsPerMinute=32.95792207792208, mode=normal, start=Wed Jun 29 00:09:13 BST 2016, end=Wed Jun 29 00:13:13 BST 2016, operations=128.63343518477814, operationsPerMinute=32.158358796194534
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 00:13:19 BST 2016, end=Wed Jun 29 00:15:19 BST 2016, operations=55.23931623931624, operationsPerMinute=27.61965811965812, mode=normal, start=Wed Jun 29 00:15:21 BST 2016, end=Wed Jun 29 00:19:21 BST 2016, operations=110.53038936372269, operationsPerMinute=27.632597340930673
