spec.jvm2008.report.run.location=CASTLEAZES007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 01:03:41 BST 2016, end=Sat Jun 25 01:03:41 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 01:03:41 BST 2016, end=Sat Jun 25 01:03:41 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 01:03:41 BST 2016, end=Sat Jun 25 01:03:54 BST 2016, operations=1.0, operationsPerMinute=4.713275726630008
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 01:03:54 BST 2016, end=Sat Jun 25 01:03:57 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 01:03:57 BST 2016, end=Sat Jun 25 01:03:58 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 01:03:58 BST 2016, end=Sat Jun 25 01:04:07 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 01:04:07 BST 2016, end=Sat Jun 25 01:04:14 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 01:04:14 BST 2016, end=Sat Jun 25 01:04:21 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 01:04:21 BST 2016, end=Sat Jun 25 01:04:23 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 01:04:23 BST 2016, end=Sat Jun 25 01:04:24 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 01:04:24 BST 2016, end=Sat Jun 25 01:04:25 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 01:04:25 BST 2016, end=Sat Jun 25 01:04:30 BST 2016, operations=1.0, operationsPerMinute=10.712372790573111
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 01:04:30 BST 2016, end=Sat Jun 25 01:04:32 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 01:04:32 BST 2016, end=Sat Jun 25 01:04:33 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 01:04:33 BST 2016, end=Sat Jun 25 01:04:35 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 01:04:35 BST 2016, end=Sat Jun 25 01:04:41 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 01:04:41 BST 2016, end=Sat Jun 25 01:05:01 BST 2016, operations=1.0, operationsPerMinute=2.9791459781529297
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 01:05:01 BST 2016, end=Sat Jun 25 01:05:02 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 01:05:12 BST 2016, end=Sat Jun 25 01:07:12 BST 2016, operations=494.3316790494847, operationsPerMinute=247.16583952474235, mode=normal, start=Sat Jun 25 01:07:14 BST 2016, end=Sat Jun 25 01:11:14 BST 2016, operations=1007.0111943113083, operationsPerMinute=251.75279857782706
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 01:11:17 BST 2016, end=Sat Jun 25 01:13:17 BST 2016, operations=193.83001023849917, operationsPerMinute=96.91500511924959, mode=normal, start=Sat Jun 25 01:13:21 BST 2016, end=Sat Jun 25 01:17:21 BST 2016, operations=387.9686530643734, operationsPerMinute=96.99216326609336
benchmark-name=compress, mod=warmup, start=Sat Jun 25 01:17:24 BST 2016, end=Sat Jun 25 01:19:24 BST 2016, operations=400.74868628533744, operationsPerMinute=200.37434314266872, mode=normal, start=Sat Jun 25 01:19:26 BST 2016, end=Sat Jun 25 01:23:26 BST 2016, operations=802.8589350077857, operationsPerMinute=200.71473375194643
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 01:23:28 BST 2016, end=Sat Jun 25 01:25:28 BST 2016, operations=140.00776692519722, operationsPerMinute=70.00388346259861, mode=normal, start=Sat Jun 25 01:25:33 BST 2016, end=Sat Jun 25 01:29:33 BST 2016, operations=293.35104075224706, operationsPerMinute=73.33776018806176
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 01:29:39 BST 2016, end=Sat Jun 25 01:31:39 BST 2016, operations=233.58592770614484, operationsPerMinute=116.79296385307242, mode=normal, start=Sat Jun 25 01:31:42 BST 2016, end=Sat Jun 25 01:35:42 BST 2016, operations=469.7590610577168, operationsPerMinute=117.4397652644292
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 01:35:44 BST 2016, end=Sat Jun 25 01:37:44 BST 2016, operations=406.94910142813086, operationsPerMinute=203.47455071406543, mode=normal, start=Sat Jun 25 01:37:46 BST 2016, end=Sat Jun 25 01:41:46 BST 2016, operations=817.9651817172896, operationsPerMinute=204.4912954293224
benchmark-name=derby, mod=warmup, start=Sat Jun 25 01:42:09 BST 2016, end=Sat Jun 25 01:44:09 BST 2016, operations=365.64407261404085, operationsPerMinute=182.82203630702043, mode=normal, start=Sat Jun 25 01:44:11 BST 2016, end=Sat Jun 25 01:48:11 BST 2016, operations=688.4112140331454, operationsPerMinute=172.10280350828634
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 01:48:13 BST 2016, end=Sat Jun 25 01:50:13 BST 2016, operations=208.07010336677675, operationsPerMinute=104.03505168338837, mode=normal, start=Sat Jun 25 01:50:17 BST 2016, end=Sat Jun 25 01:54:17 BST 2016, operations=415.10349943302595, operationsPerMinute=103.77587485825649
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 01:54:21 BST 2016, end=Sat Jun 25 01:56:21 BST 2016, operations=73.152797471687, operationsPerMinute=36.5763987358435, mode=normal, start=Sat Jun 25 01:56:29 BST 2016, end=Sat Jun 25 02:00:29 BST 2016, operations=155.8750240843627, operationsPerMinute=38.96875602109068
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 02:00:38 BST 2016, end=Sat Jun 25 02:02:38 BST 2016, operations=13.718862794559682, operationsPerMinute=6.859431397279841, mode=normal, start=Sat Jun 25 02:03:34 BST 2016, end=Sat Jun 25 02:07:34 BST 2016, operations=27.376431259089266, operationsPerMinute=6.8441078147723164
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 02:08:32 BST 2016, end=Sat Jun 25 02:10:32 BST 2016, operations=68.65378856805415, operationsPerMinute=34.32689428402708, mode=normal, start=Sat Jun 25 02:10:42 BST 2016, end=Sat Jun 25 02:14:42 BST 2016, operations=136.35769225660871, operationsPerMinute=34.08942306415218
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 02:14:55 BST 2016, end=Sat Jun 25 02:16:55 BST 2016, operations=41.5419178663463, operationsPerMinute=20.77095893317315, mode=normal, start=Sat Jun 25 02:17:14 BST 2016, end=Sat Jun 25 02:21:14 BST 2016, operations=83.5196982883137, operationsPerMinute=20.879924572078426
