spec.jvm2008.report.run.location=CASTLEAZES020
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 08:35:53 BST 2016, end=Thu Jun 23 08:35:53 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 08:35:53 BST 2016, end=Thu Jun 23 08:35:53 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 08:35:53 BST 2016, end=Thu Jun 23 08:36:07 BST 2016, operations=1.0, operationsPerMinute=4.584001833600733
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 08:36:07 BST 2016, end=Thu Jun 23 08:36:10 BST 2016, operations=1.0, operationsPerMinute=17.56440281030445
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 08:36:10 BST 2016, end=Thu Jun 23 08:36:11 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 08:36:11 BST 2016, end=Thu Jun 23 08:36:20 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 08:36:20 BST 2016, end=Thu Jun 23 08:36:27 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 08:36:27 BST 2016, end=Thu Jun 23 08:36:34 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 08:36:34 BST 2016, end=Thu Jun 23 08:36:36 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 08:36:36 BST 2016, end=Thu Jun 23 08:36:37 BST 2016, operations=1.0, operationsPerMinute=85.47008547008546
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 08:36:37 BST 2016, end=Thu Jun 23 08:36:38 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 08:36:38 BST 2016, end=Thu Jun 23 08:36:43 BST 2016, operations=1.0, operationsPerMinute=10.95890410958904
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 08:36:43 BST 2016, end=Thu Jun 23 08:36:45 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 08:36:45 BST 2016, end=Thu Jun 23 08:36:46 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 08:36:46 BST 2016, end=Thu Jun 23 08:36:48 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 08:36:48 BST 2016, end=Thu Jun 23 08:36:54 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 08:36:54 BST 2016, end=Thu Jun 23 08:37:14 BST 2016, operations=1.0, operationsPerMinute=2.9907287409032
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 08:37:14 BST 2016, end=Thu Jun 23 08:37:15 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 08:37:25 BST 2016, end=Thu Jun 23 08:39:25 BST 2016, operations=492.08735258019635, operationsPerMinute=246.04367629009818, mode=normal, start=Thu Jun 23 08:39:26 BST 2016, end=Thu Jun 23 08:43:26 BST 2016, operations=1025.5259117597984, operationsPerMinute=256.3814779399496
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 08:43:30 BST 2016, end=Thu Jun 23 08:45:30 BST 2016, operations=199.8137184631426, operationsPerMinute=99.9068592315713, mode=normal, start=Thu Jun 23 08:45:33 BST 2016, end=Thu Jun 23 08:49:33 BST 2016, operations=396.2966272809819, operationsPerMinute=99.07415682024548
benchmark-name=compress, mod=warmup, start=Thu Jun 23 08:49:37 BST 2016, end=Thu Jun 23 08:51:37 BST 2016, operations=401.0117338112648, operationsPerMinute=200.5058669056324, mode=normal, start=Thu Jun 23 08:51:38 BST 2016, end=Thu Jun 23 08:55:38 BST 2016, operations=801.4688614510576, operationsPerMinute=200.3672153627644
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 08:55:40 BST 2016, end=Thu Jun 23 08:57:40 BST 2016, operations=139.8904375483316, operationsPerMinute=69.9452187741658, mode=normal, start=Thu Jun 23 08:57:46 BST 2016, end=Thu Jun 23 09:01:46 BST 2016, operations=294.975492785398, operationsPerMinute=73.7438731963495
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 09:01:53 BST 2016, end=Thu Jun 23 09:03:53 BST 2016, operations=233.03118879442007, operationsPerMinute=116.51559439721004, mode=normal, start=Thu Jun 23 09:03:56 BST 2016, end=Thu Jun 23 09:07:56 BST 2016, operations=468.07227677485844, operationsPerMinute=117.01806919371461
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 09:07:59 BST 2016, end=Thu Jun 23 09:09:59 BST 2016, operations=408.58438903933234, operationsPerMinute=204.29219451966617, mode=normal, start=Thu Jun 23 09:10:01 BST 2016, end=Thu Jun 23 09:14:01 BST 2016, operations=813.0884921580202, operationsPerMinute=203.27212303950506
benchmark-name=derby, mod=warmup, start=Thu Jun 23 09:14:23 BST 2016, end=Thu Jun 23 09:16:23 BST 2016, operations=363.80526628287294, operationsPerMinute=181.90263314143647, mode=normal, start=Thu Jun 23 09:16:25 BST 2016, end=Thu Jun 23 09:20:25 BST 2016, operations=734.6557376421056, operationsPerMinute=183.6639344105264
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 09:20:27 BST 2016, end=Thu Jun 23 09:22:27 BST 2016, operations=208.05700262482262, operationsPerMinute=104.02850131241131, mode=normal, start=Thu Jun 23 09:22:31 BST 2016, end=Thu Jun 23 09:26:31 BST 2016, operations=416.68666306678267, operationsPerMinute=104.17166576669567
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 09:26:34 BST 2016, end=Thu Jun 23 09:28:34 BST 2016, operations=71.97572984408272, operationsPerMinute=35.98786492204136, mode=normal, start=Thu Jun 23 09:28:43 BST 2016, end=Thu Jun 23 09:32:43 BST 2016, operations=146.7656937550609, operationsPerMinute=36.69142343876523
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 09:32:52 BST 2016, end=Thu Jun 23 09:34:52 BST 2016, operations=13.993294481137845, operationsPerMinute=6.996647240568922, mode=normal, start=Thu Jun 23 09:35:34 BST 2016, end=Thu Jun 23 09:39:34 BST 2016, operations=28.04910309566914, operationsPerMinute=7.012275773917285
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 09:40:24 BST 2016, end=Thu Jun 23 09:42:24 BST 2016, operations=72.96796011516919, operationsPerMinute=36.483980057584596, mode=normal, start=Thu Jun 23 09:42:36 BST 2016, end=Thu Jun 23 09:46:36 BST 2016, operations=149.16667067253775, operationsPerMinute=37.29166766813444
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 09:46:45 BST 2016, end=Thu Jun 23 09:48:45 BST 2016, operations=42.93217433532773, operationsPerMinute=21.466087167663865, mode=normal, start=Thu Jun 23 09:48:56 BST 2016, end=Thu Jun 23 09:52:56 BST 2016, operations=85.43923005999456, operationsPerMinute=21.35980751499864
