spec.jvm2008.report.run.location=TOLL02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Tue Jun 28 16:10:44 BST 2016, end=Tue Jun 28 16:10:44 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 16:10:44 BST 2016, end=Tue Jun 28 16:10:44 BST 2016, operations=1.0, operationsPerMinute=98.52216748768473
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 16:10:44 BST 2016, end=Tue Jun 28 16:11:10 BST 2016, operations=1.0, operationsPerMinute=2.340915297881472
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 16:11:10 BST 2016, end=Tue Jun 28 16:11:16 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 16:11:16 BST 2016, end=Tue Jun 28 16:11:18 BST 2016, operations=1.0, operationsPerMinute=31.79650238473768
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 16:11:18 BST 2016, end=Tue Jun 28 16:11:30 BST 2016, operations=1.0, operationsPerMinute=4.995004995004995
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 16:11:30 BST 2016, end=Tue Jun 28 16:11:39 BST 2016, operations=1.0, operationsPerMinute=6.63129973474801
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 16:11:39 BST 2016, end=Tue Jun 28 16:11:48 BST 2016, operations=1.0, operationsPerMinute=7.256894049346879
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 16:11:48 BST 2016, end=Tue Jun 28 16:11:51 BST 2016, operations=1.0, operationsPerMinute=15.568240788790867
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 16:11:51 BST 2016, end=Tue Jun 28 16:11:53 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 16:11:53 BST 2016, end=Tue Jun 28 16:11:55 BST 2016, operations=1.0, operationsPerMinute=31.529164477141357
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 16:11:55 BST 2016, end=Tue Jun 28 16:12:03 BST 2016, operations=1.0, operationsPerMinute=7.468259895444361
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 16:12:03 BST 2016, end=Tue Jun 28 16:12:05 BST 2016, operations=1.0, operationsPerMinute=31.51260504201681
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 16:12:05 BST 2016, end=Tue Jun 28 16:12:07 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 16:12:07 BST 2016, end=Tue Jun 28 16:12:11 BST 2016, operations=1.0, operationsPerMinute=14.299332697807436
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 16:12:11 BST 2016, end=Tue Jun 28 16:12:20 BST 2016, operations=1.0, operationsPerMinute=6.497022198159177
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 16:12:20 BST 2016, end=Tue Jun 28 16:13:03 BST 2016, operations=1.0, operationsPerMinute=1.4072944763691801
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 16:13:03 BST 2016, end=Tue Jun 28 16:13:04 BST 2016, operations=1.0, operationsPerMinute=36.29764065335753
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 16:13:21 BST 2016, end=Tue Jun 28 16:15:21 BST 2016, operations=212.83000019025394, operationsPerMinute=106.41500009512697, mode=normal, start=Tue Jun 28 16:15:23 BST 2016, end=Tue Jun 28 16:19:23 BST 2016, operations=431.53080114587505, operationsPerMinute=107.88270028646876
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 16:19:29 BST 2016, end=Tue Jun 28 16:21:29 BST 2016, operations=84.15396753619912, operationsPerMinute=42.07698376809956, mode=normal, start=Tue Jun 28 16:21:33 BST 2016, end=Tue Jun 28 16:25:33 BST 2016, operations=168.8615420165056, operationsPerMinute=42.2153855041264
benchmark-name=compress, mod=warmup, start=Tue Jun 28 16:25:37 BST 2016, end=Tue Jun 28 16:27:37 BST 2016, operations=128.9943208803087, operationsPerMinute=64.49716044015435, mode=normal, start=Tue Jun 28 16:27:39 BST 2016, end=Tue Jun 28 16:31:39 BST 2016, operations=259.54829677606233, operationsPerMinute=64.88707419401558
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 16:31:41 BST 2016, end=Tue Jun 28 16:33:41 BST 2016, operations=36.57429405996696, operationsPerMinute=18.28714702998348, mode=normal, start=Tue Jun 28 16:33:47 BST 2016, end=Tue Jun 28 16:37:47 BST 2016, operations=79.57610894742552, operationsPerMinute=19.89402723685638
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 16:37:54 BST 2016, end=Tue Jun 28 16:39:54 BST 2016, operations=72.41062364316637, operationsPerMinute=36.20531182158319, mode=normal, start=Tue Jun 28 16:39:57 BST 2016, end=Tue Jun 28 16:43:57 BST 2016, operations=149.99354620930745, operationsPerMinute=37.49838655232686
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 16:44:02 BST 2016, end=Tue Jun 28 16:46:02 BST 2016, operations=119.52785965888023, operationsPerMinute=59.763929829440116, mode=normal, start=Tue Jun 28 16:46:04 BST 2016, end=Tue Jun 28 16:50:04 BST 2016, operations=228.9293076833119, operationsPerMinute=57.23232692082797
benchmark-name=derby, mod=warmup, start=Tue Jun 28 16:51:50 BST 2016, end=Tue Jun 28 16:53:50 BST 2016, operations=93.65915012406948, operationsPerMinute=46.82957506203474, mode=normal, start=Tue Jun 28 16:53:53 BST 2016, end=Tue Jun 28 16:57:53 BST 2016, operations=184.72565408558617, operationsPerMinute=46.18141352139654
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 16:57:57 BST 2016, end=Tue Jun 28 16:59:57 BST 2016, operations=56.26809448720986, operationsPerMinute=28.13404724360493, mode=normal, start=Tue Jun 28 17:00:04 BST 2016, end=Tue Jun 28 17:04:04 BST 2016, operations=114.1954151587108, operationsPerMinute=28.5488537896777
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 17:04:08 BST 2016, end=Tue Jun 28 17:06:08 BST 2016, operations=30.816796400462117, operationsPerMinute=15.408398200231058, mode=normal, start=Tue Jun 28 17:06:19 BST 2016, end=Tue Jun 28 17:10:19 BST 2016, operations=62.782048932125015, operationsPerMinute=15.695512233031254
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 17:10:28 BST 2016, end=Tue Jun 28 17:12:28 BST 2016, operations=6.72789278188029, operationsPerMinute=3.363946390940145, mode=normal, start=Tue Jun 28 17:13:08 BST 2016, end=Tue Jun 28 17:17:08 BST 2016, operations=9.722886813573263, operationsPerMinute=2.4307217033933157
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 17:17:48 BST 2016, end=Tue Jun 28 17:19:48 BST 2016, operations=27.42547847873798, operationsPerMinute=13.71273923936899, mode=normal, start=Tue Jun 28 17:19:58 BST 2016, end=Tue Jun 28 17:23:58 BST 2016, operations=55.09941252169327, operationsPerMinute=13.774853130423317
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 17:24:08 BST 2016, end=Tue Jun 28 17:26:08 BST 2016, operations=21.35656629227929, operationsPerMinute=10.678283146139645, mode=normal, start=Tue Jun 28 17:26:24 BST 2016, end=Tue Jun 28 17:30:24 BST 2016, operations=43.19316748824946, operationsPerMinute=10.798291872062364
