spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 28 21:40:50 BST 2016, end=Tue Jun 28 21:40:50 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 28 23:00:01 BST 2016, end=Tue Jun 28 23:02:01 BST 2016, operations=516.2536806569358, operationsPerMinute=258.1268403284679, mode=normal, start=Tue Jun 28 23:02:02 BST 2016, end=Tue Jun 28 23:06:02 BST 2016, operations=1051.6929958513472, operationsPerMinute=262.9232489628368
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 28 23:06:04 BST 2016, end=Tue Jun 28 23:08:04 BST 2016, operations=376.2434579111419, operationsPerMinute=188.12172895557094, mode=normal, start=Tue Jun 28 23:08:06 BST 2016, end=Tue Jun 28 23:12:06 BST 2016, operations=752.0452552943063, operationsPerMinute=188.0113138235766
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 28 23:12:08 BST 2016, end=Tue Jun 28 23:14:08 BST 2016, operations=243.02668256807794, operationsPerMinute=121.51334128403897, mode=normal, start=Tue Jun 28 23:14:11 BST 2016, end=Tue Jun 28 23:18:11 BST 2016, operations=488.9277171423421, operationsPerMinute=122.23192928558552
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 28 23:18:14 BST 2016, end=Tue Jun 28 23:20:14 BST 2016, operations=290.0484623380342, operationsPerMinute=145.0242311690171, mode=normal, start=Tue Jun 28 23:20:16 BST 2016, end=Tue Jun 28 23:24:16 BST 2016, operations=580.4828532873495, operationsPerMinute=145.12071332183737
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jun 28 23:24:19 BST 2016, end=Tue Jun 28 23:26:19 BST 2016, operations=79.4880555462816, operationsPerMinute=39.7440277731408, mode=normal, start=Tue Jun 28 23:26:25 BST 2016, end=Tue Jun 28 23:30:25 BST 2016, operations=158.61679984060203, operationsPerMinute=39.65419996015051
benchmark-name=serial, mod=warmup, start=Tue Jun 28 23:30:34 BST 2016, end=Tue Jun 28 23:32:34 BST 2016, operations=133.20885862058813, operationsPerMinute=66.60442931029407, mode=normal, start=Tue Jun 28 23:32:39 BST 2016, end=Tue Jun 28 23:36:39 BST 2016, operations=281.8213954696567, operationsPerMinute=70.45534886741417
benchmark-name=sunflow, mod=warmup, start=Tue Jun 28 23:36:45 BST 2016, end=Tue Jun 28 23:38:45 BST 2016, operations=105.036142739456, operationsPerMinute=52.518071369728, mode=normal, start=Tue Jun 28 23:38:48 BST 2016, end=Tue Jun 28 23:42:48 BST 2016, operations=213.52242221798053, operationsPerMinute=53.38060555449513
benchmark-name=xml.transform, mod=warmup, start=Tue Jun 28 23:43:20 BST 2016, end=Tue Jun 28 23:45:20 BST 2016, operations=306.58153046791244, operationsPerMinute=153.29076523395622, mode=normal, start=Tue Jun 28 23:45:23 BST 2016, end=Tue Jun 28 23:49:23 BST 2016, operations=666.1093766910612, operationsPerMinute=166.5273441727653
benchmark-name=xml.validation, mod=warmup, start=Tue Jun 28 23:49:26 BST 2016, end=Tue Jun 28 23:51:26 BST 2016, operations=483.0078100047849, operationsPerMinute=241.50390500239246, mode=normal, start=Tue Jun 28 23:51:27 BST 2016, end=Tue Jun 28 23:55:27 BST 2016, operations=967.8460254549377, operationsPerMinute=241.96150636373443
##-nursultan-##,SUNSPACE07,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,4,3984,check,Tue Jun 28 21:40:50 BST 2016,Tue Jun 28 21:40:50 BST 2016,1.0,967.741935483871,startup.helloworld,Tue Jun 28 21:40:50 BST 2016,Tue Jun 28 21:40:51 BST 2016,1.0,113.20754716981132,startup.compiler.compiler,Tue Jun 28 21:40:51 BST 2016,Tue Jun 28 21:41:19 BST 2016,1.0,2.1062978305132347,startup.compiler.sunflow,Tue Jun 28 21:41:19 BST 2016,Tue Jun 28 21:41:25 BST 2016,1.0,10.989010989010989,startup.compress,Tue Jun 28 21:41:25 BST 2016,Tue Jun 28 21:41:26 BST 2016,1.0,37.71213073538655,startup.crypto.aes,Tue Jun 28 21:41:26 BST 2016,Tue Jun 28 21:41:37 BST 2016,1.0,5.827505827505828,startup.crypto.rsa,Tue Jun 28 21:41:37 BST 2016,Tue Jun 28 21:41:45 BST 2016,1.0,6.993006993006993,startup.crypto.signverify,Tue Jun 28 21:41:45 BST 2016,Tue Jun 28 21:41:53 BST 2016,1.0,8.343763037129746,startup.mpegaudio,Tue Jun 28 21:41:53 BST 2016,Tue Jun 28 21:41:56 BST 2016,1.0,19.5248942401562,startup.scimark.fft,Tue Jun 28 21:41:56 BST 2016,Tue Jun 28 21:41:57 BST 2016,1.0,65.14657980456026,startup.scimark.lu,Tue Jun 28 21:41:57 BST 2016,Tue Jun 28 21:41:58 BST 2016,1.0,49.958368026644465,startup.scimark.monte_carlo,Tue Jun 28 21:41:58 BST 2016,Tue Jun 28 21:42:05 BST 2016,1.0,8.60461781155887,startup.scimark.sor,Tue Jun 28 21:42:05 BST 2016,Tue Jun 28 21:42:06 BST 2016,1.0,35.27336860670194,startup.scimark.sparse,Tue Jun 28 21:42:06 BST 2016,Tue Jun 28 21:42:08 BST 2016,1.0,43.22766570605187,startup.serial,Tue Jun 28 21:42:08 BST 2016,Tue Jun 28 21:42:11 BST 2016,1.0,19.828155981493722,startup.sunflow,Tue Jun 28 21:42:11 BST 2016,Tue Jun 28 21:42:18 BST 2016,1.0,8.397480755773268,startup.xml.transform,Tue Jun 28 21:42:18 BST 2016,Tue Jun 28 21:42:46 BST 2016,1.0,2.127282396738167,startup.xml.validation,Tue Jun 28 21:42:46 BST 2016,Tue Jun 28 21:42:47 BST 2016,1.0,48.07692307692308,compiler.compiler,Tue Jun 28 21:43:04 BST 2016,Tue Jun 28 21:45:04 BST 2016,359.5786179584612,179.7893089792306,Tue Jun 28 21:45:06 BST 2016,Tue Jun 28 21:49:06 BST 2016,737.3119644629471,184.32799111573678,compiler.sunflow,Tue Jun 28 21:49:12 BST 2016,Tue Jun 28 21:51:12 BST 2016,133.75247989881032,66.87623994940516,Tue Jun 28 21:51:17 BST 2016,Tue Jun 28 21:55:17 BST 2016,264.51282791121423,66.12820697780356,compress,Tue Jun 28 21:55:22 BST 2016,Tue Jun 28 21:57:22 BST 2016,273.36160094739853,136.68080047369926,Tue Jun 28 21:57:25 BST 2016,Tue Jun 28 22:01:25 BST 2016,546.1368758352704,136.5342189588176,crypto.aes,Tue Jun 28 22:01:28 BST 2016,Tue Jun 28 22:03:28 BST 2016,85.2706996242622,42.6353498121311,Tue Jun 28 22:03:37 BST 2016,Tue Jun 28 22:07:37 BST 2016,180.61546263590822,45.153865658977054,crypto.rsa,Tue Jun 28 22:07:46 BST 2016,Tue Jun 28 22:09:46 BST 2016,146.57153793853297,73.28576896926648,Tue Jun 28 22:09:51 BST 2016,Tue Jun 28 22:13:51 BST 2016,293.6356083788072,73.4089020947018,crypto.signverify,Tue Jun 28 22:13:56 BST 2016,Tue Jun 28 22:15:56 BST 2016,253.3065288642619,126.65326443213095,Tue Jun 28 22:15:59 BST 2016,Tue Jun 28 22:19:59 BST 2016,508.0747863247863,127.01869658119658,derby,Tue Jun 28 22:21:26 BST 2016,Tue Jun 28 22:23:26 BST 2016,203.4145194398128,101.7072597199064,Tue Jun 28 22:23:29 BST 2016,Tue Jun 28 22:27:29 BST 2016,411.7981358079642,102.94953395199104,mpegaudio,Tue Jun 28 22:27:32 BST 2016,Tue Jun 28 22:29:32 BST 2016,134.93199436623289,67.46599718311644,Tue Jun 28 22:29:36 BST 2016,Tue Jun 28 22:33:36 BST 2016,270.93288591894157,67.73322147973539,scimark.fft.large,Tue Jun 28 22:33:40 BST 2016,Tue Jun 28 22:35:40 BST 2016,60.159244324612445,30.079622162306222,Tue Jun 28 22:35:52 BST 2016,Tue Jun 28 22:39:52 BST 2016,123.6433322162409,30.910833054060227,scimark.lu.large,Tue Jun 28 22:39:59 BST 2016,Tue Jun 28 22:41:59 BST 2016,11.579761536270162,5.789880768135081,Tue Jun 28 22:42:34 BST 2016,Tue Jun 28 22:46:34 BST 2016,23.209643859660055,5.802410964915014,scimark.sor.large,Tue Jun 28 22:47:12 BST 2016,Tue Jun 28 22:49:12 BST 2016,55.62966761597464,27.81483380798732,Tue Jun 28 22:49:21 BST 2016,Tue Jun 28 22:53:21 BST 2016,111.5102275857019,27.877556896425475,scimark.sparse.large,Tue Jun 28 22:53:31 BST 2016,Tue Jun 28 22:55:31 BST 2016,37.495276204947245,18.747638102473623,Tue Jun 28 22:55:48 BST 2016,Tue Jun 28 22:59:48 BST 2016,75.00446145799461,18.751115364498652,scimark.fft.small,Tue Jun 28 23:00:01 BST 2016,Tue Jun 28 23:02:01 BST 2016,516.2536806569358,258.1268403284679,Tue Jun 28 23:02:02 BST 2016,Tue Jun 28 23:06:02 BST 2016,1051.6929958513472,262.9232489628368,scimark.lu.small,Tue Jun 28 23:06:04 BST 2016,Tue Jun 28 23:08:04 BST 2016,376.2434579111419,188.12172895557094,Tue Jun 28 23:08:06 BST 2016,Tue Jun 28 23:12:06 BST 2016,752.0452552943063,188.0113138235766,scimark.sor.small,Tue Jun 28 23:12:08 BST 2016,Tue Jun 28 23:14:08 BST 2016,243.02668256807794,121.51334128403897,Tue Jun 28 23:14:11 BST 2016,Tue Jun 28 23:18:11 BST 2016,488.9277171423421,122.23192928558552,scimark.sparse.small,Tue Jun 28 23:18:14 BST 2016,Tue Jun 28 23:20:14 BST 2016,290.0484623380342,145.0242311690171,Tue Jun 28 23:20:16 BST 2016,Tue Jun 28 23:24:16 BST 2016,580.4828532873495,145.12071332183737,scimark.monte_carlo,Tue Jun 28 23:24:19 BST 2016,Tue Jun 28 23:26:19 BST 2016,79.4880555462816,39.7440277731408,Tue Jun 28 23:26:25 BST 2016,Tue Jun 28 23:30:25 BST 2016,158.61679984060203,39.65419996015051,serial,Tue Jun 28 23:30:34 BST 2016,Tue Jun 28 23:32:34 BST 2016,133.20885862058813,66.60442931029407,Tue Jun 28 23:32:39 BST 2016,Tue Jun 28 23:36:39 BST 2016,281.8213954696567,70.45534886741417,sunflow,Tue Jun 28 23:36:45 BST 2016,Tue Jun 28 23:38:45 BST 2016,105.036142739456,52.518071369728,Tue Jun 28 23:38:48 BST 2016,Tue Jun 28 23:42:48 BST 2016,213.52242221798053,53.38060555449513,xml.transform,Tue Jun 28 23:43:20 BST 2016,Tue Jun 28 23:45:20 BST 2016,306.58153046791244,153.29076523395622,Tue Jun 28 23:45:23 BST 2016,Tue Jun 28 23:49:23 BST 2016,666.1093766910612,166.5273441727653,xml.validation,Tue Jun 28 23:49:26 BST 2016,Tue Jun 28 23:51:26 BST 2016,483.0078100047849,241.50390500239246,Tue Jun 28 23:51:27 BST 2016,Tue Jun 28 23:55:27 BST 2016,967.8460254549377,241.96150636373443
