spec.jvm2008.report.run.location=CASTLEAZES003
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 04:14:31 BST 2016, end=Thu Jun 23 04:14:31 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 04:14:31 BST 2016, end=Thu Jun 23 04:14:31 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 04:14:31 BST 2016, end=Thu Jun 23 04:14:44 BST 2016, operations=1.0, operationsPerMinute=4.679092256102316
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 04:14:44 BST 2016, end=Thu Jun 23 04:14:47 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 04:14:47 BST 2016, end=Thu Jun 23 04:14:49 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 04:14:49 BST 2016, end=Thu Jun 23 04:14:57 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 04:14:57 BST 2016, end=Thu Jun 23 04:15:05 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 04:15:05 BST 2016, end=Thu Jun 23 04:15:11 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 04:15:11 BST 2016, end=Thu Jun 23 04:15:13 BST 2016, operations=1.0, operationsPerMinute=26.350461133069828
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 04:15:13 BST 2016, end=Thu Jun 23 04:15:14 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 04:15:14 BST 2016, end=Thu Jun 23 04:15:15 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 04:15:15 BST 2016, end=Thu Jun 23 04:15:21 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 04:15:21 BST 2016, end=Thu Jun 23 04:15:22 BST 2016, operations=1.0, operationsPerMinute=41.37931034482759
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 04:15:22 BST 2016, end=Thu Jun 23 04:15:23 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 04:15:23 BST 2016, end=Thu Jun 23 04:15:25 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 04:15:25 BST 2016, end=Thu Jun 23 04:15:32 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 04:15:32 BST 2016, end=Thu Jun 23 04:15:52 BST 2016, operations=1.0, operationsPerMinute=2.9745674483168907
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 04:15:52 BST 2016, end=Thu Jun 23 04:15:53 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 04:16:03 BST 2016, end=Thu Jun 23 04:18:03 BST 2016, operations=491.23579671359334, operationsPerMinute=245.61789835679667, mode=normal, start=Thu Jun 23 04:18:04 BST 2016, end=Thu Jun 23 04:22:04 BST 2016, operations=1009.6340351643457, operationsPerMinute=252.40850879108643
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 04:22:08 BST 2016, end=Thu Jun 23 04:24:08 BST 2016, operations=198.4406680309549, operationsPerMinute=99.22033401547745, mode=normal, start=Thu Jun 23 04:24:11 BST 2016, end=Thu Jun 23 04:28:11 BST 2016, operations=393.81678323338537, operationsPerMinute=98.45419580834634
benchmark-name=compress, mod=warmup, start=Thu Jun 23 04:28:14 BST 2016, end=Thu Jun 23 04:30:14 BST 2016, operations=399.7808541657754, operationsPerMinute=199.8904270828877, mode=normal, start=Thu Jun 23 04:30:17 BST 2016, end=Thu Jun 23 04:34:17 BST 2016, operations=796.2890547745711, operationsPerMinute=199.07226369364278
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 04:34:19 BST 2016, end=Thu Jun 23 04:36:19 BST 2016, operations=139.772132496155, operationsPerMinute=69.8860662480775, mode=normal, start=Thu Jun 23 04:36:24 BST 2016, end=Thu Jun 23 04:40:24 BST 2016, operations=293.03025659574905, operationsPerMinute=73.25756414893726
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 04:40:30 BST 2016, end=Thu Jun 23 04:42:30 BST 2016, operations=235.48924742646628, operationsPerMinute=117.74462371323314, mode=normal, start=Thu Jun 23 04:42:33 BST 2016, end=Thu Jun 23 04:46:33 BST 2016, operations=473.1665918503001, operationsPerMinute=118.29164796257503
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 04:46:37 BST 2016, end=Thu Jun 23 04:48:37 BST 2016, operations=406.78427592390955, operationsPerMinute=203.39213796195477, mode=normal, start=Thu Jun 23 04:48:38 BST 2016, end=Thu Jun 23 04:52:38 BST 2016, operations=781.556707945499, operationsPerMinute=195.38917698637476
benchmark-name=derby, mod=warmup, start=Thu Jun 23 04:53:01 BST 2016, end=Thu Jun 23 04:55:01 BST 2016, operations=364.69773233261816, operationsPerMinute=182.34886616630908, mode=normal, start=Thu Jun 23 04:55:03 BST 2016, end=Thu Jun 23 04:59:03 BST 2016, operations=728.1112855074532, operationsPerMinute=182.0278213768633
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 04:59:04 BST 2016, end=Thu Jun 23 05:01:04 BST 2016, operations=207.69718504186486, operationsPerMinute=103.84859252093243, mode=normal, start=Thu Jun 23 05:01:08 BST 2016, end=Thu Jun 23 05:05:08 BST 2016, operations=415.92744127289336, operationsPerMinute=103.98186031822334
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 05:05:12 BST 2016, end=Thu Jun 23 05:07:12 BST 2016, operations=69.87037688445761, operationsPerMinute=34.93518844222881, mode=normal, start=Thu Jun 23 05:07:21 BST 2016, end=Thu Jun 23 05:11:21 BST 2016, operations=143.8530376876304, operationsPerMinute=35.9632594219076
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 05:11:28 BST 2016, end=Thu Jun 23 05:13:28 BST 2016, operations=13.787712514066854, operationsPerMinute=6.893856257033427, mode=normal, start=Thu Jun 23 05:14:13 BST 2016, end=Thu Jun 23 05:18:13 BST 2016, operations=27.754330034564525, operationsPerMinute=6.938582508641131
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 05:18:40 BST 2016, end=Thu Jun 23 05:20:40 BST 2016, operations=74.67645053124424, operationsPerMinute=37.33822526562212, mode=normal, start=Thu Jun 23 05:20:49 BST 2016, end=Thu Jun 23 05:24:49 BST 2016, operations=148.83132261175513, operationsPerMinute=37.20783065293878
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 05:25:00 BST 2016, end=Thu Jun 23 05:27:00 BST 2016, operations=42.15704513251557, operationsPerMinute=21.078522566257785, mode=normal, start=Thu Jun 23 05:27:13 BST 2016, end=Thu Jun 23 05:31:13 BST 2016, operations=84.54097411771949, operationsPerMinute=21.13524352942987
