spec.jvm2008.report.run.location=LAW060
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Sun Jun 19 01:09:10 BST 2016, end=Sun Jun 19 01:09:10 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 01:09:10 BST 2016, end=Sun Jun 19 01:09:11 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 01:09:11 BST 2016, end=Sun Jun 19 01:09:29 BST 2016, operations=1.0, operationsPerMinute=3.365492483733453
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 01:09:29 BST 2016, end=Sun Jun 19 01:09:34 BST 2016, operations=1.0, operationsPerMinute=12.725344644750795
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 01:09:34 BST 2016, end=Sun Jun 19 01:09:35 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 01:09:35 BST 2016, end=Sun Jun 19 01:09:45 BST 2016, operations=1.0, operationsPerMinute=6.426735218508997
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 01:09:45 BST 2016, end=Sun Jun 19 01:09:52 BST 2016, operations=1.0, operationsPerMinute=7.717041800643087
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 01:09:52 BST 2016, end=Sun Jun 19 01:09:59 BST 2016, operations=1.0, operationsPerMinute=8.81445570736007
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 01:09:59 BST 2016, end=Sun Jun 19 01:10:02 BST 2016, operations=1.0, operationsPerMinute=20.554984583761563
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 01:10:02 BST 2016, end=Sun Jun 19 01:10:03 BST 2016, operations=1.0, operationsPerMinute=64.034151547492
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 01:10:03 BST 2016, end=Sun Jun 19 01:10:04 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 01:10:04 BST 2016, end=Sun Jun 19 01:10:10 BST 2016, operations=1.0, operationsPerMinute=9.513239257967339
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 01:10:10 BST 2016, end=Sun Jun 19 01:10:12 BST 2016, operations=1.0, operationsPerMinute=37.664783427495294
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 01:10:12 BST 2016, end=Sun Jun 19 01:10:13 BST 2016, operations=1.0, operationsPerMinute=51.23825789923143
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 01:10:13 BST 2016, end=Sun Jun 19 01:10:16 BST 2016, operations=1.0, operationsPerMinute=20.775623268698062
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 01:10:16 BST 2016, end=Sun Jun 19 01:10:23 BST 2016, operations=1.0, operationsPerMinute=8.391608391608392
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 01:10:23 BST 2016, end=Sun Jun 19 01:10:50 BST 2016, operations=1.0, operationsPerMinute=2.2138587558113794
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 01:10:50 BST 2016, end=Sun Jun 19 01:10:52 BST 2016, operations=1.0, operationsPerMinute=42.223786066150595
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 01:11:06 BST 2016, end=Sun Jun 19 01:13:06 BST 2016, operations=396.73050963593914, operationsPerMinute=198.36525481796957, mode=normal, start=Sun Jun 19 01:13:07 BST 2016, end=Sun Jun 19 01:17:07 BST 2016, operations=820.5812474883583, operationsPerMinute=205.14531187208956
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 01:17:13 BST 2016, end=Sun Jun 19 01:19:13 BST 2016, operations=167.36443360672226, operationsPerMinute=83.68221680336113, mode=normal, start=Sun Jun 19 01:19:16 BST 2016, end=Sun Jun 19 01:23:16 BST 2016, operations=332.9214093328795, operationsPerMinute=83.23035233321987
benchmark-name=compress, mod=warmup, start=Sun Jun 19 01:23:21 BST 2016, end=Sun Jun 19 01:25:21 BST 2016, operations=349.3362361108981, operationsPerMinute=174.66811805544904, mode=normal, start=Sun Jun 19 01:25:23 BST 2016, end=Sun Jun 19 01:29:23 BST 2016, operations=701.5395259018142, operationsPerMinute=175.38488147545354
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:29:25 BST 2016, end=Sun Jun 19 01:31:25 BST 2016, operations=115.54106708680438, operationsPerMinute=57.77053354340219, mode=normal, start=Sun Jun 19 01:31:33 BST 2016, end=Sun Jun 19 01:35:33 BST 2016, operations=243.48241494759034, operationsPerMinute=60.870603736897586
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:35:40 BST 2016, end=Sun Jun 19 01:37:40 BST 2016, operations=206.21212966426157, operationsPerMinute=103.10606483213078, mode=normal, start=Sun Jun 19 01:37:43 BST 2016, end=Sun Jun 19 01:41:43 BST 2016, operations=412.3411252192966, operationsPerMinute=103.08528130482415
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:41:47 BST 2016, end=Sun Jun 19 01:43:47 BST 2016, operations=351.3901330168407, operationsPerMinute=175.69506650842035, mode=normal, start=Sun Jun 19 01:43:50 BST 2016, end=Sun Jun 19 01:47:50 BST 2016, operations=694.8550052271332, operationsPerMinute=173.7137513067833
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:49:12 BST 2016, end=Sun Jun 19 01:51:12 BST 2016, operations=257.2210403132908, operationsPerMinute=128.6105201566454, mode=normal, start=Sun Jun 19 01:51:14 BST 2016, end=Sun Jun 19 01:55:14 BST 2016, operations=516.094420354454, operationsPerMinute=129.0236050886135
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:55:17 BST 2016, end=Sun Jun 19 01:57:17 BST 2016, operations=172.96465339364107, operationsPerMinute=86.48232669682054, mode=normal, start=Sun Jun 19 01:57:22 BST 2016, end=Sun Jun 19 02:01:22 BST 2016, operations=346.1506689775135, operationsPerMinute=86.53766724437837
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 02:01:26 BST 2016, end=Sun Jun 19 02:03:26 BST 2016, operations=67.77715487058256, operationsPerMinute=33.88857743529128, mode=normal, start=Sun Jun 19 02:03:36 BST 2016, end=Sun Jun 19 02:07:36 BST 2016, operations=136.83284911503958, operationsPerMinute=34.208212278759895
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 02:07:46 BST 2016, end=Sun Jun 19 02:09:46 BST 2016, operations=13.105104697105006, operationsPerMinute=6.552552348552503, mode=normal, start=Sun Jun 19 02:10:38 BST 2016, end=Sun Jun 19 02:14:38 BST 2016, operations=26.20950754941225, operationsPerMinute=6.552376887353063
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 02:15:21 BST 2016, end=Sun Jun 19 02:17:21 BST 2016, operations=68.65251378815451, operationsPerMinute=34.326256894077254, mode=normal, start=Sun Jun 19 02:17:33 BST 2016, end=Sun Jun 19 02:21:33 BST 2016, operations=137.43115299034372, operationsPerMinute=34.35778824758593
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 02:21:42 BST 2016, end=Sun Jun 19 02:23:42 BST 2016, operations=42.95980809754867, operationsPerMinute=21.479904048774333, mode=normal, start=Sun Jun 19 02:23:53 BST 2016, end=Sun Jun 19 02:27:53 BST 2016, operations=86.1298244035494, operationsPerMinute=21.53245610088735
