spec.jvm2008.report.run.location=LAW017
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 08:00:38 BST 2016, end=Mon Jun 27 08:00:38 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 08:00:38 BST 2016, end=Mon Jun 27 08:00:38 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 08:00:38 BST 2016, end=Mon Jun 27 08:00:56 BST 2016, operations=1.0, operationsPerMinute=3.3649262520329764
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 08:00:56 BST 2016, end=Mon Jun 27 08:01:00 BST 2016, operations=1.0, operationsPerMinute=14.40576230492197
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 08:01:00 BST 2016, end=Mon Jun 27 08:01:01 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 08:01:01 BST 2016, end=Mon Jun 27 08:01:11 BST 2016, operations=1.0, operationsPerMinute=6.608657341116863
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 08:01:11 BST 2016, end=Mon Jun 27 08:01:18 BST 2016, operations=1.0, operationsPerMinute=7.723001673317029
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 08:01:18 BST 2016, end=Mon Jun 27 08:01:25 BST 2016, operations=1.0, operationsPerMinute=8.800234672924612
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 08:01:25 BST 2016, end=Mon Jun 27 08:01:28 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 08:01:28 BST 2016, end=Mon Jun 27 08:01:29 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 08:01:29 BST 2016, end=Mon Jun 27 08:01:30 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 08:01:30 BST 2016, end=Mon Jun 27 08:01:36 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 08:01:36 BST 2016, end=Mon Jun 27 08:01:37 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 08:01:37 BST 2016, end=Mon Jun 27 08:01:39 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 08:01:39 BST 2016, end=Mon Jun 27 08:01:41 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 08:01:41 BST 2016, end=Mon Jun 27 08:01:48 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 08:01:48 BST 2016, end=Mon Jun 27 08:02:14 BST 2016, operations=1.0, operationsPerMinute=2.3029977353855604
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 08:02:14 BST 2016, end=Mon Jun 27 08:02:15 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 08:02:29 BST 2016, end=Mon Jun 27 08:04:29 BST 2016, operations=418.83535660811566, operationsPerMinute=209.41767830405783, mode=normal, start=Mon Jun 27 08:04:30 BST 2016, end=Mon Jun 27 08:08:30 BST 2016, operations=858.2346761325276, operationsPerMinute=214.5586690331319
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 08:08:35 BST 2016, end=Mon Jun 27 08:10:35 BST 2016, operations=169.13412725131724, operationsPerMinute=84.56706362565862, mode=normal, start=Mon Jun 27 08:10:40 BST 2016, end=Mon Jun 27 08:14:40 BST 2016, operations=336.2768338350996, operationsPerMinute=84.0692084587749
benchmark-name=compress, mod=warmup, start=Mon Jun 27 08:14:44 BST 2016, end=Mon Jun 27 08:16:44 BST 2016, operations=352.5354521081389, operationsPerMinute=176.26772605406944, mode=normal, start=Mon Jun 27 08:16:47 BST 2016, end=Mon Jun 27 08:20:47 BST 2016, operations=700.8874611816119, operationsPerMinute=175.22186529540298
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 08:20:50 BST 2016, end=Mon Jun 27 08:22:50 BST 2016, operations=113.49519193609683, operationsPerMinute=56.747595968048415, mode=normal, start=Mon Jun 27 08:22:57 BST 2016, end=Mon Jun 27 08:26:57 BST 2016, operations=244.62746038906818, operationsPerMinute=61.156865097267044
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 08:27:04 BST 2016, end=Mon Jun 27 08:29:04 BST 2016, operations=203.32675169542642, operationsPerMinute=101.66337584771321, mode=normal, start=Mon Jun 27 08:29:07 BST 2016, end=Mon Jun 27 08:33:07 BST 2016, operations=407.90311563885473, operationsPerMinute=101.97577890971368
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 08:33:12 BST 2016, end=Mon Jun 27 08:35:12 BST 2016, operations=351.5714860758433, operationsPerMinute=175.78574303792166, mode=normal, start=Mon Jun 27 08:35:14 BST 2016, end=Mon Jun 27 08:39:14 BST 2016, operations=703.6470295842317, operationsPerMinute=175.91175739605794
benchmark-name=derby, mod=warmup, start=Mon Jun 27 08:40:13 BST 2016, end=Mon Jun 27 08:42:13 BST 2016, operations=255.53966377763197, operationsPerMinute=127.76983188881599, mode=normal, start=Mon Jun 27 08:42:17 BST 2016, end=Mon Jun 27 08:46:17 BST 2016, operations=514.9134804949624, operationsPerMinute=128.7283701237406
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 08:46:19 BST 2016, end=Mon Jun 27 08:48:19 BST 2016, operations=173.11864373006247, operationsPerMinute=86.55932186503124, mode=normal, start=Mon Jun 27 08:48:24 BST 2016, end=Mon Jun 27 08:52:24 BST 2016, operations=346.6853688613686, operationsPerMinute=86.67134221534215
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 08:52:27 BST 2016, end=Mon Jun 27 08:54:27 BST 2016, operations=97.61405476064343, operationsPerMinute=48.80702738032171, mode=normal, start=Mon Jun 27 08:54:33 BST 2016, end=Mon Jun 27 08:58:33 BST 2016, operations=204.57179080873692, operationsPerMinute=51.14294770218423
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 08:58:40 BST 2016, end=Mon Jun 27 09:00:40 BST 2016, operations=22.607852633597872, operationsPerMinute=11.303926316798936, mode=normal, start=Mon Jun 27 09:01:04 BST 2016, end=Mon Jun 27 09:05:04 BST 2016, operations=44.85668788420244, operationsPerMinute=11.21417197105061
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 09:05:31 BST 2016, end=Mon Jun 27 09:07:31 BST 2016, operations=69.5453709555895, operationsPerMinute=34.77268547779475, mode=normal, start=Mon Jun 27 09:07:42 BST 2016, end=Mon Jun 27 09:11:42 BST 2016, operations=138.97192816940216, operationsPerMinute=34.74298204235054
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 09:11:50 BST 2016, end=Mon Jun 27 09:13:50 BST 2016, operations=75.2245995397296, operationsPerMinute=37.6122997698648, mode=normal, start=Mon Jun 27 09:14:00 BST 2016, end=Mon Jun 27 09:18:00 BST 2016, operations=150.54339797527538, operationsPerMinute=37.635849493818846
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 09:18:09 BST 2016, end=Mon Jun 27 09:20:09 BST 2016, operations=591.0933334173403, operationsPerMinute=295.54666670867016, mode=normal, start=Mon Jun 27 09:20:11 BST 2016, end=Mon Jun 27 09:24:11 BST 2016, operations=1132.0387166009693, operationsPerMinute=283.00967915024233
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 09:24:12 BST 2016, end=Mon Jun 27 09:26:12 BST 2016, operations=459.24158406089543, operationsPerMinute=229.62079203044772, mode=normal, start=Mon Jun 27 09:26:14 BST 2016, end=Mon Jun 27 09:30:14 BST 2016, operations=924.7964962823675, operationsPerMinute=231.19912407059186
