spec.jvm2008.report.run.location=RIDLEY2B025
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 07:42:07 BST 2016, end=Sat Jun 25 07:42:07 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 07:42:07 BST 2016, end=Sat Jun 25 07:42:07 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 07:42:07 BST 2016, end=Sat Jun 25 07:42:20 BST 2016, operations=1.0, operationsPerMinute=4.69630557294928
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 07:42:20 BST 2016, end=Sat Jun 25 07:42:23 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 07:42:23 BST 2016, end=Sat Jun 25 07:42:25 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 07:42:25 BST 2016, end=Sat Jun 25 07:42:33 BST 2016, operations=1.0, operationsPerMinute=7.135212272565108
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 07:42:33 BST 2016, end=Sat Jun 25 07:42:40 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 07:42:40 BST 2016, end=Sat Jun 25 07:42:47 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 07:42:47 BST 2016, end=Sat Jun 25 07:42:49 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 07:42:49 BST 2016, end=Sat Jun 25 07:42:50 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 07:42:50 BST 2016, end=Sat Jun 25 07:42:51 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 07:42:51 BST 2016, end=Sat Jun 25 07:42:56 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 07:42:56 BST 2016, end=Sat Jun 25 07:42:58 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 07:42:58 BST 2016, end=Sat Jun 25 07:42:59 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 07:42:59 BST 2016, end=Sat Jun 25 07:43:01 BST 2016, operations=1.0, operationsPerMinute=27.08803611738149
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 07:43:01 BST 2016, end=Sat Jun 25 07:43:07 BST 2016, operations=1.0, operationsPerMinute=9.402914903620122
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 07:43:07 BST 2016, end=Sat Jun 25 07:43:27 BST 2016, operations=1.0, operationsPerMinute=3.0025521693439425
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 07:43:27 BST 2016, end=Sat Jun 25 07:43:28 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 07:43:38 BST 2016, end=Sat Jun 25 07:45:38 BST 2016, operations=494.6076571032355, operationsPerMinute=247.30382855161776, mode=normal, start=Sat Jun 25 07:45:40 BST 2016, end=Sat Jun 25 07:49:40 BST 2016, operations=997.7728692098201, operationsPerMinute=249.44321730245503
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 07:49:43 BST 2016, end=Sat Jun 25 07:51:43 BST 2016, operations=196.21668471066286, operationsPerMinute=98.10834235533143, mode=normal, start=Sat Jun 25 07:51:47 BST 2016, end=Sat Jun 25 07:55:47 BST 2016, operations=392.80429245526324, operationsPerMinute=98.20107311381581
benchmark-name=compress, mod=warmup, start=Sat Jun 25 07:55:51 BST 2016, end=Sat Jun 25 07:57:51 BST 2016, operations=398.09271156611914, operationsPerMinute=199.04635578305957, mode=normal, start=Sat Jun 25 07:57:52 BST 2016, end=Sat Jun 25 08:01:52 BST 2016, operations=796.9280145971668, operationsPerMinute=199.2320036492917
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 08:01:54 BST 2016, end=Sat Jun 25 08:03:54 BST 2016, operations=136.6576403473574, operationsPerMinute=68.3288201736787, mode=normal, start=Sat Jun 25 08:04:00 BST 2016, end=Sat Jun 25 08:08:00 BST 2016, operations=293.33195331133936, operationsPerMinute=73.33298832783484
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 08:08:06 BST 2016, end=Sat Jun 25 08:10:06 BST 2016, operations=235.99712044969266, operationsPerMinute=117.99856022484633, mode=normal, start=Sat Jun 25 08:10:09 BST 2016, end=Sat Jun 25 08:14:09 BST 2016, operations=471.1223785876053, operationsPerMinute=117.78059464690132
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 08:14:13 BST 2016, end=Sat Jun 25 08:16:13 BST 2016, operations=407.61605338637384, operationsPerMinute=203.80802669318692, mode=normal, start=Sat Jun 25 08:16:15 BST 2016, end=Sat Jun 25 08:20:15 BST 2016, operations=814.8240181029388, operationsPerMinute=203.7060045257347
benchmark-name=derby, mod=warmup, start=Sat Jun 25 08:20:37 BST 2016, end=Sat Jun 25 08:22:37 BST 2016, operations=360.25141445891336, operationsPerMinute=180.12570722945668, mode=normal, start=Sat Jun 25 08:22:39 BST 2016, end=Sat Jun 25 08:26:39 BST 2016, operations=725.86937739815, operationsPerMinute=181.4673443495375
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 08:26:41 BST 2016, end=Sat Jun 25 08:28:41 BST 2016, operations=205.4226098123494, operationsPerMinute=102.7113049061747, mode=normal, start=Sat Jun 25 08:28:45 BST 2016, end=Sat Jun 25 08:32:45 BST 2016, operations=410.62027570995315, operationsPerMinute=102.65506892748829
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 08:32:48 BST 2016, end=Sat Jun 25 08:34:48 BST 2016, operations=78.18138859935262, operationsPerMinute=39.09069429967631, mode=normal, start=Sat Jun 25 08:34:55 BST 2016, end=Sat Jun 25 08:38:55 BST 2016, operations=156.71456622231605, operationsPerMinute=39.17864155557901
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 08:39:04 BST 2016, end=Sat Jun 25 08:41:04 BST 2016, operations=13.844511087185548, operationsPerMinute=6.922255543592774, mode=normal, start=Sat Jun 25 08:41:48 BST 2016, end=Sat Jun 25 08:45:48 BST 2016, operations=27.684338319477817, operationsPerMinute=6.921084579869454
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 08:46:25 BST 2016, end=Sat Jun 25 08:48:25 BST 2016, operations=74.54909580006358, operationsPerMinute=37.27454790003179, mode=normal, start=Sat Jun 25 08:48:33 BST 2016, end=Sat Jun 25 08:52:33 BST 2016, operations=148.6059085275189, operationsPerMinute=37.15147713187972
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 08:52:44 BST 2016, end=Sat Jun 25 08:54:44 BST 2016, operations=42.60860276995771, operationsPerMinute=21.304301384978857, mode=normal, start=Sat Jun 25 08:54:56 BST 2016, end=Sat Jun 25 08:58:56 BST 2016, operations=84.75200182977247, operationsPerMinute=21.188000457443117
