spec.jvm2008.report.run.location=GREY-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 23:26:48 BST 2016, end=Mon Jul 04 23:26:48 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jul 05 00:44:17 BST 2016, end=Tue Jul 05 00:46:17 BST 2016, operations=680.8709855359017, operationsPerMinute=340.43549276795085, mode=normal, start=Tue Jul 05 00:46:18 BST 2016, end=Tue Jul 05 00:50:18 BST 2016, operations=1475.2522463853668, operationsPerMinute=368.8130615963417
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jul 05 00:50:19 BST 2016, end=Tue Jul 05 00:52:19 BST 2016, operations=576.0064135643344, operationsPerMinute=288.0032067821672, mode=normal, start=Tue Jul 05 00:52:20 BST 2016, end=Tue Jul 05 00:56:20 BST 2016, operations=1138.081885469116, operationsPerMinute=284.520471367279
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jul 05 00:56:22 BST 2016, end=Tue Jul 05 00:58:22 BST 2016, operations=328.86349932034153, operationsPerMinute=164.43174966017077, mode=normal, start=Tue Jul 05 00:58:24 BST 2016, end=Tue Jul 05 01:02:24 BST 2016, operations=659.2510942945576, operationsPerMinute=164.8127735736394
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jul 05 01:02:27 BST 2016, end=Tue Jul 05 01:04:27 BST 2016, operations=510.29071547236504, operationsPerMinute=255.14535773618252, mode=normal, start=Tue Jul 05 01:04:29 BST 2016, end=Tue Jul 05 01:08:29 BST 2016, operations=1021.2168455413569, operationsPerMinute=255.30421138533922
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jul 05 01:08:31 BST 2016, end=Tue Jul 05 01:10:31 BST 2016, operations=119.89985897643336, operationsPerMinute=59.94992948821668, mode=normal, start=Tue Jul 05 01:10:38 BST 2016, end=Tue Jul 05 01:14:38 BST 2016, operations=239.19512888787253, operationsPerMinute=59.79878222196813
benchmark-name=serial, mod=warmup, start=Tue Jul 05 01:14:44 BST 2016, end=Tue Jul 05 01:16:44 BST 2016, operations=238.6300680035956, operationsPerMinute=119.3150340017978, mode=normal, start=Tue Jul 05 01:16:48 BST 2016, end=Tue Jul 05 01:20:48 BST 2016, operations=474.2107845778596, operationsPerMinute=118.5526961444649
benchmark-name=sunflow, mod=warmup, start=Tue Jul 05 01:20:52 BST 2016, end=Tue Jul 05 01:22:52 BST 2016, operations=179.82409873579172, operationsPerMinute=89.91204936789586, mode=normal, start=Tue Jul 05 01:22:54 BST 2016, end=Tue Jul 05 01:26:54 BST 2016, operations=358.72370846208054, operationsPerMinute=89.68092711552013
benchmark-name=xml.transform, mod=warmup, start=Tue Jul 05 01:27:15 BST 2016, end=Tue Jul 05 01:29:15 BST 2016, operations=489.62366877424114, operationsPerMinute=244.81183438712057, mode=normal, start=Tue Jul 05 01:29:17 BST 2016, end=Tue Jul 05 01:33:17 BST 2016, operations=1003.6343951999147, operationsPerMinute=250.90859879997868
benchmark-name=xml.validation, mod=warmup, start=Tue Jul 05 01:33:19 BST 2016, end=Tue Jul 05 01:35:19 BST 2016, operations=1005.7387534403874, operationsPerMinute=502.8693767201937, mode=normal, start=Tue Jul 05 01:35:20 BST 2016, end=Tue Jul 05 01:39:20 BST 2016, operations=2005.091323247792, operationsPerMinute=501.272830811948
##-nursultan-##,GREY-04,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 23:26:48 BST 2016,Mon Jul 04 23:26:48 BST 2016,1.0,1875.0,startup.helloworld,Mon Jul 04 23:26:48 BST 2016,Mon Jul 04 23:26:48 BST 2016,1.0,550.4587155963303,startup.compiler.compiler,Mon Jul 04 23:26:48 BST 2016,Mon Jul 04 23:27:03 BST 2016,1.0,3.9489272081084636,startup.compiler.sunflow,Mon Jul 04 23:27:03 BST 2016,Mon Jul 04 23:27:07 BST 2016,1.0,17.482517482517483,startup.compress,Mon Jul 04 23:27:07 BST 2016,Mon Jul 04 23:27:08 BST 2016,1.0,48.07692307692308,startup.crypto.aes,Mon Jul 04 23:27:08 BST 2016,Mon Jul 04 23:27:16 BST 2016,1.0,7.1098471382865265,startup.crypto.rsa,Mon Jul 04 23:27:16 BST 2016,Mon Jul 04 23:27:24 BST 2016,1.0,8.028904054596548,startup.crypto.signverify,Mon Jul 04 23:27:24 BST 2016,Mon Jul 04 23:27:31 BST 2016,1.0,9.029345372460497,startup.mpegaudio,Mon Jul 04 23:27:31 BST 2016,Mon Jul 04 23:27:33 BST 2016,1.0,26.89376961004034,startup.scimark.fft,Mon Jul 04 23:27:33 BST 2016,Mon Jul 04 23:27:34 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Mon Jul 04 23:27:34 BST 2016,Mon Jul 04 23:27:34 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Mon Jul 04 23:27:34 BST 2016,Mon Jul 04 23:27:40 BST 2016,1.0,10.95690284879474,startup.scimark.sor,Mon Jul 04 23:27:40 BST 2016,Mon Jul 04 23:27:41 BST 2016,1.0,41.81184668989547,startup.scimark.sparse,Mon Jul 04 23:27:41 BST 2016,Mon Jul 04 23:27:42 BST 2016,1.0,61.03763987792472,startup.serial,Mon Jul 04 23:27:42 BST 2016,Mon Jul 04 23:27:44 BST 2016,1.0,28.694404591104735,startup.sunflow,Mon Jul 04 23:27:44 BST 2016,Mon Jul 04 23:27:51 BST 2016,1.0,9.358914365933552,startup.xml.transform,Mon Jul 04 23:27:51 BST 2016,Mon Jul 04 23:28:11 BST 2016,1.0,3.0070666065253344,startup.xml.validation,Mon Jul 04 23:28:11 BST 2016,Mon Jul 04 23:28:12 BST 2016,1.0,75.47169811320755,compiler.compiler,Mon Jul 04 23:28:23 BST 2016,Mon Jul 04 23:30:23 BST 2016,487.9976495889547,243.99882479447734,Mon Jul 04 23:30:24 BST 2016,Mon Jul 04 23:34:24 BST 2016,1011.6831599146877,252.92078997867193,compiler.sunflow,Mon Jul 04 23:34:29 BST 2016,Mon Jul 04 23:36:29 BST 2016,200.71356261052267,100.35678130526134,Mon Jul 04 23:36:33 BST 2016,Mon Jul 04 23:40:33 BST 2016,386.48211415976016,96.62052853994004,compress,Mon Jul 04 23:40:36 BST 2016,Mon Jul 04 23:42:36 BST 2016,399.105817281575,199.5529086407875,Mon Jul 04 23:42:38 BST 2016,Mon Jul 04 23:46:38 BST 2016,800.3111619880488,200.0777904970122,crypto.aes,Mon Jul 04 23:46:40 BST 2016,Mon Jul 04 23:48:40 BST 2016,139.17797921163975,69.58898960581988,Mon Jul 04 23:48:45 BST 2016,Mon Jul 04 23:52:45 BST 2016,293.42629167929255,73.35657291982314,crypto.rsa,Mon Jul 04 23:52:51 BST 2016,Mon Jul 04 23:54:51 BST 2016,234.15982489737658,117.07991244868829,Mon Jul 04 23:54:54 BST 2016,Mon Jul 04 23:58:54 BST 2016,467.62298853236683,116.90574713309171,crypto.signverify,Mon Jul 04 23:58:58 BST 2016,Tue Jul 05 00:00:58 BST 2016,406.1750666609014,203.0875333304507,Tue Jul 05 00:01:00 BST 2016,Tue Jul 05 00:05:00 BST 2016,810.8173746263792,202.7043436565948,derby,Tue Jul 05 00:05:42 BST 2016,Tue Jul 05 00:07:42 BST 2016,358.6815891329372,179.3407945664686,Tue Jul 05 00:07:44 BST 2016,Tue Jul 05 00:11:44 BST 2016,715.4729818008484,178.8682454502121,mpegaudio,Tue Jul 05 00:11:46 BST 2016,Tue Jul 05 00:13:46 BST 2016,207.23875266616733,103.61937633308366,Tue Jul 05 00:13:51 BST 2016,Tue Jul 05 00:17:51 BST 2016,415.7501583873638,103.93753959684095,scimark.fft.large,Tue Jul 05 00:17:55 BST 2016,Tue Jul 05 00:19:55 BST 2016,78.67153220785237,39.33576610392618,Tue Jul 05 00:20:02 BST 2016,Tue Jul 05 00:24:02 BST 2016,153.63794334635134,38.409485836587834,scimark.lu.large,Tue Jul 05 00:24:10 BST 2016,Tue Jul 05 00:26:10 BST 2016,13.832199610422522,6.916099805211261,Tue Jul 05 00:26:54 BST 2016,Tue Jul 05 00:30:54 BST 2016,27.852389430649424,6.963097357662356,scimark.sor.large,Tue Jul 05 00:31:29 BST 2016,Tue Jul 05 00:33:29 BST 2016,74.56248104210466,37.28124052105233,Tue Jul 05 00:33:38 BST 2016,Tue Jul 05 00:37:38 BST 2016,149.03734538823375,37.259336347058436,scimark.sparse.large,Tue Jul 05 00:37:49 BST 2016,Tue Jul 05 00:39:49 BST 2016,42.71593031292681,21.357965156463404,Tue Jul 05 00:40:01 BST 2016,Tue Jul 05 00:44:01 BST 2016,85.12050589390768,21.28012647347692,scimark.fft.small,Tue Jul 05 00:44:17 BST 2016,Tue Jul 05 00:46:17 BST 2016,680.8709855359017,340.43549276795085,Tue Jul 05 00:46:18 BST 2016,Tue Jul 05 00:50:18 BST 2016,1475.2522463853668,368.8130615963417,scimark.lu.small,Tue Jul 05 00:50:19 BST 2016,Tue Jul 05 00:52:19 BST 2016,576.0064135643344,288.0032067821672,Tue Jul 05 00:52:20 BST 2016,Tue Jul 05 00:56:20 BST 2016,1138.081885469116,284.520471367279,scimark.sor.small,Tue Jul 05 00:56:22 BST 2016,Tue Jul 05 00:58:22 BST 2016,328.86349932034153,164.43174966017077,Tue Jul 05 00:58:24 BST 2016,Tue Jul 05 01:02:24 BST 2016,659.2510942945576,164.8127735736394,scimark.sparse.small,Tue Jul 05 01:02:27 BST 2016,Tue Jul 05 01:04:27 BST 2016,510.29071547236504,255.14535773618252,Tue Jul 05 01:04:29 BST 2016,Tue Jul 05 01:08:29 BST 2016,1021.2168455413569,255.30421138533922,scimark.monte_carlo,Tue Jul 05 01:08:31 BST 2016,Tue Jul 05 01:10:31 BST 2016,119.89985897643336,59.94992948821668,Tue Jul 05 01:10:38 BST 2016,Tue Jul 05 01:14:38 BST 2016,239.19512888787253,59.79878222196813,serial,Tue Jul 05 01:14:44 BST 2016,Tue Jul 05 01:16:44 BST 2016,238.6300680035956,119.3150340017978,Tue Jul 05 01:16:48 BST 2016,Tue Jul 05 01:20:48 BST 2016,474.2107845778596,118.5526961444649,sunflow,Tue Jul 05 01:20:52 BST 2016,Tue Jul 05 01:22:52 BST 2016,179.82409873579172,89.91204936789586,Tue Jul 05 01:22:54 BST 2016,Tue Jul 05 01:26:54 BST 2016,358.72370846208054,89.68092711552013,xml.transform,Tue Jul 05 01:27:15 BST 2016,Tue Jul 05 01:29:15 BST 2016,489.62366877424114,244.81183438712057,Tue Jul 05 01:29:17 BST 2016,Tue Jul 05 01:33:17 BST 2016,1003.6343951999147,250.90859879997868,xml.validation,Tue Jul 05 01:33:19 BST 2016,Tue Jul 05 01:35:19 BST 2016,1005.7387534403874,502.8693767201937,Tue Jul 05 01:35:20 BST 2016,Tue Jul 05 01:39:20 BST 2016,2005.091323247792,501.272830811948
