spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 03:17:11 BST 2016, end=Mon Jul 04 03:17:11 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 03:17:11 BST 2016, end=Mon Jul 04 03:17:11 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 03:17:11 BST 2016, end=Mon Jul 04 03:17:26 BST 2016, operations=1.0, operationsPerMinute=4.087471898630697
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 03:17:26 BST 2016, end=Mon Jul 04 03:17:29 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 03:17:29 BST 2016, end=Mon Jul 04 03:17:30 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 03:17:30 BST 2016, end=Mon Jul 04 03:17:39 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 03:17:39 BST 2016, end=Mon Jul 04 03:17:46 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 03:17:46 BST 2016, end=Mon Jul 04 03:17:53 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 03:17:53 BST 2016, end=Mon Jul 04 03:17:55 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 03:17:55 BST 2016, end=Mon Jul 04 03:17:56 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 03:17:56 BST 2016, end=Mon Jul 04 03:17:57 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 03:17:57 BST 2016, end=Mon Jul 04 03:18:03 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 03:18:03 BST 2016, end=Mon Jul 04 03:18:04 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 03:18:04 BST 2016, end=Mon Jul 04 03:18:05 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 03:18:05 BST 2016, end=Mon Jul 04 03:18:07 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 03:18:07 BST 2016, end=Mon Jul 04 03:18:13 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 03:18:13 BST 2016, end=Mon Jul 04 03:18:33 BST 2016, operations=1.0, operationsPerMinute=3.0048076923076925
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 03:18:33 BST 2016, end=Mon Jul 04 03:18:34 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 03:18:46 BST 2016, end=Mon Jul 04 03:20:46 BST 2016, operations=493.92280823617824, operationsPerMinute=246.96140411808912, mode=normal, start=Mon Jul 04 03:20:47 BST 2016, end=Mon Jul 04 03:24:47 BST 2016, operations=1009.2989757868708, operationsPerMinute=252.3247439467177
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 03:24:52 BST 2016, end=Mon Jul 04 03:26:52 BST 2016, operations=201.0731106753139, operationsPerMinute=100.53655533765695, mode=normal, start=Mon Jul 04 03:26:55 BST 2016, end=Mon Jul 04 03:30:55 BST 2016, operations=396.7488346184065, operationsPerMinute=99.18720865460162
benchmark-name=compress, mod=warmup, start=Mon Jul 04 03:30:59 BST 2016, end=Mon Jul 04 03:32:59 BST 2016, operations=399.8840207257593, operationsPerMinute=199.94201036287964, mode=normal, start=Mon Jul 04 03:33:01 BST 2016, end=Mon Jul 04 03:37:01 BST 2016, operations=801.33169802646, operationsPerMinute=200.332924506615
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 03:37:03 BST 2016, end=Mon Jul 04 03:39:03 BST 2016, operations=139.06363635319133, operationsPerMinute=69.53181817659566, mode=normal, start=Mon Jul 04 03:39:07 BST 2016, end=Mon Jul 04 03:43:07 BST 2016, operations=292.21272881909357, operationsPerMinute=73.05318220477339
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 03:43:12 BST 2016, end=Mon Jul 04 03:45:12 BST 2016, operations=234.1342467683353, operationsPerMinute=117.06712338416764, mode=normal, start=Mon Jul 04 03:45:15 BST 2016, end=Mon Jul 04 03:49:15 BST 2016, operations=469.86123041574496, operationsPerMinute=117.46530760393624
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 03:49:19 BST 2016, end=Mon Jul 04 03:51:19 BST 2016, operations=407.665076273937, operationsPerMinute=203.8325381369685, mode=normal, start=Mon Jul 04 03:51:20 BST 2016, end=Mon Jul 04 03:55:20 BST 2016, operations=815.338235251726, operationsPerMinute=203.8345588129315
benchmark-name=derby, mod=warmup, start=Mon Jul 04 03:56:01 BST 2016, end=Mon Jul 04 03:58:01 BST 2016, operations=358.312931368523, operationsPerMinute=179.1564656842615, mode=normal, start=Mon Jul 04 03:58:03 BST 2016, end=Mon Jul 04 04:02:03 BST 2016, operations=716.9112653400805, operationsPerMinute=179.22781633502012
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 04:02:05 BST 2016, end=Mon Jul 04 04:04:05 BST 2016, operations=207.95791343026482, operationsPerMinute=103.97895671513241, mode=normal, start=Mon Jul 04 04:04:09 BST 2016, end=Mon Jul 04 04:08:09 BST 2016, operations=415.41243810584353, operationsPerMinute=103.85310952646088
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 04:08:12 BST 2016, end=Mon Jul 04 04:10:12 BST 2016, operations=79.21030378184656, operationsPerMinute=39.60515189092328, mode=normal, start=Mon Jul 04 04:10:20 BST 2016, end=Mon Jul 04 04:14:20 BST 2016, operations=159.42599300122612, operationsPerMinute=39.85649825030653
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 04:14:27 BST 2016, end=Mon Jul 04 04:16:27 BST 2016, operations=13.812698263971082, operationsPerMinute=6.906349131985541, mode=normal, start=Mon Jul 04 04:17:12 BST 2016, end=Mon Jul 04 04:21:12 BST 2016, operations=27.81543317533555, operationsPerMinute=6.953858293833887
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 04:21:48 BST 2016, end=Mon Jul 04 04:23:48 BST 2016, operations=74.12905874087151, operationsPerMinute=37.06452937043576, mode=normal, start=Mon Jul 04 04:23:57 BST 2016, end=Mon Jul 04 04:27:57 BST 2016, operations=148.7334201560705, operationsPerMinute=37.18335503901763
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 04:28:10 BST 2016, end=Mon Jul 04 04:30:10 BST 2016, operations=43.09699130389777, operationsPerMinute=21.548495651948883, mode=normal, start=Mon Jul 04 04:30:21 BST 2016, end=Mon Jul 04 04:34:21 BST 2016, operations=85.08824123226657, operationsPerMinute=21.272060308066642
