spec.jvm2008.report.run.location=BARN-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 14:38:52 BST 2016, end=Fri Jul 01 14:38:52 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 15:56:04 BST 2016, end=Fri Jul 01 15:58:04 BST 2016, operations=764.752243777838, operationsPerMinute=382.376121888919, mode=normal, start=Fri Jul 01 15:58:05 BST 2016, end=Fri Jul 01 16:02:05 BST 2016, operations=1470.2358397022924, operationsPerMinute=367.5589599255731
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 16:02:06 BST 2016, end=Fri Jul 01 16:04:06 BST 2016, operations=575.0574289032329, operationsPerMinute=287.52871445161645, mode=normal, start=Fri Jul 01 16:04:07 BST 2016, end=Fri Jul 01 16:08:07 BST 2016, operations=1152.1910519951632, operationsPerMinute=288.0477629987908
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 16:08:09 BST 2016, end=Fri Jul 01 16:10:09 BST 2016, operations=330.70051792822994, operationsPerMinute=165.35025896411497, mode=normal, start=Fri Jul 01 16:10:11 BST 2016, end=Fri Jul 01 16:14:11 BST 2016, operations=660.8327150684805, operationsPerMinute=165.20817876712013
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 16:14:14 BST 2016, end=Fri Jul 01 16:16:14 BST 2016, operations=512.1011822912454, operationsPerMinute=256.0505911456227, mode=normal, start=Fri Jul 01 16:16:15 BST 2016, end=Fri Jul 01 16:20:15 BST 2016, operations=1024.807292827945, operationsPerMinute=256.20182320698626
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 16:20:17 BST 2016, end=Fri Jul 01 16:22:17 BST 2016, operations=120.1834843157051, operationsPerMinute=60.09174215785255, mode=normal, start=Fri Jul 01 16:22:23 BST 2016, end=Fri Jul 01 16:26:23 BST 2016, operations=239.58153196114245, operationsPerMinute=59.89538299028561
benchmark-name=serial, mod=warmup, start=Fri Jul 01 16:26:29 BST 2016, end=Fri Jul 01 16:28:29 BST 2016, operations=238.5646292001105, operationsPerMinute=119.28231460005524, mode=normal, start=Fri Jul 01 16:28:32 BST 2016, end=Fri Jul 01 16:32:32 BST 2016, operations=477.9080291310262, operationsPerMinute=119.47700728275655
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 16:32:34 BST 2016, end=Fri Jul 01 16:34:34 BST 2016, operations=179.44907306324552, operationsPerMinute=89.72453653162276, mode=normal, start=Fri Jul 01 16:34:36 BST 2016, end=Fri Jul 01 16:38:36 BST 2016, operations=357.4736808314273, operationsPerMinute=89.36842020785683
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 16:38:56 BST 2016, end=Fri Jul 01 16:40:56 BST 2016, operations=497.4741739242485, operationsPerMinute=248.73708696212424, mode=normal, start=Fri Jul 01 16:40:58 BST 2016, end=Fri Jul 01 16:44:58 BST 2016, operations=1011.5183454090126, operationsPerMinute=252.87958635225314
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 16:45:00 BST 2016, end=Fri Jul 01 16:47:00 BST 2016, operations=1017.4570788925004, operationsPerMinute=508.7285394462502, mode=normal, start=Fri Jul 01 16:47:01 BST 2016, end=Fri Jul 01 16:51:01 BST 2016, operations=1990.5466386602013, operationsPerMinute=497.63665966505033
##-nursultan-##,BARN-04,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 14:38:52 BST 2016,Fri Jul 01 14:38:52 BST 2016,1.0,1935.483870967742,startup.helloworld,Fri Jul 01 14:38:52 BST 2016,Fri Jul 01 14:38:52 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Fri Jul 01 14:38:52 BST 2016,Fri Jul 01 14:39:05 BST 2016,1.0,4.441154700222058,startup.compiler.sunflow,Fri Jul 01 14:39:05 BST 2016,Fri Jul 01 14:39:09 BST 2016,1.0,18.231540565177756,startup.compress,Fri Jul 01 14:39:09 BST 2016,Fri Jul 01 14:39:10 BST 2016,1.0,47.46835443037975,startup.crypto.aes,Fri Jul 01 14:39:10 BST 2016,Fri Jul 01 14:39:18 BST 2016,1.0,7.122507122507122,startup.crypto.rsa,Fri Jul 01 14:39:18 BST 2016,Fri Jul 01 14:39:26 BST 2016,1.0,7.962840079628401,startup.crypto.signverify,Fri Jul 01 14:39:26 BST 2016,Fri Jul 01 14:39:33 BST 2016,1.0,9.049773755656108,startup.mpegaudio,Fri Jul 01 14:39:33 BST 2016,Fri Jul 01 14:39:35 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Fri Jul 01 14:39:35 BST 2016,Fri Jul 01 14:39:36 BST 2016,1.0,81.74386920980926,startup.scimark.lu,Fri Jul 01 14:39:36 BST 2016,Fri Jul 01 14:39:37 BST 2016,1.0,66.3716814159292,startup.scimark.monte_carlo,Fri Jul 01 14:39:37 BST 2016,Fri Jul 01 14:39:42 BST 2016,1.0,10.95690284879474,startup.scimark.sor,Fri Jul 01 14:39:42 BST 2016,Fri Jul 01 14:39:43 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Fri Jul 01 14:39:43 BST 2016,Fri Jul 01 14:39:44 BST 2016,1.0,61.09979633401222,startup.serial,Fri Jul 01 14:39:44 BST 2016,Fri Jul 01 14:39:47 BST 2016,1.0,28.275212064090482,startup.sunflow,Fri Jul 01 14:39:47 BST 2016,Fri Jul 01 14:39:53 BST 2016,1.0,9.404388714733543,startup.xml.transform,Fri Jul 01 14:39:53 BST 2016,Fri Jul 01 14:40:13 BST 2016,1.0,2.9539188656951554,startup.xml.validation,Fri Jul 01 14:40:13 BST 2016,Fri Jul 01 14:40:14 BST 2016,1.0,75.47169811320755,compiler.compiler,Fri Jul 01 14:40:25 BST 2016,Fri Jul 01 14:42:25 BST 2016,497.07390802621967,248.53695401310983,Fri Jul 01 14:42:26 BST 2016,Fri Jul 01 14:46:26 BST 2016,1023.8034086524025,255.95085216310062,compiler.sunflow,Fri Jul 01 14:46:30 BST 2016,Fri Jul 01 14:48:30 BST 2016,189.7731289501538,94.8865644750769,Fri Jul 01 14:48:33 BST 2016,Fri Jul 01 14:52:33 BST 2016,403.2754711673199,100.81886779182997,compress,Fri Jul 01 14:52:37 BST 2016,Fri Jul 01 14:54:37 BST 2016,394.25646573194,197.12823286597,Fri Jul 01 14:54:39 BST 2016,Fri Jul 01 14:58:39 BST 2016,796.0231115502094,199.00577788755234,crypto.aes,Fri Jul 01 14:58:41 BST 2016,Fri Jul 01 15:00:41 BST 2016,136.54025582385754,68.27012791192877,Fri Jul 01 15:00:46 BST 2016,Fri Jul 01 15:04:46 BST 2016,291.33102740168016,72.83275685042004,crypto.rsa,Fri Jul 01 15:04:52 BST 2016,Fri Jul 01 15:06:52 BST 2016,234.91670484086583,117.45835242043292,Fri Jul 01 15:06:55 BST 2016,Fri Jul 01 15:10:55 BST 2016,467.1769018462436,116.7942254615609,crypto.signverify,Fri Jul 01 15:10:58 BST 2016,Fri Jul 01 15:12:58 BST 2016,405.53336135024597,202.76668067512298,Fri Jul 01 15:13:00 BST 2016,Fri Jul 01 15:17:00 BST 2016,815.534661009056,203.883665252264,derby,Fri Jul 01 15:17:24 BST 2016,Fri Jul 01 15:19:24 BST 2016,344.78097973856956,172.39048986928478,Fri Jul 01 15:19:26 BST 2016,Fri Jul 01 15:23:26 BST 2016,714.3153282651901,178.57883206629754,mpegaudio,Fri Jul 01 15:23:28 BST 2016,Fri Jul 01 15:25:28 BST 2016,208.04885856440126,104.02442928220063,Fri Jul 01 15:25:32 BST 2016,Fri Jul 01 15:29:32 BST 2016,416.3102185618274,104.07755464045685,scimark.fft.large,Fri Jul 01 15:29:36 BST 2016,Fri Jul 01 15:31:36 BST 2016,69.68430890876945,34.842154454384726,Fri Jul 01 15:31:45 BST 2016,Fri Jul 01 15:35:45 BST 2016,140.00822102238857,35.00205525559714,scimark.lu.large,Fri Jul 01 15:35:52 BST 2016,Fri Jul 01 15:37:52 BST 2016,13.877565479429283,6.938782739714641,Fri Jul 01 15:38:36 BST 2016,Fri Jul 01 15:42:36 BST 2016,27.733283595061614,6.933320898765404,scimark.sor.large,Fri Jul 01 15:43:22 BST 2016,Fri Jul 01 15:45:22 BST 2016,74.49904608142843,37.249523040714216,Fri Jul 01 15:45:30 BST 2016,Fri Jul 01 15:49:30 BST 2016,149.1725818161777,37.29314545404443,scimark.sparse.large,Fri Jul 01 15:49:40 BST 2016,Fri Jul 01 15:51:40 BST 2016,43.141726161556726,21.570863080778363,Fri Jul 01 15:51:51 BST 2016,Fri Jul 01 15:55:51 BST 2016,86.30607967323834,21.576519918309586,scimark.fft.small,Fri Jul 01 15:56:04 BST 2016,Fri Jul 01 15:58:04 BST 2016,764.752243777838,382.376121888919,Fri Jul 01 15:58:05 BST 2016,Fri Jul 01 16:02:05 BST 2016,1470.2358397022924,367.5589599255731,scimark.lu.small,Fri Jul 01 16:02:06 BST 2016,Fri Jul 01 16:04:06 BST 2016,575.0574289032329,287.52871445161645,Fri Jul 01 16:04:07 BST 2016,Fri Jul 01 16:08:07 BST 2016,1152.1910519951632,288.0477629987908,scimark.sor.small,Fri Jul 01 16:08:09 BST 2016,Fri Jul 01 16:10:09 BST 2016,330.70051792822994,165.35025896411497,Fri Jul 01 16:10:11 BST 2016,Fri Jul 01 16:14:11 BST 2016,660.8327150684805,165.20817876712013,scimark.sparse.small,Fri Jul 01 16:14:14 BST 2016,Fri Jul 01 16:16:14 BST 2016,512.1011822912454,256.0505911456227,Fri Jul 01 16:16:15 BST 2016,Fri Jul 01 16:20:15 BST 2016,1024.807292827945,256.20182320698626,scimark.monte_carlo,Fri Jul 01 16:20:17 BST 2016,Fri Jul 01 16:22:17 BST 2016,120.1834843157051,60.09174215785255,Fri Jul 01 16:22:23 BST 2016,Fri Jul 01 16:26:23 BST 2016,239.58153196114245,59.89538299028561,serial,Fri Jul 01 16:26:29 BST 2016,Fri Jul 01 16:28:29 BST 2016,238.5646292001105,119.28231460005524,Fri Jul 01 16:28:32 BST 2016,Fri Jul 01 16:32:32 BST 2016,477.9080291310262,119.47700728275655,sunflow,Fri Jul 01 16:32:34 BST 2016,Fri Jul 01 16:34:34 BST 2016,179.44907306324552,89.72453653162276,Fri Jul 01 16:34:36 BST 2016,Fri Jul 01 16:38:36 BST 2016,357.4736808314273,89.36842020785683,xml.transform,Fri Jul 01 16:38:56 BST 2016,Fri Jul 01 16:40:56 BST 2016,497.4741739242485,248.73708696212424,Fri Jul 01 16:40:58 BST 2016,Fri Jul 01 16:44:58 BST 2016,1011.5183454090126,252.87958635225314,xml.validation,Fri Jul 01 16:45:00 BST 2016,Fri Jul 01 16:47:00 BST 2016,1017.4570788925004,508.7285394462502,Fri Jul 01 16:47:01 BST 2016,Fri Jul 01 16:51:01 BST 2016,1990.5466386602013,497.63665966505033
