spec.jvm2008.report.run.location=HULL127
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 13:53:56 BST 2016, end=Tue Jun 21 13:53:56 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 13:53:56 BST 2016, end=Tue Jun 21 13:53:57 BST 2016, operations=1.0, operationsPerMinute=78.43137254901961
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 13:53:57 BST 2016, end=Tue Jun 21 13:54:24 BST 2016, operations=1.0, operationsPerMinute=2.2805883918050855
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 13:54:24 BST 2016, end=Tue Jun 21 13:54:29 BST 2016, operations=1.0, operationsPerMinute=10.226691665246292
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 13:54:29 BST 2016, end=Tue Jun 21 13:54:31 BST 2016, operations=1.0, operationsPerMinute=36.27569528415961
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 13:54:31 BST 2016, end=Tue Jun 21 13:54:42 BST 2016, operations=1.0, operationsPerMinute=5.729017473503294
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 13:54:42 BST 2016, end=Tue Jun 21 13:54:50 BST 2016, operations=1.0, operationsPerMinute=7.067970314524679
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 13:54:50 BST 2016, end=Tue Jun 21 13:54:57 BST 2016, operations=1.0, operationsPerMinute=8.322929671244278
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 13:54:57 BST 2016, end=Tue Jun 21 13:55:01 BST 2016, operations=1.0, operationsPerMinute=17.883755588673623
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 13:55:01 BST 2016, end=Tue Jun 21 13:55:02 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 13:55:02 BST 2016, end=Tue Jun 21 13:55:03 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 13:55:03 BST 2016, end=Tue Jun 21 13:55:09 BST 2016, operations=1.0, operationsPerMinute=8.983380745620602
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 13:55:09 BST 2016, end=Tue Jun 21 13:55:11 BST 2016, operations=1.0, operationsPerMinute=34.64203233256351
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 13:55:11 BST 2016, end=Tue Jun 21 13:55:13 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 13:55:13 BST 2016, end=Tue Jun 21 13:55:16 BST 2016, operations=1.0, operationsPerMinute=19.71738416036806
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 13:55:16 BST 2016, end=Tue Jun 21 13:55:23 BST 2016, operations=1.0, operationsPerMinute=8.077544426494345
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 13:55:23 BST 2016, end=Tue Jun 21 13:55:52 BST 2016, operations=1.0, operationsPerMinute=2.056414298934092
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 13:55:52 BST 2016, end=Tue Jun 21 13:55:54 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 13:56:11 BST 2016, end=Tue Jun 21 13:58:11 BST 2016, operations=351.0795464975381, operationsPerMinute=175.53977324876905, mode=normal, start=Tue Jun 21 13:58:13 BST 2016, end=Tue Jun 21 14:02:13 BST 2016, operations=684.5998522511856, operationsPerMinute=171.1499630627964
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 14:02:20 BST 2016, end=Tue Jun 21 14:04:20 BST 2016, operations=138.993353378719, operationsPerMinute=69.4966766893595, mode=normal, start=Tue Jun 21 14:04:26 BST 2016, end=Tue Jun 21 14:08:26 BST 2016, operations=281.51076372449415, operationsPerMinute=70.37769093112354
benchmark-name=compress, mod=warmup, start=Tue Jun 21 14:08:31 BST 2016, end=Tue Jun 21 14:10:31 BST 2016, operations=266.1704527672631, operationsPerMinute=133.08522638363155, mode=normal, start=Tue Jun 21 14:10:34 BST 2016, end=Tue Jun 21 14:14:34 BST 2016, operations=530.3837551572374, operationsPerMinute=132.59593878930934
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 14:14:36 BST 2016, end=Tue Jun 21 14:16:36 BST 2016, operations=84.57154604997362, operationsPerMinute=42.28577302498681, mode=normal, start=Tue Jun 21 14:16:46 BST 2016, end=Tue Jun 21 14:20:46 BST 2016, operations=178.75478988076034, operationsPerMinute=44.688697470190085
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 14:20:53 BST 2016, end=Tue Jun 21 14:22:53 BST 2016, operations=144.72791351276948, operationsPerMinute=72.36395675638474, mode=normal, start=Tue Jun 21 14:22:59 BST 2016, end=Tue Jun 21 14:26:59 BST 2016, operations=288.88758297698, operationsPerMinute=72.221895744245
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 14:27:05 BST 2016, end=Tue Jun 21 14:29:05 BST 2016, operations=244.06309456826372, operationsPerMinute=122.03154728413186, mode=normal, start=Tue Jun 21 14:29:07 BST 2016, end=Tue Jun 21 14:33:07 BST 2016, operations=492.2585050761477, operationsPerMinute=123.06462626903692
benchmark-name=derby, mod=warmup, start=Tue Jun 21 14:34:46 BST 2016, end=Tue Jun 21 14:36:46 BST 2016, operations=201.5735503361034, operationsPerMinute=100.7867751680517, mode=normal, start=Tue Jun 21 14:36:49 BST 2016, end=Tue Jun 21 14:40:49 BST 2016, operations=406.9932540760618, operationsPerMinute=101.74831351901545
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 14:40:52 BST 2016, end=Tue Jun 21 14:42:52 BST 2016, operations=132.6767684376484, operationsPerMinute=66.3383842188242, mode=normal, start=Tue Jun 21 14:42:58 BST 2016, end=Tue Jun 21 14:46:58 BST 2016, operations=265.15385633918754, operationsPerMinute=66.28846408479689
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 14:47:04 BST 2016, end=Tue Jun 21 14:49:04 BST 2016, operations=61.31634711604943, operationsPerMinute=30.658173558024714, mode=normal, start=Tue Jun 21 14:49:15 BST 2016, end=Tue Jun 21 14:53:15 BST 2016, operations=118.88375577111086, operationsPerMinute=29.720938942777714
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 14:53:25 BST 2016, end=Tue Jun 21 14:55:25 BST 2016, operations=11.299521454967373, operationsPerMinute=5.649760727483686, mode=normal, start=Tue Jun 21 14:56:04 BST 2016, end=Tue Jun 21 15:00:04 BST 2016, operations=22.780712902106416, operationsPerMinute=5.695178225526604
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 15:00:50 BST 2016, end=Tue Jun 21 15:02:50 BST 2016, operations=54.04250282905657, operationsPerMinute=27.021251414528287, mode=normal, start=Tue Jun 21 15:03:03 BST 2016, end=Tue Jun 21 15:07:03 BST 2016, operations=110.00115578818426, operationsPerMinute=27.500288947046066
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 15:07:18 BST 2016, end=Tue Jun 21 15:09:18 BST 2016, operations=36.503060200471886, operationsPerMinute=18.251530100235943, mode=normal, start=Tue Jun 21 15:09:40 BST 2016, end=Tue Jun 21 15:13:40 BST 2016, operations=57.67131764635427, operationsPerMinute=14.417829411588567
